代码,名称,最新价,涨跌幅%,换手率%,主力流向,主力净流入(万),主力净占比%,超大单净流入(万),超大单净占比%,大单净流入(万),大单净占比%,中单净流入(万),中单净占比%,小单净流入(万),小单净占比%,资金流时间,抓取时间
000422,湖北宜化,13.48,-4.33,2.82,流出,-6995.33,-17.14,-1917.8,-4.7,-5077.54,-12.44,542.09,1.33,6453.25,15.81,2026-07-07T15:10:00+08:00,2026-07-07T15:10:15+08:00
000423,东阿阿胶,46.92,-1.3,0.59,流出,-800.09,-4.51,-101.06,-0.57,-699.03,-3.94,-1.53,-0.01,801.62,4.52,2026-07-07T15:10:15+08:00,2026-07-07T15:10:15+08:00
000425,徐工机械,8.78,3.78,2.2,流入,5747.4,3.26,-1758.03,-1.0,7505.43,4.26,-3679.04,-2.09,-2068.36,-1.17,2026-07-07T15:10:15+08:00,2026-07-07T15:10:15+08:00
000426,兴业银锡,34.1,-4.21,3.2,流出,-12984.35,-6.67,-10903.69,-5.6,-2080.65,-1.07,-8103.07,-4.16,21087.41,10.84,2026-07-07T15:10:15+08:00,2026-07-07T15:10:15+08:00
000428,华天酒店,3.06,-1.92,0.84,流出,-4.11,-0.16,0.0,0.0,-4.11,-0.16,75.91,2.9,-71.81,-2.74,2026-07-07T15:10:00+08:00,2026-07-07T15:10:15+08:00
000429,粤高速Ａ,14.35,0.49,0.44,流入,138.17,1.71,-109.33,-1.35,247.5,3.06,-196.37,-2.43,58.19,0.72,2026-07-07T15:10:15+08:00,2026-07-07T15:10:15+08:00
000430,张家界,6.85,-5.39,3.3,流出,-2203.34,-25.68,-772.42,-9.0,-1430.92,-16.68,912.65,10.64,1290.68,15.05,2026-07-07T15:10:15+08:00,2026-07-07T15:10:15+08:00
000488,ST晨鸣,2.04,0.99,0.75,流入,434.01,16.66,-0.41,-0.02,434.43,16.68,-269.75,-10.36,-164.26,-6.31,2026-07-07T15:09:00+08:00,2026-07-07T15:10:15+08:00
000498,山东路桥,4.83,-1.23,0.46,流出,-41.91,-1.3,-55.83,-1.73,13.92,0.43,-320.12,-9.91,362.03,11.2,2026-07-07T15:10:00+08:00,2026-07-07T15:10:15+08:00
000501,武商集团,6.95,-2.39,0.72,流出,-377.23,-9.77,-42.31,-1.1,-334.92,-8.68,4.35,0.11,372.88,9.66,2026-07-07T15:10:15+08:00,2026-07-07T15:10:15+08:00
000503,国新健康,6.18,-1.75,0.81,流入,33.23,0.67,0.0,0.0,33.23,0.67,-515.85,-10.45,482.62,9.78,2026-07-07T15:09:00+08:00,2026-07-07T15:10:15+08:00
000504,南华生物,7.89,-3.66,1.71,流出,-132.48,-2.96,-220.27,-4.92,87.79,1.96,314.46,7.02,-181.98,-4.06,2026-07-07T15:09:45+08:00,2026-07-07T15:10:15+08:00
000505,京粮控股,5.19,-2.44,0.81,流出,-61.92,-2.32,0.0,0.0,-61.92,-2.32,47.05,1.76,14.88,0.56,2026-07-07T15:10:00+08:00,2026-07-07T15:10:15+08:00
000506,招金黄金,12.2,-6.94,7.96,流出,-7277.13,-7.99,-2851.2,-3.13,-4425.93,-4.86,-4969.22,-5.46,12246.35,13.45,2026-07-07T15:10:15+08:00,2026-07-07T15:10:15+08:00
000507,珠海港,4.67,-2.1,0.68,流入,133.17,4.63,0.0,0.0,133.17,4.63,43.72,1.52,-176.89,-6.15,2026-07-07T15:09:30+08:00,2026-07-07T15:10:15+08:00
000509,华塑控股,3.27,-3.25,3.18,流入,549.1,4.86,-63.38,-0.56,612.48,5.43,-558.62,-4.95,9.51,0.08,2026-07-07T15:09:45+08:00,2026-07-07T15:10:15+08:00
000510,新金路,19.68,-4.97,7.01,流出,-5094.87,-5.89,-3783.42,-4.37,-1311.45,-1.52,-2022.4,-2.34,7117.27,8.23,2026-07-07T15:10:00+08:00,2026-07-07T15:10:15+08:00
000513,丽珠集团,30.48,-2.28,1.15,流出,-2564.08,-12.75,-725.57,-3.61,-1838.52,-9.15,1990.96,9.9,573.12,2.85,2026-07-07T15:10:15+08:00,2026-07-07T15:10:15+08:00
000514,渝 开 发,3.7,-3.39,1.12,流出,-168.07,-4.78,-107.15,-3.05,-60.91,-1.73,121.25,3.45,46.82,1.33,2026-07-07T15:09:30+08:00,2026-07-07T15:10:15+08:00
000516,国际医学,3.91,-2.01,1.08,流出,-1191.29,-12.83,-721.55,-7.77,-469.74,-5.06,868.14,9.35,323.15,3.48,2026-07-07T15:09:45+08:00,2026-07-07T15:10:15+08:00
000517,荣安地产,1.67,-2.91,0.92,流出,-800.73,-20.63,-881.41,-22.7,80.69,2.08,570.09,14.69,230.63,5.94,2026-07-07T15:10:00+08:00,2026-07-07T15:10:15+08:00
000518,四环生物,3.57,1.13,4.74,流入,340.22,1.99,-652.67,-3.83,992.9,5.82,802.24,4.7,-1142.46,-6.7,2026-07-07T15:09:45+08:00,2026-07-07T15:10:15+08:00
000519,中兵红箭,20.44,-0.05,6.12,流入,12053.85,6.83,3008.27,1.71,9045.58,5.13,4342.25,2.46,-16396.1,-9.3,2026-07-07T15:10:15+08:00,2026-07-07T15:10:15+08:00
000520,凤凰航运,4.59,-2.34,4.48,流出,-1757.16,-8.33,-984.46,-4.67,-772.7,-3.66,-1356.49,-6.43,3113.65,14.76,2026-07-07T15:09:45+08:00,2026-07-07T15:10:15+08:00
000521,长虹美菱,5.65,-7.98,4.57,流出,-2887.5,-12.47,-1918.32,-8.28,-969.18,-4.19,768.53,3.32,2118.97,9.15,2026-07-07T15:09:15+08:00,2026-07-07T15:10:15+08:00
000523,红棉股份,2.63,-0.75,1.45,流入,293.0,5.77,103.58,2.04,189.42,3.73,100.14,1.97,-393.14,-7.75,2026-07-07T15:10:15+08:00,2026-07-07T15:10:15+08:00
000524,岭南控股,,,0.0,,,,,,,,,,,,2026-07-07T15:10:06+08:00,2026-07-07T15:10:15+08:00
000525,红太阳,3.88,-3.96,1.66,流出,-1008.76,-13.93,-354.8,-4.9,-653.96,-9.03,678.77,9.37,329.99,4.56,2026-07-07T15:10:15+08:00,2026-07-07T15:10:15+08:00
000526,学大教育,27.2,-2.79,1.9,流出,-461.54,-7.36,-108.43,-1.73,-353.11,-5.63,229.67,3.66,231.87,3.7,2026-07-07T15:09:45+08:00,2026-07-07T15:10:15+08:00
000528,柳    工,8.16,-1.33,2.27,流入,598.81,1.56,1489.25,3.87,-890.44,-2.32,-1205.73,-3.14,606.92,1.58,2026-07-07T15:10:15+08:00,2026-07-07T15:10:15+08:00
000529,广弘控股,4.55,-3.6,0.77,流出,-56.03,-2.8,0.0,0.0,-56.03,-2.8,123.35,6.16,-67.32,-3.36,2026-07-07T15:09:30+08:00,2026-07-07T15:10:15+08:00
000530,冰山冷热,5.1,-1.54,2.65,流入,65.38,0.8,65.24,0.8,0.14,0.0,-17.3,-0.21,-48.08,-0.59,2026-07-07T15:09:45+08:00,2026-07-07T15:10:15+08:00
000531,穗恒运Ａ,5.69,-2.57,1.12,流出,-318.53,-5.48,14.61,0.25,-333.14,-5.73,235.75,4.06,82.78,1.42,2026-07-07T15:10:00+08:00,2026-07-07T15:10:15+08:00
000532,华金资本,10.44,-3.42,1.03,流出,-116.79,-3.12,0.0,0.0,-116.79,-3.12,-157.36,-4.2,274.15,7.32,2026-07-07T15:10:15+08:00,2026-07-07T15:10:15+08:00
000533,顺钠股份,8.87,-3.8,2.97,流出,-1707.97,-9.35,-679.73,-3.72,-1028.23,-5.63,-801.82,-4.39,2509.79,13.74,2026-07-07T15:09:30+08:00,2026-07-07T15:10:15+08:00
000534,万泽股份,31.54,-2.92,4.89,流入,5140.19,6.47,3488.4,4.39,1651.79,2.08,-4707.46,-5.93,-432.73,-0.54,2026-07-07T15:10:00+08:00,2026-07-07T15:10:15+08:00
000536,华映科技,3.5,-3.05,4.04,流出,-3218.47,-8.09,342.67,0.86,-3561.14,-8.95,-2770.58,-6.96,5989.04,15.05,2026-07-07T15:10:15+08:00,2026-07-07T15:10:15+08:00
000537,绿发电力,7.14,-5.43,1.37,流出,-2303.4,-11.26,-544.76,-2.66,-1758.64,-8.59,532.53,2.6,1770.87,8.65,2026-07-07T15:10:15+08:00,2026-07-07T15:10:15+08:00
