代码,名称,最新价,涨跌幅%,主力流向,主力净流入(万),主力净占比%,超大单净流入(万),超大单净占比%,大单净流入(万),大单净占比%,中单净流入(万),中单净占比%,小单净流入(万),小单净占比%,资金流时间,抓取时间
000001,平安银行,11.0,0.0,流出,-530.01,-0.83,2006.83,3.14,-2536.84,-3.97,3072.61,4.8,-2542.6,-3.97,2026-04-24T15:02:09+08:00,2026-04-24T15:03:03+08:00
000002,万  科Ａ,3.75,-1.57,流出,-1551.23,-4.56,-1690.05,-4.96,138.82,0.41,76.46,0.22,1474.77,4.33,2026-04-24T15:02:09+08:00,2026-04-24T15:03:03+08:00
000006,深振业Ａ,9.88,1.65,流入,2735.43,9.48,275.27,0.95,2460.15,8.52,-1129.85,-3.91,-1605.58,-5.56,2026-04-24T15:02:15+08:00,2026-04-24T15:03:03+08:00
000007,全新好,13.85,1.24,流出,-489.73,-8.93,18.05,0.33,-507.79,-9.26,-238.73,-4.35,728.47,13.28,2026-04-24T15:02:09+08:00,2026-04-24T15:03:03+08:00
000008,神州高铁,2.66,-0.37,流出,-120.46,-0.98,442.54,3.61,-563.0,-4.59,-485.71,-3.96,606.17,4.94,2026-04-24T15:02:18+08:00,2026-04-24T15:03:03+08:00
000009,中国宝安,8.9,0.23,流出,-933.84,-4.55,-24.62,-0.12,-909.21,-4.43,-22.19,-0.11,956.03,4.65,2026-04-24T15:02:09+08:00,2026-04-24T15:03:03+08:00
000010,美丽生态,3.62,-2.16,流出,-835.36,-10.81,-196.02,-2.54,-639.34,-8.28,320.78,4.15,514.58,6.66,2026-04-24T15:02:12+08:00,2026-04-24T15:03:03+08:00
000011,深物业A,8.44,0.36,流入,348.86,10.8,-73.83,-2.29,422.68,13.08,-89.95,-2.78,-258.91,-8.01,2026-04-24T15:02:15+08:00,2026-04-24T15:03:03+08:00
000012,南  玻Ａ,4.45,-0.45,流出,-17.09,-0.28,-104.37,-1.73,87.28,1.45,117.37,1.95,-100.28,-1.67,2026-04-24T15:02:12+08:00,2026-04-24T15:03:03+08:00
000014,沙河股份,13.12,-0.08,流出,-339.89,-6.54,0.0,0.0,-339.89,-6.54,90.46,1.74,249.44,4.8,2026-04-24T15:02:18+08:00,2026-04-24T15:03:03+08:00
000016,深康佳Ａ,3.19,-0.93,流出,-715.09,-7.29,-1063.34,-10.84,348.25,3.55,-17.08,-0.17,732.16,7.46,2026-04-24T15:02:12+08:00,2026-04-24T15:03:03+08:00
000017,深中华A,6.35,-0.31,流入,46.91,1.06,0.0,0.0,46.91,1.06,-52.02,-1.18,5.11,0.12,2026-04-24T15:02:09+08:00,2026-04-24T15:03:03+08:00
000019,深粮控股,8.0,-0.99,流出,-56.36,-0.29,159.41,0.81,-215.76,-1.09,346.13,1.76,-289.77,-1.47,2026-04-24T15:02:15+08:00,2026-04-24T15:03:03+08:00
000020,深华发Ａ,15.33,-1.03,流出,-726.09,-9.92,-41.45,-0.57,-684.64,-9.36,-379.15,-5.18,1105.24,15.1,2026-04-24T15:02:15+08:00,2026-04-24T15:03:03+08:00
000021,深科技,28.85,0.42,流入,14198.55,7.54,6772.6,3.6,7425.95,3.94,-6123.97,-3.25,-8074.58,-4.29,2026-04-24T15:02:18+08:00,2026-04-24T15:03:03+08:00
000025,特  力Ａ,15.63,-0.51,流出,-201.97,-4.29,296.58,6.3,-498.55,-10.59,-33.81,-0.72,235.77,5.01,2026-04-24T15:02:18+08:00,2026-04-24T15:03:03+08:00
000026,飞亚达,18.41,1.77,流入,1102.81,2.76,676.23,1.69,426.58,1.07,-503.86,-1.26,-598.96,-1.5,2026-04-24T15:02:21+08:00,2026-04-24T15:03:03+08:00
000027,深圳能源,6.93,-1.98,流出,-973.02,-2.81,-635.79,-1.83,-337.23,-0.97,-566.99,-1.64,1540.01,4.44,2026-04-24T15:02:12+08:00,2026-04-24T15:03:03+08:00
000028,国药一致,24.79,-0.84,流入,325.29,3.35,-423.06,-4.36,748.35,7.71,863.93,8.9,-1189.22,-12.26,2026-04-24T15:02:15+08:00,2026-04-24T15:03:03+08:00
000029,深深房Ａ,20.17,-0.79,流出,-38.82,-0.58,298.27,4.49,-337.09,-5.08,331.29,4.99,-292.47,-4.41,2026-04-24T15:02:21+08:00,2026-04-24T15:03:03+08:00
000030,富奥股份,5.12,-1.73,流出,-277.12,-2.41,-13.46,-0.12,-263.66,-2.3,-257.79,-2.24,534.91,4.66,2026-04-24T15:02:21+08:00,2026-04-24T15:03:03+08:00
000031,大悦城,2.89,0.0,流入,182.98,2.93,51.73,0.83,131.25,2.1,568.28,9.1,-751.27,-12.03,2026-04-24T15:02:18+08:00,2026-04-24T15:03:03+08:00
000032,深桑达Ａ,17.92,-2.18,流出,-1585.16,-4.68,-664.11,-1.96,-921.06,-2.72,277.38,0.82,1307.78,3.86,2026-04-24T15:02:21+08:00,2026-04-24T15:03:03+08:00
000034,神州数码,37.53,2.29,流入,7666.53,5.13,1990.05,1.33,5676.47,3.8,3799.72,2.54,-11466.25,-7.68,2026-04-24T15:02:24+08:00,2026-04-24T15:03:03+08:00
000035,中国天楹,6.85,-1.44,流出,-790.42,-2.83,-524.26,-1.88,-266.16,-0.95,-2004.98,-7.17,2795.41,10.0,2026-04-24T15:02:27+08:00,2026-04-24T15:03:03+08:00
