代码,名称,最新价,涨跌幅%,换手率%,主力流向,主力净流入(万),主力净占比%,超大单净流入(万),超大单净占比%,大单净流入(万),大单净占比%,中单净流入(万),中单净占比%,小单净流入(万),小单净占比%,资金流时间,抓取时间
000001,平安银行,10.76,-0.28,0.43,流出,-8836.68,-9.76,-1623.15,-1.79,-7213.53,-7.96,10837.07,11.97,-2000.39,-2.21,2026-05-27T15:28:21+08:00,2026-05-27T15:28:45+08:00
000002,万  科Ａ,3.33,-1.77,1.49,流出,-2183.87,-4.55,-2641.19,-5.5,457.32,0.95,-3171.12,-6.6,5354.99,11.15,2026-05-27T15:28:21+08:00,2026-05-27T15:28:45+08:00
000006,深振业Ａ,9.85,-4.0,2.68,流出,-865.03,-2.39,-2450.47,-6.76,1585.44,4.37,1958.72,5.4,-1093.69,-3.02,2026-05-27T15:28:24+08:00,2026-05-27T15:28:45+08:00
000007,全新好,11.98,-2.04,2.23,流出,-25.06,-0.27,-259.15,-2.77,234.09,2.51,423.93,4.54,-398.87,-4.27,2026-05-27T15:28:21+08:00,2026-05-27T15:28:45+08:00
000008,神州高铁,2.58,0.39,0.95,流入,94.28,1.41,431.16,6.45,-336.88,-5.04,14.33,0.21,-108.61,-1.62,2026-05-27T15:28:21+08:00,2026-05-27T15:28:45+08:00
000009,中国宝安,7.42,-1.98,0.94,流出,-553.66,-3.04,-735.08,-4.03,181.42,1.0,-75.26,-0.41,628.92,3.45,2026-05-27T15:28:24+08:00,2026-05-27T15:28:45+08:00
000010,*ST美丽,1.91,-4.98,0.32,流出,-321.53,-60.16,0.0,0.0,-321.53,-60.16,96.7,18.09,224.83,42.07,2026-05-27T15:28:24+08:00,2026-05-27T15:28:45+08:00
000011,深物业A,7.22,-1.9,0.5,流入,58.61,3.08,0.0,0.0,58.61,3.08,-74.77,-3.93,16.16,0.85,2026-05-27T15:28:27+08:00,2026-05-27T15:28:45+08:00
000012,南  玻Ａ,4.45,-1.11,5.84,流入,1849.87,3.62,-188.78,-0.37,2038.65,3.99,158.41,0.31,-2008.28,-3.93,2026-05-27T15:28:24+08:00,2026-05-27T15:28:45+08:00
000014,沙河股份,10.7,-1.83,1.97,流出,-408.12,-8.0,0.0,0.0,-408.12,-8.0,-148.47,-2.91,556.6,10.91,2026-05-27T15:28:27+08:00,2026-05-27T15:28:45+08:00
000016,*ST康佳A,3.51,-1.4,2.98,流出,-1698.09,-10.07,-284.31,-1.69,-1413.77,-8.38,347.77,2.06,1350.31,8.0,2026-05-27T15:28:24+08:00,2026-05-27T15:28:45+08:00
000017,深中华A,5.4,-2.88,1.59,流出,-232.16,-6.13,0.0,0.0,-232.16,-6.13,-375.87,-9.92,608.03,16.05,2026-05-27T15:28:30+08:00,2026-05-27T15:28:45+08:00
