代码,名称,最新价,涨跌幅%,换手率%,主力流向,主力净流入(万),主力净占比%,超大单净流入(万),超大单净占比%,大单净流入(万),大单净占比%,中单净流入(万),中单净占比%,小单净流入(万),小单净占比%,资金流时间,抓取时间
000001,平安银行,10.85,0.09,0.31,流入,563.98,0.87,1120.82,1.73,-556.84,-0.86,2146.81,3.31,-2710.78,-4.17,2026-07-22T11:40:51+08:00,2026-07-22T11:40:51+08:00
000002,万  科Ａ,3.16,0.96,1.13,流入,2369.43,6.83,1229.98,3.55,1139.45,3.28,-386.9,-1.12,-1982.53,-5.72,2026-07-22T11:40:51+08:00,2026-07-22T11:40:51+08:00
000004,国华退,,,0.0,,,,,,,,,,,,2026-07-22T08:00:00+08:00,2026-07-22T11:40:51+08:00
000006,深振业Ａ,5.99,0.17,0.71,流出,-276.48,-4.83,0.0,0.0,-276.48,-4.83,-169.97,-2.97,446.45,7.81,2026-07-22T11:40:51+08:00,2026-07-22T11:40:51+08:00
000007,全新好,9.08,2.48,2.09,流出,-417.24,-6.35,-613.25,-9.33,196.02,2.98,155.19,2.36,262.05,3.99,2026-07-22T11:39:54+08:00,2026-07-22T11:40:51+08:00
000008,神州高铁,2.28,0.0,0.66,流入,31.71,0.78,-6.41,-0.16,38.12,0.94,-70.65,-1.74,38.93,0.96,2026-07-22T11:39:54+08:00,2026-07-22T11:40:51+08:00
000009,中国宝安,6.09,-1.46,0.57,流出,-114.24,-1.28,233.54,2.62,-347.78,-3.9,841.48,9.43,-727.24,-8.15,2026-07-22T11:39:57+08:00,2026-07-22T11:40:51+08:00
000010,*ST美丽,1.45,0.0,1.68,流出,-354.88,-16.81,29.52,1.4,-384.4,-18.21,74.05,3.51,280.83,13.3,2026-07-22T11:40:00+08:00,2026-07-22T11:40:51+08:00
000011,深物业A,6.65,-2.06,0.79,流入,1.56,0.06,44.54,1.59,-42.98,-1.53,13.18,0.47,-14.74,-0.53,2026-07-22T11:39:57+08:00,2026-07-22T11:40:51+08:00
000012,南  玻Ａ,3.76,-3.09,1.34,流出,-484.67,-4.87,-199.88,-2.01,-284.79,-2.86,-179.96,-1.81,664.63,6.68,2026-07-22T11:40:00+08:00,2026-07-22T11:40:51+08:00
000014,沙河股份,8.65,-1.14,1.98,流出,-214.66,-5.16,-103.74,-2.49,-110.92,-2.67,-279.04,-6.71,493.7,11.87,2026-07-22T11:40:51+08:00,2026-07-22T11:40:51+08:00
000016,*ST康佳A,2.47,1.23,0.83,流入,115.22,3.52,0.0,0.0,115.22,3.52,-120.7,-3.69,5.48,0.17,2026-07-22T11:39:54+08:00,2026-07-22T11:40:51+08:00
000017,深中华A,5.2,1.96,1.7,流入,72.77,1.89,104.0,2.7,-31.23,-0.81,17.35,0.45,-90.12,-2.34,2026-07-22T11:40:51+08:00,2026-07-22T11:40:51+08:00
