代码,名称,最新价,涨跌幅%,换手率%,主力流向,主力净流入(万),主力净占比%,超大单净流入(万),超大单净占比%,大单净流入(万),大单净占比%,中单净流入(万),中单净占比%,小单净流入(万),小单净占比%,资金流时间,抓取时间
000001,平安银行,10.82,-1.55,0.45,流出,-17579.55,-18.64,-17414.33,-18.46,-165.22,-0.18,8543.44,9.06,9036.11,9.58,2026-06-04T15:11:45+08:00,2026-06-04T15:12:06+08:00
000002,万  科Ａ,3.21,-2.13,1.87,流出,-7702.31,-13.07,-4655.79,-7.9,-3046.51,-5.17,1252.49,2.13,6449.82,10.95,2026-06-04T15:11:45+08:00,2026-06-04T15:12:06+08:00
000004,*ST国华,,,0.0,,,,,,,,,,,,2026-06-04T15:11:45+08:00,2026-06-04T15:12:06+08:00
000006,深振业Ａ,8.4,-1.06,1.94,流出,-1176.22,-5.29,-1105.62,-4.97,-70.6,-0.32,677.58,3.05,498.64,2.24,2026-06-04T15:11:48+08:00,2026-06-04T15:12:06+08:00
000007,全新好,12.45,3.84,3.1,流入,127.98,0.97,-160.34,-1.21,288.33,2.18,621.65,4.69,-749.63,-5.66,2026-06-04T15:11:45+08:00,2026-06-04T15:12:06+08:00
000008,神州高铁,2.57,-1.53,0.91,流出,-664.63,-10.48,-80.41,-1.27,-584.22,-9.22,-72.13,-1.14,736.76,11.62,2026-06-04T15:11:48+08:00,2026-06-04T15:12:06+08:00
000009,中国宝安,7.09,-1.66,0.85,流出,-1239.63,-7.92,-827.47,-5.29,-412.16,-2.63,-326.76,-2.09,1566.39,10.01,2026-06-04T15:11:51+08:00,2026-06-04T15:12:06+08:00
000010,*ST美丽,2.15,-2.27,4.25,流出,-406.56,-5.1,114.87,1.44,-521.44,-6.55,70.39,0.88,336.17,4.22,2026-06-04T15:11:48+08:00,2026-06-04T15:12:06+08:00
000011,深物业A,7.22,-1.23,0.84,流入,378.45,11.8,629.67,19.63,-251.22,-7.83,-60.54,-1.89,-317.91,-9.91,2026-06-04T15:11:51+08:00,2026-06-04T15:12:06+08:00
000012,南  玻Ａ,4.2,2.19,3.58,流入,2628.4,8.94,2306.49,7.84,321.91,1.09,-895.38,-3.05,-1733.02,-5.89,2026-06-04T15:11:45+08:00,2026-06-04T15:12:06+08:00
000014,沙河股份,10.47,-2.79,2.08,流出,-289.85,-5.44,-255.23,-4.79,-34.63,-0.65,282.89,5.31,6.96,0.13,2026-06-04T15:11:51+08:00,2026-06-04T15:12:06+08:00
000016,*ST康佳A,3.21,-3.89,2.41,流出,-2556.27,-20.48,-1397.09,-11.19,-1159.18,-9.29,889.63,7.13,1666.65,13.35,2026-06-04T15:11:48+08:00,2026-06-04T15:12:06+08:00
000017,深中华A,5.25,-2.23,1.51,流出,-265.82,-7.6,0.0,0.0,-265.82,-7.6,-64.02,-1.83,329.84,9.43,2026-06-04T15:11:54+08:00,2026-06-04T15:12:06+08:00
000019,深粮控股,6.38,-2.45,2.06,流出,-230.06,-4.16,-61.87,-1.12,-168.19,-3.04,174.79,3.16,55.27,1.0,2026-06-04T15:11:51+08:00,2026-06-04T15:12:06+08:00
000020,深华发Ａ,12.35,-0.64,1.7,流入,121.16,3.19,-0.25,-0.01,121.4,3.19,32.64,0.86,-153.8,-4.05,2026-06-04T15:11:48+08:00,2026-06-04T15:12:06+08:00
000021,深科技,39.68,3.6,10.56,流入,39.78,0.01,-4179.68,-0.64,4219.46,0.64,-2240.76,-0.34,2200.98,0.34,2026-06-04T15:11:51+08:00,2026-06-04T15:12:06+08:00
000025,特  力Ａ,15.24,0.79,1.75,流出,-206.1,-1.97,118.44,1.13,-324.54,-3.11,477.0,4.57,-270.9,-2.59,2026-06-04T15:11:57+08:00,2026-06-04T15:12:06+08:00
000026,飞亚达,21.56,-3.66,3.89,流出,-2978.92,-9.73,-1990.86,-6.5,-988.06,-3.23,-2006.02,-6.55,4984.94,16.28,2026-06-04T15:11:54+08:00,2026-06-04T15:12:06+08:00
000027,深圳能源,7.79,-2.14,1.62,流出,-9200.52,-15.19,-5840.09,-9.64,-3360.42,-5.55,1081.87,1.79,8118.65,13.4,2026-06-04T15:11:54+08:00,2026-06-04T15:12:06+08:00
000028,国药一致,22.7,-1.9,0.59,流出,-596.52,-9.2,-252.9,-3.9,-343.62,-5.3,103.29,1.59,493.23,7.61,2026-06-04T15:11:54+08:00,2026-06-04T15:12:06+08:00
000029,深深房Ａ,23.44,-0.09,0.55,流入,345.29,3.01,134.2,1.17,211.09,1.84,188.6,1.64,-533.89,-4.65,2026-06-04T15:11:57+08:00,2026-06-04T15:12:06+08:00
000030,富奥股份,4.51,-1.96,0.56,流出,-281.47,-6.59,-262.74,-6.15,-18.73,-0.44,92.79,2.17,188.68,4.42,2026-06-04T15:11:54+08:00,2026-06-04T15:12:06+08:00
000031,大悦城,2.56,-4.12,1.19,流出,-899.55,-6.71,-344.43,-2.57,-555.13,-4.14,47.73,0.36,851.82,6.35,2026-06-04T15:11:57+08:00,2026-06-04T15:12:06+08:00
000032,深桑达Ａ,16.36,2.63,2.72,流入,4944.44,9.78,2584.39,5.11,2360.04,4.67,518.91,1.03,-5463.34,-10.81,2026-06-04T15:11:57+08:00,2026-06-04T15:12:06+08:00
000034,神州数码,24.9,-2.66,3.52,流出,-9955.08,-13.32,-5413.62,-7.25,-4541.46,-6.08,-1840.37,-2.46,11795.45,15.79,2026-06-04T15:12:00+08:00,2026-06-04T15:12:06+08:00
000035,中国天楹,5.69,-3.72,1.33,流出,-978.59,-5.51,-1069.44,-6.03,90.85,0.51,239.53,1.35,739.06,4.17,2026-06-04T15:11:57+08:00,2026-06-04T15:12:06+08:00
000036,华联控股,5.11,0.99,2.0,流入,1091.58,7.56,491.27,3.4,600.31,4.16,-739.24,-5.12,-352.34,-2.44,2026-06-04T15:12:00+08:00,2026-06-04T15:12:06+08:00
000037,深南电A,11.46,-3.54,14.02,流出,-2711.09,-4.96,-96.1,-0.18,-2614.99,-4.78,-883.23,-1.62,3594.32,6.57,2026-06-04T15:12:00+08:00,2026-06-04T15:12:06+08:00
000039,中集集团,10.09,-4.45,1.73,流出,-2699.01,-6.65,-96.35,-0.24,-2602.67,-6.41,-2112.05,-5.2,4811.07,11.85,2026-06-04T15:12:03+08:00,2026-06-04T15:12:06+08:00
000042,中洲控股,9.99,0.91,1.01,流入,113.45,1.69,-94.32,-1.4,207.78,3.09,76.75,1.14,-190.2,-2.83,2026-06-04T15:12:00+08:00,2026-06-04T15:12:06+08:00
000045,深纺织Ａ,11.3,0.09,1.07,流入,26.55,0.48,-95.77,-1.74,122.32,2.22,-45.99,-0.84,19.44,0.35,2026-06-04T15:12:03+08:00,2026-06-04T15:12:06+08:00
000048,京基智农,14.57,1.25,3.28,流入,1354.67,5.39,-69.19,-0.28,1423.86,5.67,1014.4,4.04,-2369.07,-9.43,2026-06-04T15:12:03+08:00,2026-06-04T15:12:06+08:00
000049,德赛电池,24.61,-2.57,2.19,流出,-1586.98,-7.63,-173.37,-0.83,-1413.62,-6.8,27.06,0.13,1559.92,7.5,2026-06-04T15:12:06+08:00,2026-06-04T15:12:06+08:00
000050,深天马Ａ,8.24,3.0,2.16,流入,3080.31,7.13,1472.52,3.41,1607.79,3.72,-2482.87,-5.75,-597.44,-1.38,2026-06-04T15:12:06+08:00,2026-06-04T15:12:06+08:00
000055,方大集团,3.72,-5.34,10.51,流出,-385.58,-1.44,77.64,0.29,-463.22,-1.73,1374.87,5.12,-989.29,-3.69,2026-06-04T15:12:06+08:00,2026-06-04T15:12:06+08:00
000056,*ST皇庭,1.75,4.79,7.6,流入,1389.22,11.75,-845.58,-7.15,2234.81,18.9,-634.7,-5.37,-754.53,-6.38,2026-06-04T15:11:09+08:00,2026-06-04T15:12:06+08:00
000058,深 赛 格,7.0,-3.18,1.2,流出,-1142.73,-13.69,-426.14,-5.11,-716.59,-8.59,349.7,4.19,793.03,9.5,2026-06-04T15:12:03+08:00,2026-06-04T15:12:06+08:00
000059,华锦股份,4.6,-5.35,2.06,流出,-1731.28,-11.22,193.3,1.25,-1924.58,-12.48,-475.05,-3.08,2206.33,14.31,2026-06-04T15:12:00+08:00,2026-06-04T15:12:06+08:00
000060,中金岭南,7.8,-4.53,6.33,流出,-22761.81,-10.31,-12851.56,-5.82,-9910.25,-4.49,8044.88,3.64,14716.93,6.66,2026-06-04T15:11:12+08:00,2026-06-04T15:12:06+08:00
000061,农 产 品,6.22,-1.58,0.76,流出,-417.73,-4.93,-40.0,-0.47,-377.73,-4.45,140.82,1.66,276.91,3.27,2026-06-04T15:11:15+08:00,2026-06-04T15:12:06+08:00
000062,深圳华强,32.77,-0.21,6.84,流出,-20233.19,-8.64,-15667.45,-6.69,-4565.74,-1.95,8400.54,3.59,11832.65,5.06,2026-06-04T15:11:09+08:00,2026-06-04T15:12:06+08:00
000063,中兴通讯,37.74,3.57,5.97,流入,121848.54,13.44,102141.98,11.27,19706.56,2.17,-43266.4,-4.77,-78582.15,-8.67,2026-06-04T15:11:12+08:00,2026-06-04T15:12:06+08:00
000065,北方国际,12.63,3.69,3.48,流入,2667.96,6.28,1159.35,2.73,1508.61,3.55,-707.35,-1.66,-1960.61,-4.61,2026-06-04T15:11:09+08:00,2026-06-04T15:12:06+08:00
000066,中国长城,17.95,-0.5,3.88,流出,-16778.07,-7.43,-11126.3,-4.93,-5651.77,-2.5,-2310.25,-1.02,19088.32,8.45,2026-06-04T15:11:15+08:00,2026-06-04T15:12:06+08:00
000068,华控赛格,3.24,0.62,1.68,流出,-191.33,-3.53,-117.93,-2.17,-73.39,-1.35,17.09,0.32,174.24,3.21,2026-06-04T15:11:18+08:00,2026-06-04T15:12:06+08:00
000069,华侨城Ａ,1.91,-2.55,0.83,流出,-1347.06,-12.23,-1579.59,-14.34,232.53,2.11,577.33,5.24,769.73,6.99,2026-06-04T15:12:03+08:00,2026-06-04T15:12:06+08:00
000070,特发信息,18.53,2.6,8.49,流入,8534.06,6.31,4204.14,3.11,4329.92,3.2,-2774.86,-2.05,-5759.19,-4.26,2026-06-04T15:12:06+08:00,2026-06-04T15:12:06+08:00
000078,ST海王,1.69,-5.06,4.14,流出,-1799.36,-9.69,-1262.84,-6.8,-536.52,-2.89,-67.51,-0.36,1866.88,10.05,2026-06-04T15:12:06+08:00,2026-06-04T15:12:06+08:00
000088,盐 田 港,4.4,-0.9,0.78,流出,-685.98,-6.28,0.39,0.0,-686.38,-6.28,1035.33,9.48,-349.35,-3.2,2026-06-04T15:11:09+08:00,2026-06-04T15:12:06+08:00
000089,深圳机场,6.53,-1.36,0.62,流出,-16.61,-0.2,-422.12,-5.06,405.51,4.86,950.53,11.39,-933.92,-11.19,2026-06-04T15:11:12+08:00,2026-06-04T15:12:06+08:00
000090,天健集团,3.52,-1.95,2.67,流出,-685.06,-3.85,230.81,1.3,-915.87,-5.15,-71.34,-0.4,756.4,4.25,2026-06-04T15:11:15+08:00,2026-06-04T15:12:06+08:00
000096,广聚能源,8.05,-3.36,1.4,流出,-1269.07,-21.89,-435.44,-7.51,-833.62,-14.38,756.89,13.06,512.18,8.83,2026-06-04T15:11:09+08:00,2026-06-04T15:12:06+08:00
000099,中信海直,15.0,-2.91,1.47,流出,-1449.42,-8.44,-1624.72,-9.46,175.3,1.02,-581.4,-3.39,2030.83,11.83,2026-06-04T15:11:12+08:00,2026-06-04T15:12:06+08:00
000100,TCL科技,4.92,3.8,11.14,流入,7693.15,0.74,-13252.07,-1.28,20945.22,2.02,-22235.99,-2.15,14542.85,1.4,2026-06-04T15:11:21+08:00,2026-06-04T15:12:06+08:00
000151,中成股份,14.23,2.67,6.35,流入,1040.03,3.76,472.83,1.71,567.19,2.05,-1316.14,-4.76,276.11,1.0,2026-06-04T15:11:18+08:00,2026-06-04T15:12:06+08:00
