代码,名称,最新价,涨跌幅%,换手率%,主力流向,主力净流入(万),主力净占比%,超大单净流入(万),超大单净占比%,大单净流入(万),大单净占比%,中单净流入(万),中单净占比%,小单净流入(万),小单净占比%,资金流时间,抓取时间
000001,平安银行,10.6,1.24,0.49,流出,-5234.28,-5.22,-1716.07,-1.71,-3518.2,-3.51,3392.1,3.38,1842.18,1.84,2026-07-08T15:07:15+08:00,2026-07-08T15:07:16+08:00
000002,万  科Ａ,3.0,0.33,0.91,流入,1813.08,6.89,1405.53,5.34,407.55,1.55,-639.78,-2.43,-1173.3,-4.46,2026-07-08T15:06:45+08:00,2026-07-08T15:07:16+08:00
000004,国华退,0.38,-5.0,3.72,流入,17.04,9.47,23.82,13.24,-6.79,-3.77,-1.08,-0.6,-15.96,-8.87,2026-07-08T15:06:30+08:00,2026-07-08T15:07:16+08:00
000006,深振业Ａ,6.78,-0.29,1.04,流出,-561.72,-5.91,-54.57,-0.57,-507.16,-5.33,-144.89,-1.52,706.62,7.43,2026-07-08T15:06:45+08:00,2026-07-08T15:07:16+08:00
000007,全新好,11.2,-3.36,2.14,流出,-658.57,-7.77,-359.1,-4.24,-299.47,-3.53,525.1,6.2,133.47,1.58,2026-07-08T15:06:30+08:00,2026-07-08T15:07:16+08:00
000008,神州高铁,,,0.0,,,,,,,,,,,,2026-07-08T15:06:33+08:00,2026-07-08T15:07:16+08:00
000009,中国宝安,6.16,-1.6,0.65,流出,-682.51,-6.57,-101.58,-0.98,-580.93,-5.59,-150.47,-1.45,832.98,8.02,2026-07-08T15:06:30+08:00,2026-07-08T15:07:16+08:00
000010,*ST美丽,1.85,1.09,2.27,流入,333.0,9.25,100.47,2.79,232.53,6.46,82.99,2.31,-415.98,-11.56,2026-07-08T15:07:15+08:00,2026-07-08T15:07:16+08:00
000011,深物业A,6.33,-0.63,0.62,流出,-394.77,-19.01,-194.27,-9.35,-200.5,-9.65,14.83,0.71,379.94,18.29,2026-07-08T15:07:00+08:00,2026-07-08T15:07:16+08:00
000012,南  玻Ａ,4.18,-1.18,2.57,流出,-1682.14,-7.89,-854.43,-4.01,-827.71,-3.88,-173.42,-0.81,1855.56,8.7,2026-07-08T15:07:15+08:00,2026-07-08T15:07:16+08:00
000014,沙河股份,8.92,-0.78,1.46,流出,-147.63,-4.68,0.0,0.0,-147.63,-4.68,-216.03,-6.84,363.66,11.52,2026-07-08T15:06:30+08:00,2026-07-08T15:07:16+08:00
000016,*ST康佳A,2.52,5.0,1.54,流入,766.25,12.57,107.76,1.77,658.49,10.81,-366.95,-6.02,-399.31,-6.55,2026-07-08T15:06:30+08:00,2026-07-08T15:07:16+08:00
000017,深中华A,6.06,0.5,3.5,流出,-342.47,-3.65,-143.98,-1.54,-198.48,-2.12,1163.77,12.41,-821.31,-8.76,2026-07-08T15:06:30+08:00,2026-07-08T15:07:16+08:00
000019,深粮控股,5.91,0.17,1.03,流出,-99.72,-3.97,0.0,0.0,-99.72,-3.97,199.46,7.93,-99.73,-3.97,2026-07-08T15:07:15+08:00,2026-07-08T15:07:16+08:00
000020,深华发Ａ,10.38,-2.35,1.76,流出,-32.46,-0.98,0.84,0.03,-33.3,-1.0,51.5,1.55,-19.04,-0.57,2026-07-08T15:06:30+08:00,2026-07-08T15:07:16+08:00
000021,深科技,51.13,-5.44,10.36,流出,-72729.2,-8.62,-31517.93,-3.74,-41211.27,-4.88,-9651.9,-1.14,82381.1,9.76,2026-07-08T15:07:15+08:00,2026-07-08T15:07:16+08:00
000025,特  力Ａ,13.27,-2.07,0.97,流出,-659.65,-12.93,0.0,0.0,-659.65,-12.93,306.19,6.0,353.46,6.93,2026-07-08T15:07:00+08:00,2026-07-08T15:07:16+08:00
000026,飞亚达,18.8,-8.34,3.96,流出,-2053.77,-7.35,-1169.56,-4.19,-884.22,-3.17,63.16,0.23,1990.62,7.13,2026-07-08T15:07:15+08:00,2026-07-08T15:07:16+08:00
000027,深圳能源,6.02,-0.17,0.45,流出,-1493.23,-11.54,-639.62,-4.95,-853.61,-6.6,123.32,0.95,1369.91,10.59,2026-07-08T15:06:30+08:00,2026-07-08T15:07:16+08:00
000028,国药一致,20.68,1.17,0.54,流出,-542.71,-9.31,103.75,1.78,-646.46,-11.09,-53.53,-0.92,596.23,10.23,2026-07-08T15:06:45+08:00,2026-07-08T15:07:16+08:00
000029,深深房Ａ,22.11,-0.81,0.46,流出,-712.27,-7.78,-18.07,-0.2,-694.2,-7.59,69.55,0.76,642.72,7.02,2026-07-08T15:07:00+08:00,2026-07-08T15:07:16+08:00
000030,富奥股份,4.01,0.25,0.54,流出,-57.5,-1.6,157.52,4.37,-215.02,-5.97,-235.69,-6.54,293.19,8.14,2026-07-08T15:07:15+08:00,2026-07-08T15:07:16+08:00
000031,大悦城,2.1,0.48,0.68,流出,-86.02,-1.43,147.43,2.44,-233.46,-3.87,89.12,1.48,-3.09,-0.05,2026-07-08T15:06:30+08:00,2026-07-08T15:07:16+08:00
000032,深桑达Ａ,21.04,-1.5,4.13,流入,8701.64,8.72,4761.59,4.77,3940.05,3.95,-4896.45,-4.91,-3805.19,-3.81,2026-07-08T15:06:45+08:00,2026-07-08T15:07:16+08:00
000034,神州数码,28.56,6.49,10.86,流入,35713.4,13.67,31901.77,12.21,3811.63,1.46,-15588.36,-5.97,-20125.04,-7.7,2026-07-08T15:07:15+08:00,2026-07-08T15:07:16+08:00
000035,中国天楹,4.55,-1.94,1.18,流出,-1443.32,-11.6,-232.78,-1.87,-1210.54,-9.73,-479.39,-3.85,1922.71,15.45,2026-07-08T15:06:45+08:00,2026-07-08T15:07:16+08:00
000036,华联控股,4.08,-1.92,1.57,流入,14.0,0.15,842.53,9.32,-828.52,-9.17,158.65,1.76,-172.65,-1.91,2026-07-08T15:07:15+08:00,2026-07-08T15:07:16+08:00
000037,深南电A,8.17,-0.97,2.67,流入,185.22,2.5,329.71,4.45,-144.49,-1.95,-569.17,-7.69,383.95,5.19,2026-07-08T15:06:45+08:00,2026-07-08T15:07:16+08:00
000039,中集集团,7.9,-0.75,1.28,流入,763.98,3.26,-405.95,-1.73,1169.92,4.99,-453.12,-1.93,-310.86,-1.33,2026-07-08T15:07:15+08:00,2026-07-08T15:07:16+08:00
000042,中洲控股,7.52,3.01,1.19,流出,-275.79,-4.64,-31.07,-0.52,-244.72,-4.12,815.84,13.74,-540.05,-9.09,2026-07-08T15:07:15+08:00,2026-07-08T15:07:16+08:00
000045,深纺织Ａ,9.5,-1.25,0.91,流出,-355.28,-8.98,4.3,0.11,-359.58,-9.09,216.11,5.46,139.16,3.52,2026-07-08T15:06:00+08:00,2026-07-08T15:07:16+08:00
000048,京基智农,21.85,1.53,3.48,流入,3776.6,9.44,1003.06,2.51,2773.54,6.93,673.47,1.68,-4450.07,-11.12,2026-07-08T15:07:00+08:00,2026-07-08T15:07:16+08:00
000049,德赛电池,23.97,-2.6,1.67,流出,-839.75,-5.44,-215.5,-1.4,-624.26,-4.04,-583.15,-3.78,1422.9,9.22,2026-07-08T15:07:00+08:00,2026-07-08T15:07:16+08:00
000050,深天马Ａ,7.86,-5.64,2.82,流出,-1658.82,-3.01,-1609.6,-2.92,-49.22,-0.09,713.97,1.29,944.85,1.71,2026-07-08T15:07:15+08:00,2026-07-08T15:07:16+08:00
