代码,名称,最新价,涨跌幅%,主力流向,主力净流入(万),主力净占比%,超大单净流入(万),超大单净占比%,大单净流入(万),大单净占比%,中单净流入(万),中单净占比%,小单净流入(万),小单净占比%,资金流时间,抓取时间
000001,平安银行,11.49,-0.26,流入,923.28,0.7,6077.14,4.63,-5153.86,-3.93,4881.04,3.72,-5804.32,-4.42,2026-04-30T15:00:00+08:00,2026-05-07T16:44:14+08:00
000002,万 科Ａ,3.91,1.03,流出,-2403.3,-3.71,-4816.0,-7.43,2412.7,3.72,-2232.44,-3.44,4635.75,7.15,2026-04-30T15:00:00+08:00,2026-05-07T16:44:15+08:00
000006,深振业Ａ,9.7,2.0,流入,1356.75,4.98,967.66,3.55,389.09,1.43,1460.62,5.36,-2817.36,-10.33,2026-04-30T15:00:00+08:00,2026-05-07T16:44:16+08:00
000007,全新好,15.51,10.0,流入,2390.39,13.85,1385.36,8.03,1005.02,5.82,-1676.29,-9.71,-714.1,-4.14,2026-04-30T15:00:00+08:00,2026-05-07T16:44:18+08:00
000008,神州高铁,2.69,-0.37,流入,427.09,3.78,-547.96,-4.85,975.05,8.64,-364.17,-3.23,-62.92,-0.56,2026-04-30T15:00:00+08:00,2026-05-07T16:44:19+08:00
000009,中国宝安,8.65,-6.79,流出,-6127.08,-8.74,-4629.56,-6.6,-1497.52,-2.14,7335.43,10.46,-1208.36,-1.72,2026-04-30T15:00:00+08:00,2026-05-07T16:44:21+08:00
000010,美丽生态,2.89,-4.93,流出,-72.28,-11.51,-309.95,-49.35,237.67,37.84,-3.67,-0.58,75.95,12.09,2026-04-30T15:00:00+08:00,2026-05-07T16:44:22+08:00
000011,深物业A,8.07,0.0,流入,503.35,7.09,-122.14,-1.72,625.48,8.8,130.3,1.83,-633.65,-8.92,2026-04-30T15:00:00+08:00,2026-05-07T16:44:23+08:00
000012,南 玻Ａ,4.03,-0.74,流入,777.98,9.27,1171.44,13.96,-393.46,-4.69,149.93,1.79,-927.91,-11.06,2026-04-30T15:00:00+08:00,2026-05-07T16:44:25+08:00
000014,沙河股份,13.2,0.0,流出,-478.82,-4.59,-120.57,-1.16,-358.26,-3.44,427.51,4.1,51.31,0.49,2026-04-30T15:00:00+08:00,2026-05-07T16:44:26+08:00
000016,深康佳Ａ,3.24,-4.99,流入,1652.98,23.09,1119.74,15.64,533.24,7.45,-1029.87,-14.39,-623.12,-8.7,2026-04-30T15:00:00+08:00,2026-05-07T16:44:27+08:00
000017,深中华A,6.41,0.0,流出,-405.26,-10.32,0.0,0.0,-405.26,-10.32,-58.24,-1.48,463.5,11.81,2026-04-30T15:00:00+08:00,2026-05-07T16:44:30+08:00
000019,深粮控股,7.69,-0.77,流出,-868.87,-6.36,-424.8,-3.11,-444.08,-3.25,-307.65,-2.25,1176.52,8.61,2026-04-30T15:00:00+08:00,2026-05-07T16:44:31+08:00
000020,深华发Ａ,15.96,0.19,流出,-247.73,-3.46,0.0,0.0,-247.73,-3.46,-191.18,-2.67,438.91,6.14,2026-04-30T15:00:00+08:00,2026-05-07T16:44:32+08:00
000021,深科技,29.22,-0.03,流出,-11163.96,-5.25,-11261.23,-5.29,97.27,0.05,2757.87,1.3,8406.09,3.95,2026-04-30T15:00:00+08:00,2026-05-07T16:44:34+08:00
000025,特 力Ａ,16.6,1.28,流入,1934.94,18.29,1225.77,11.59,709.17,6.7,281.02,2.66,-2215.96,-20.95,2026-04-30T15:00:00+08:00,2026-05-07T16:44:35+08:00
000026,飞亚达,18.13,0.22,流入,1293.69,5.38,586.94,2.44,706.75,2.94,-881.33,-3.67,-412.36,-1.72,2026-04-30T15:00:00+08:00,2026-05-07T16:44:37+08:00
000027,深圳能源,6.84,-1.72,流出,-3494.04,-13.94,-2149.11,-8.57,-1344.92,-5.37,1038.92,4.14,2455.11,9.79,2026-04-30T15:00:00+08:00,2026-05-07T16:44:38+08:00
000028,国药一致,24.54,-1.05,流入,1201.82,8.25,26.29,0.18,1175.53,8.07,1605.04,11.02,-2806.86,-19.27,2026-04-30T15:00:00+08:00,2026-05-07T16:44:39+08:00
000029,深深房Ａ,21.26,1.48,流入,1547.3,8.64,233.53,1.3,1313.77,7.33,363.4,2.03,-1910.7,-10.66,2026-04-30T15:00:00+08:00,2026-05-07T16:45:01+08:00
000030,富奥股份,5.09,-0.2,流入,720.39,10.36,187.48,2.7,532.91,7.66,-235.85,-3.39,-484.54,-6.97,2026-04-30T15:00:00+08:00,2026-05-07T16:45:03+08:00
000031,大悦城,3.06,3.03,流入,92.76,0.74,473.89,3.79,-381.13,-3.05,-184.08,-1.47,91.32,0.73,2026-04-30T15:00:00+08:00,2026-05-07T16:45:04+08:00
000032,深桑达Ａ,17.34,-2.53,流出,-6134.5,-17.78,-2096.1,-6.08,-4038.4,-11.71,2883.01,8.36,3251.48,9.42,2026-04-30T15:00:00+08:00,2026-05-07T16:45:05+08:00
000034,神州数码,37.67,0.61,流出,-642.04,-0.73,-19.52,-0.02,-622.53,-0.71,2712.74,3.07,-2070.7,-2.35,2026-04-30T15:00:00+08:00,2026-05-07T16:45:07+08:00
000035,中国天楹,6.53,-2.54,流出,-4711.81,-13.32,-2530.53,-7.15,-2181.28,-6.17,1608.57,4.55,3103.23,8.77,2026-04-30T15:00:00+08:00,2026-05-07T16:45:08+08:00
000036,华联控股,5.59,2.76,流出,-4094.47,-10.22,-2066.13,-5.16,-2028.35,-5.06,-817.06,-2.04,4911.53,12.26,2026-04-30T15:00:00+08:00,2026-05-07T16:45:09+08:00
000037,深南电A,10.8,-1.1,流出,-1172.88,-4.42,103.11,0.39,-1276.0,-4.81,-1461.69,-5.51,2634.57,9.92,2026-04-30T15:00:00+08:00,2026-05-07T16:45:11+08:00
000039,中集集团,12.39,-0.32,流入,14376.21,15.65,976.89,1.06,13399.32,14.59,-6091.36,-6.63,-8284.85,-9.02,2026-04-30T15:00:00+08:00,2026-05-07T16:45:23+08:00
000042,中洲控股,9.63,8.57,流入,5945.48,17.05,5760.53,16.52,184.95,0.53,-3292.52,-9.44,-2652.96,-7.61,2026-04-30T15:00:00+08:00,2026-05-07T16:45:24+08:00
000045,深纺织Ａ,12.01,2.56,流出,-676.63,-6.81,-192.63,-1.94,-484.0,-4.87,-305.81,-3.08,982.44,9.89,2026-04-30T15:00:00+08:00,2026-05-07T16:45:26+08:00
000048,京基智农,14.74,0.14,流入,132.91,0.78,102.21,0.6,30.7,0.18,487.96,2.86,-620.87,-3.64,2026-04-30T15:00:00+08:00,2026-05-07T16:45:27+08:00
000049,德赛电池,29.04,-2.32,流出,-2204.11,-4.27,-422.07,-0.82,-1782.04,-3.45,756.0,1.46,1448.11,2.8,2026-04-30T15:00:00+08:00,2026-05-07T16:45:28+08:00
000050,深天马Ａ,7.62,-6.85,流出,-1537.49,-3.92,-2080.7,-5.3,543.21,1.38,1331.26,3.39,206.23,0.53,2026-04-30T15:00:00+08:00,2026-05-07T16:45:30+08:00
000055,方大集团,3.65,0.27,流入,112.99,2.81,173.34,4.31,-60.35,-1.5,-128.77,-3.2,15.78,0.39,2026-04-30T15:00:00+08:00,2026-05-07T16:45:31+08:00
000056,皇庭国际,1.74,-4.92,流出,-4264.68,-22.9,-3855.61,-20.7,-409.07,-2.2,2045.45,10.98,2219.24,11.92,2026-04-30T15:00:00+08:00,2026-05-07T16:45:34+08:00
000058,深 赛 格,8.2,0.86,流入,646.11,11.3,-32.3,-0.56,678.41,11.87,-396.92,-6.94,-249.19,-4.36,2026-04-30T15:00:00+08:00,2026-05-07T16:45:35+08:00
000059,华锦股份,5.69,1.43,流入,92.43,0.46,-136.79,-0.67,229.22,1.13,-84.86,-0.42,-7.58,-0.04,2026-04-30T15:00:00+08:00,2026-05-07T16:45:36+08:00
000060,中金岭南,6.75,1.5,流出,-13478.25,-12.99,-6800.41,-6.55,-6677.84,-6.43,975.45,0.94,12502.8,12.05,2026-04-30T15:00:00+08:00,2026-05-07T16:45:38+08:00
000061,农 产 品,7.38,-0.94,流出,-1023.47,-11.35,-224.24,-2.49,-799.23,-8.87,58.29,0.65,965.18,10.71,2026-04-30T15:00:00+08:00,2026-05-07T16:45:39+08:00
000062,深圳华强,36.92,3.56,流出,-25182.14,-5.86,-682.46,-0.16,-24499.69,-5.71,7789.28,1.81,17392.86,4.05,2026-04-30T15:00:00+08:00,2026-05-07T16:45:48+08:00
000063,中兴通讯,36.7,0.77,流入,13040.97,3.64,14010.09,3.92,-969.12,-0.27,-5249.95,-1.47,-7791.03,-2.18,2026-04-30T15:00:00+08:00,2026-05-07T16:45:49+08:00
000065,北方国际,12.79,1.11,流入,1940.41,6.14,2114.35,6.69,-173.94,-0.55,-89.99,-0.28,-1850.42,-5.86,2026-04-30T15:00:00+08:00,2026-05-07T16:45:51+08:00
000066,中国长城,19.82,9.99,流入,231823.38,27.86,266606.38,32.04,-34783.0,-4.18,-117097.9,-14.07,-114725.48,-13.79,2026-04-30T15:00:00+08:00,2026-05-07T16:45:52+08:00
000068,华控赛格,3.28,0.0,流入,47.84,1.25,-0.2,-0.01,48.04,1.25,-450.31,-11.75,402.47,10.5,2026-04-30T15:00:00+08:00,2026-05-07T16:45:53+08:00
000069,华侨城Ａ,2.26,0.44,流出,-1643.39,-10.67,-398.5,-2.59,-1244.89,-8.08,361.47,2.35,1281.92,8.32,2026-04-30T15:00:00+08:00,2026-05-07T16:45:55+08:00
000070,特发信息,18.08,-6.47,流出,-24804.51,-15.18,-3311.91,-2.03,-21492.6,-13.16,-1740.97,-1.07,26545.48,16.25,2026-04-30T15:00:00+08:00,2026-05-07T16:45:56+08:00
000088,盐 田 港,4.53,0.0,流入,506.29,5.56,333.72,3.66,172.57,1.89,162.32,1.78,-668.61,-7.34,2026-04-30T15:00:00+08:00,2026-05-07T16:48:16+08:00
000089,深圳机场,7.13,0.28,流入,1987.54,16.66,2696.02,22.6,-708.48,-5.94,-381.65,-3.2,-1605.89,-13.46,2026-04-30T15:00:00+08:00,2026-05-07T16:48:17+08:00
000090,天健集团,3.52,0.57,流入,500.1,6.12,447.17,5.47,52.93,0.65,175.08,2.14,-675.18,-8.26,2026-04-30T15:00:00+08:00,2026-05-07T16:48:19+08:00
000096,广聚能源,9.73,-0.21,流出,-497.95,-8.05,-459.55,-7.43,-38.41,-0.62,330.76,5.35,167.2,2.7,2026-04-30T15:00:00+08:00,2026-05-07T16:48:20+08:00
000099,中信海直,17.67,-0.9,流出,-1444.08,-10.86,-738.59,-5.55,-705.49,-5.3,550.25,4.14,893.82,6.72,2026-04-30T15:00:00+08:00,2026-05-07T16:48:22+08:00
000100,TCL科技,4.27,-1.16,流出,-9989.83,-3.3,-25371.76,-8.38,15381.93,5.08,15411.02,5.09,-5421.19,-1.79,2026-04-30T15:00:00+08:00,2026-05-07T16:48:23+08:00
000151,中成股份,11.84,0.17,流出,-155.33,-1.53,-15.2,-0.15,-140.14,-1.38,-272.9,-2.69,428.24,4.22,2026-04-30T15:00:00+08:00,2026-05-07T16:48:24+08:00
000153,丰原药业,6.45,-0.31,流出,-737.82,-12.97,-246.9,-4.34,-490.93,-8.63,72.73,1.28,665.09,11.69,2026-04-30T15:00:00+08:00,2026-05-07T16:48:26+08:00
000155,川能动力,17.42,-9.51,流出,-59503.43,-19.9,-30406.77,-10.17,-29096.66,-9.73,15312.98,5.12,44190.46,14.78,2026-04-30T15:00:00+08:00,2026-05-07T16:48:27+08:00
000156,华数传媒,7.41,-0.94,流入,663.76,11.9,-103.19,-1.85,766.95,13.75,570.18,10.22,-1233.94,-22.12,2026-04-30T15:00:00+08:00,2026-05-07T16:48:30+08:00
000157,中联重科,7.95,-1.97,流出,-1247.18,-1.28,-11580.41,-11.86,10333.22,10.58,3017.81,3.09,-1770.62,-1.81,2026-04-30T15:00:00+08:00,2026-05-07T16:48:31+08:00
000158,常山北明,17.2,-0.92,流出,-5346.9,-13.27,-1877.52,-4.66,-3469.39,-8.61,-308.31,-0.76,5655.21,14.03,2026-04-30T15:00:00+08:00,2026-05-07T16:48:33+08:00
000159,国际实业,6.5,0.0,流出,-565.42,-5.81,195.74,2.01,-761.16,-7.82,-268.52,-2.76,833.94,8.57,2026-04-30T15:00:00+08:00,2026-05-07T16:48:35+08:00
000166,申万宏源,4.74,0.0,流出,-6046.25,-12.09,-6804.63,-13.6,758.38,1.52,1488.69,2.98,4557.57,9.11,2026-04-30T15:00:00+08:00,2026-05-07T16:48:36+08:00
000301,东方盛虹,13.27,0.08,流入,542.99,1.08,884.65,1.76,-341.66,-0.68,-2211.75,-4.4,1668.77,3.32,2026-04-30T15:00:00+08:00,2026-05-07T16:48:38+08:00
000333,美的集团,81.1,-0.26,流入,16933.36,5.86,7665.24,2.65,9268.12,3.21,-5263.82,-1.82,-11669.54,-4.04,2026-04-30T15:00:00+08:00,2026-05-07T16:48:39+08:00
000338,潍柴动力,31.2,3.48,流出,-18963.88,-3.53,1485.66,0.28,-20449.54,-3.81,25719.7,4.79,-6755.82,-1.26,2026-04-30T15:00:00+08:00,2026-05-07T16:48:40+08:00
