代码,名称,最新价,涨跌幅%,换手率%,主力流向,主力净流入(万),主力净占比%,超大单净流入(万),超大单净占比%,大单净流入(万),大单净占比%,中单净流入(万),中单净占比%,小单净流入(万),小单净占比%,资金流时间,抓取时间
000001,平安银行,11.3,-0.18,0.6,流出,-11389.79,-8.71,-6694.87,-5.12,-4694.92,-3.59,-3525.81,-2.7,14915.6,11.4,2026-06-11T15:06:09+08:00,2026-06-11T15:06:13+08:00
000002,万  科Ａ,3.12,-0.95,1.21,流出,-811.52,-2.2,-1938.42,-5.26,1126.91,3.06,355.12,0.96,456.4,1.24,2026-06-11T15:06:09+08:00,2026-06-11T15:06:13+08:00
000004,*ST国华,,,0.0,,,,,,,,,,,,2026-06-11T15:06:12+08:00,2026-06-11T15:06:13+08:00
000006,深振业Ａ,7.85,-1.88,1.69,流出,-946.29,-5.33,-846.59,-4.77,-99.7,-0.56,77.23,0.44,869.06,4.9,2026-06-11T15:06:09+08:00,2026-06-11T15:06:13+08:00
000007,全新好,13.93,0.65,3.72,流入,499.53,2.79,-101.05,-0.56,600.58,3.35,169.81,0.95,-669.34,-3.74,2026-06-11T15:05:15+08:00,2026-06-11T15:06:13+08:00
000008,神州高铁,2.4,-4.0,1.29,流出,-1885.32,-22.29,-539.67,-6.38,-1345.65,-15.91,46.16,0.55,1839.17,21.75,2026-06-11T15:05:18+08:00,2026-06-11T15:06:13+08:00
000009,中国宝安,6.85,-2.28,0.72,流出,-1231.04,-9.66,-366.56,-2.88,-864.48,-6.79,498.89,3.92,732.15,5.75,2026-06-11T15:06:12+08:00,2026-06-11T15:06:13+08:00
000010,*ST美丽,2.19,-5.19,2.58,流出,-1039.32,-21.13,-219.22,-4.46,-820.1,-16.67,437.97,8.9,601.35,12.23,2026-06-11T15:06:09+08:00,2026-06-11T15:06:13+08:00
000011,深物业A,7.19,-1.78,0.65,流出,-94.04,-3.83,-48.46,-1.97,-45.58,-1.85,221.93,9.03,-127.9,-5.2,2026-06-11T15:05:15+08:00,2026-06-11T15:06:13+08:00
000012,南  玻Ａ,4.08,-3.55,2.84,流出,-2638.15,-11.5,-2145.58,-9.35,-492.57,-2.15,422.9,1.84,2215.24,9.66,2026-06-11T15:06:12+08:00,2026-06-11T15:06:13+08:00
000014,沙河股份,10.15,-1.65,1.67,流入,44.1,1.08,99.88,2.45,-55.77,-1.37,-160.07,-3.92,115.96,2.84,2026-06-11T15:05:15+08:00,2026-06-11T15:06:13+08:00
000016,*ST康佳A,2.81,-4.42,1.89,流出,-937.14,-10.84,-507.26,-5.87,-429.88,-4.97,-142.59,-1.65,1079.73,12.49,2026-06-11T15:05:18+08:00,2026-06-11T15:06:13+08:00
000017,深中华A,5.02,-0.59,1.65,流入,79.62,2.21,0.0,0.0,79.62,2.21,-34.59,-0.96,-45.03,-1.25,2026-06-11T15:05:21+08:00,2026-06-11T15:06:13+08:00
000019,深粮控股,6.55,3.97,3.43,流入,1006.61,10.87,353.79,3.82,652.82,7.05,178.0,1.92,-1184.61,-12.79,2026-06-11T15:05:24+08:00,2026-06-11T15:06:13+08:00
000020,深华发Ａ,11.69,-0.68,1.58,流出,-46.47,-1.4,5.92,0.18,-52.39,-1.58,10.62,0.32,35.85,1.08,2026-06-11T15:05:18+08:00,2026-06-11T15:06:13+08:00
000021,深科技,39.08,1.93,8.25,流出,-788.53,-0.16,6693.25,1.33,-7481.78,-1.49,7291.94,1.45,-6503.41,-1.3,2026-06-11T15:05:21+08:00,2026-06-11T15:06:13+08:00
000025,特  力Ａ,15.27,-2.37,3.75,流出,-607.59,-2.67,110.48,0.49,-718.07,-3.15,-533.0,-2.34,1140.59,5.01,2026-06-11T15:05:27+08:00,2026-06-11T15:06:13+08:00
000026,飞亚达,20.97,-1.36,2.06,流出,-111.03,-0.7,-31.84,-0.2,-79.18,-0.5,-100.56,-0.64,211.58,1.34,2026-06-11T15:05:24+08:00,2026-06-11T15:06:13+08:00
000027,深圳能源,7.1,-0.84,0.83,流入,1309.12,4.68,-258.54,-0.92,1567.66,5.61,1360.37,4.87,-2669.49,-9.55,2026-06-11T15:05:21+08:00,2026-06-11T15:06:13+08:00
000028,国药一致,22.31,-1.54,0.3,流出,-238.59,-7.49,0.0,0.0,-238.59,-7.49,23.68,0.74,214.91,6.75,2026-06-11T15:05:24+08:00,2026-06-11T15:06:13+08:00
000029,深深房Ａ,25.46,-5.67,2.1,流出,-111.98,-0.23,-1511.75,-3.1,1399.77,2.87,309.45,0.64,-197.47,-0.41,2026-06-11T15:06:09+08:00,2026-06-11T15:06:13+08:00
000030,富奥股份,4.29,-4.03,1.49,流出,-651.79,-6.07,-840.76,-7.82,188.96,1.76,407.3,3.79,244.49,2.28,2026-06-11T15:05:27+08:00,2026-06-11T15:06:13+08:00
000031,大悦城,2.47,-0.8,0.85,流入,62.74,0.69,180.64,2.0,-117.89,-1.3,-73.23,-0.81,10.49,0.12,2026-06-11T15:05:27+08:00,2026-06-11T15:06:13+08:00
000032,深桑达Ａ,17.2,9.97,3.2,流入,24282.96,39.69,22595.44,36.93,1687.52,2.76,-12128.94,-19.83,-12154.01,-19.87,2026-06-11T15:05:30+08:00,2026-06-11T15:06:13+08:00
000034,神州数码,22.15,-4.4,3.47,流出,-8398.13,-12.71,-2095.03,-3.17,-6303.1,-9.54,-867.08,-1.31,9265.21,14.02,2026-06-11T15:05:30+08:00,2026-06-11T15:06:13+08:00
000035,中国天楹,5.0,0.0,1.42,流入,860.63,5.25,221.54,1.35,639.09,3.9,-676.66,-4.13,-183.97,-1.12,2026-06-11T15:06:12+08:00,2026-06-11T15:06:13+08:00
000036,华联控股,4.96,-0.8,1.32,流出,-815.23,-8.9,-379.45,-4.14,-435.78,-4.76,457.94,5.0,357.29,3.9,2026-06-11T15:05:15+08:00,2026-06-11T15:06:13+08:00
000037,深南电A,11.54,4.43,15.35,流入,2574.48,4.32,778.95,1.31,1795.52,3.01,1802.01,3.02,-4376.49,-7.35,2026-06-11T15:05:33+08:00,2026-06-11T15:06:13+08:00
000039,中集集团,9.26,0.11,1.68,流入,1500.69,4.25,649.75,1.84,850.94,2.41,326.58,0.92,-1827.27,-5.17,2026-06-11T15:05:18+08:00,2026-06-11T15:06:13+08:00
000042,中洲控股,8.95,-2.82,1.16,流出,-1069.26,-15.43,-210.56,-3.04,-858.69,-12.39,722.67,10.43,346.58,5.0,2026-06-11T15:05:36+08:00,2026-06-11T15:06:13+08:00
000045,深纺织Ａ,10.6,-1.67,1.07,流出,-268.34,-5.17,104.9,2.02,-373.24,-7.19,36.23,0.7,232.1,4.47,2026-06-11T15:05:21+08:00,2026-06-11T15:06:13+08:00
000048,京基智农,19.61,9.98,5.51,流入,7007.1,12.5,12392.8,22.11,-5385.7,-9.61,-4409.62,-7.87,-2597.48,-4.63,2026-06-11T15:05:30+08:00,2026-06-11T15:06:13+08:00
000049,德赛电池,22.41,-2.86,1.93,流出,-623.11,-3.73,170.33,1.02,-793.44,-4.75,-34.25,-0.2,657.36,3.93,2026-06-11T15:05:24+08:00,2026-06-11T15:06:13+08:00
000050,深天马Ａ,7.66,-4.25,2.02,流出,-2716.82,-7.13,-2231.76,-5.86,-485.06,-1.27,750.38,1.97,1966.44,5.16,2026-06-11T15:05:27+08:00,2026-06-11T15:06:13+08:00
000055,方大集团,3.7,0.82,3.64,流出,-452.82,-5.0,-461.25,-5.1,8.43,0.09,478.48,5.29,-25.66,-0.28,2026-06-11T15:05:39+08:00,2026-06-11T15:06:13+08:00
000056,*ST皇庭,1.64,-5.2,6.68,流出,-153.27,-1.54,222.43,2.23,-375.7,-3.77,194.28,1.95,-41.01,-0.41,2026-06-11T15:05:30+08:00,2026-06-11T15:06:13+08:00
000058,深 赛 格,6.73,-2.04,0.54,流入,72.53,2.04,0.0,0.0,72.53,2.04,-307.17,-8.64,234.64,6.6,2026-06-11T15:06:12+08:00,2026-06-11T15:06:13+08:00
000059,华锦股份,4.23,-0.24,1.06,流出,-58.96,-0.83,105.85,1.48,-164.81,-2.31,240.97,3.38,-182.01,-2.55,2026-06-11T15:05:42+08:00,2026-06-11T15:06:13+08:00
000060,中金岭南,7.17,3.17,5.22,流入,13180.81,7.92,9330.0,5.6,3850.81,2.31,-2218.78,-1.33,-10962.02,-6.58,2026-06-11T15:05:15+08:00,2026-06-11T15:06:13+08:00
000061,农 产 品,5.87,-1.51,0.63,流出,-882.82,-13.13,-514.62,-7.66,-368.21,-5.48,-12.08,-0.18,894.91,13.31,2026-06-11T15:05:45+08:00,2026-06-11T15:06:13+08:00
000062,深圳华强,29.99,-4.64,3.92,流出,-12081.73,-9.77,-5842.3,-4.72,-6239.44,-5.04,-3283.78,-2.65,15365.52,12.42,2026-06-11T15:05:33+08:00,2026-06-11T15:06:13+08:00
000063,中兴通讯,37.81,-1.59,6.16,流出,-69644.95,-7.34,-50894.58,-5.36,-18750.37,-1.97,12697.6,1.34,56947.35,6.0,2026-06-11T15:05:33+08:00,2026-06-11T15:06:13+08:00
000065,北方国际,10.93,-5.45,2.18,流出,-1609.01,-6.82,-149.27,-0.63,-1459.74,-6.18,-1761.85,-7.46,3370.86,14.28,2026-06-11T15:05:33+08:00,2026-06-11T15:06:13+08:00
