代码,名称,最新价,涨跌幅%,主力流向,主力净流入(万),主力净占比%,超大单净流入(万),超大单净占比%,大单净流入(万),大单净占比%,中单净流入(万),中单净占比%,小单净流入(万),小单净占比%,资金流时间,抓取时间
000001,平安银行,11.0,0.18,流出,-2295.34,-3.22,3744.08,5.26,-6039.43,-8.49,1183.29,1.66,1112.06,1.56,2026-04-23T15:34:36+08:00,2026-04-23T15:53:16+08:00
000002,万  科Ａ,3.82,-1.55,流出,-4031.75,-13.08,-3182.74,-10.32,-849.01,-2.75,1438.65,4.67,2593.09,8.41,2026-04-23T13:55:36+08:00,2026-04-23T13:55:38+08:00
000006,深振业Ａ,9.77,0.1,流入,2097.47,7.38,48.61,0.17,2048.86,7.21,-239.05,-0.84,-1858.41,-6.54,2026-04-23T13:55:30+08:00,2026-04-23T13:55:38+08:00
000007,全新好,13.71,-0.94,流出,-304.58,-7.24,0.0,0.0,-304.58,-7.24,-415.89,-9.89,720.47,17.13,2026-04-23T13:55:12+08:00,2026-04-23T13:55:38+08:00
000008,神州高铁,2.68,-0.74,流出,-333.31,-3.35,445.1,4.48,-778.41,-7.83,-14.58,-0.15,347.89,3.5,2026-04-23T13:55:36+08:00,2026-04-23T13:55:38+08:00
000009,中国宝安,8.87,-1.11,流出,-1646.36,-8.77,-1622.6,-8.64,-23.76,-0.13,939.81,5.01,706.55,3.76,2026-04-23T13:55:36+08:00,2026-04-23T13:55:38+08:00
000010,美丽生态,3.68,-1.34,流出,-1006.36,-9.68,-530.35,-5.1,-476.01,-4.58,-49.39,-0.47,1055.75,10.15,2026-04-23T13:55:36+08:00,2026-04-23T13:55:38+08:00
000011,深物业A,8.42,0.0,流出,-309.81,-11.84,-126.6,-4.84,-183.2,-7.0,-138.29,-5.29,448.09,17.13,2026-04-23T13:55:09+08:00,2026-04-23T13:55:38+08:00
000012,南  玻Ａ,4.46,-1.11,流出,-730.12,-12.53,-336.67,-5.78,-393.45,-6.75,9.49,0.16,720.63,12.36,2026-04-23T13:55:36+08:00,2026-04-23T13:55:38+08:00
000014,沙河股份,13.12,-1.28,流出,-14.74,-0.28,0.0,0.0,-14.74,-0.28,-32.61,-0.62,47.35,0.91,2026-04-23T13:55:33+08:00,2026-04-23T13:55:38+08:00
