代码,名称,最新价,涨跌幅%,主力流向,主力净流入(万),主力净占比%,超大单净流入(万),超大单净占比%,大单净流入(万),大单净占比%,中单净流入(万),中单净占比%,小单净流入(万),小单净占比%,资金流时间,抓取时间
000001,平安银行,11.37,0.09,流入,6564.19,6.18,9931.4,9.34,-3367.21,-3.17,1712.27,1.61,-8276.46,-7.79,2026-05-07T15:34:12+08:00,2026-05-07T16:22:22+08:00
000002,万  科Ａ,3.98,-0.75,流入,529.71,1.17,-1220.37,-2.7,1750.08,3.88,1129.2,2.5,-1658.9,-3.67,2026-05-07T15:34:15+08:00,2026-05-07T16:22:22+08:00
000006,深振业Ａ,9.44,-0.32,流出,-2702.33,-9.87,-3059.82,-11.18,357.49,1.31,1220.17,4.46,1482.16,5.41,2026-05-07T15:34:12+08:00,2026-05-07T16:22:22+08:00
000007,全新好,17.02,6.57,流入,707.17,3.01,-712.44,-3.03,1419.62,6.03,-331.24,-1.41,-375.93,-1.6,2026-05-07T15:34:12+08:00,2026-05-07T16:22:22+08:00
000008,神州高铁,2.73,1.11,流出,-385.95,-2.75,1719.85,12.23,-2105.8,-14.98,14.08,0.1,371.87,2.65,2026-05-07T15:34:15+08:00,2026-05-07T16:22:22+08:00
000009,中国宝安,8.61,-1.49,流出,-5101.81,-15.74,-3096.74,-9.56,-2005.07,-6.19,2142.82,6.61,2958.99,9.13,2026-05-07T15:34:12+08:00,2026-05-07T16:22:22+08:00
000010,*ST美丽,2.61,-5.09,流出,-62.17,-19.96,0.0,0.0,-62.17,-19.96,-18.37,-5.9,80.54,25.86,2026-05-07T15:34:15+08:00,2026-05-07T16:22:22+08:00
000011,深物业A,7.87,-1.63,流出,-647.63,-13.52,-224.82,-4.69,-422.82,-8.82,444.41,9.28,203.22,4.24,2026-05-07T15:34:18+08:00,2026-05-07T16:22:22+08:00
000012,南  玻Ａ,4.04,0.25,流入,848.06,10.21,235.31,2.83,612.75,7.38,-155.44,-1.87,-692.62,-8.34,2026-05-07T15:34:15+08:00,2026-05-07T16:22:22+08:00
000014,沙河股份,12.94,-1.22,流出,-1450.28,-14.01,-610.7,-5.9,-839.58,-8.11,523.13,5.05,927.15,8.95,2026-05-07T15:34:21+08:00,2026-05-07T16:22:22+08:00
000016,*ST康佳A,2.94,-4.55,流入,4532.29,13.34,547.75,1.61,3984.54,11.73,724.25,2.13,-5256.54,-15.47,2026-05-07T15:34:18+08:00,2026-05-07T16:22:22+08:00
000017,深中华A,6.39,-0.31,流入,127.51,2.35,-288.62,-5.32,416.13,7.67,-9.66,-0.18,-117.85,-2.17,2026-05-07T15:34:15+08:00,2026-05-07T16:22:22+08:00
000019,深粮控股,7.62,-2.56,流出,-1960.88,-11.63,-1305.62,-7.74,-655.26,-3.89,1322.51,7.84,638.37,3.79,2026-05-07T15:34:18+08:00,2026-05-07T16:22:22+08:00
000020,深华发Ａ,16.02,0.44,流出,-842.18,-9.11,0.0,0.0,-842.18,-9.11,175.97,1.9,666.21,7.21,2026-05-07T15:34:21+08:00,2026-05-07T16:22:22+08:00
000021,深科技,31.54,2.67,流入,17985.27,4.65,12912.12,3.34,5073.15,1.31,-3798.46,-0.98,-14186.8,-3.66,2026-05-07T15:34:24+08:00,2026-05-07T16:22:22+08:00
000025,特  力Ａ,16.12,-1.16,流出,-1331.74,-14.62,-568.48,-6.24,-763.26,-8.38,559.83,6.15,771.91,8.47,2026-05-07T15:34:21+08:00,2026-05-07T16:22:22+08:00
000026,飞亚达,18.72,4.87,流入,1839.96,4.75,1841.06,4.75,-1.11,0.0,-286.03,-0.74,-1553.92,-4.01,2026-05-07T15:34:24+08:00,2026-05-07T16:22:22+08:00
000027,深圳能源,7.09,0.71,流出,-417.33,-1.21,-688.79,-1.99,271.46,0.79,348.92,1.01,68.41,0.2,2026-05-07T15:34:27+08:00,2026-05-07T16:22:22+08:00
000028,国药一致,24.52,-0.2,流入,448.16,5.25,-511.7,-6.0,959.86,11.25,514.33,6.03,-962.49,-11.28,2026-05-07T15:34:24+08:00,2026-05-07T16:22:22+08:00
000029,深深房Ａ,21.39,1.18,流出,-610.51,-5.47,-312.98,-2.81,-297.53,-2.67,893.24,8.01,-282.73,-2.53,2026-05-07T15:34:27+08:00,2026-05-07T16:22:22+08:00
000030,富奥股份,5.09,-0.2,流入,310.35,4.39,-79.47,-1.13,389.81,5.52,458.43,6.49,-768.78,-10.89,2026-05-07T15:34:27+08:00,2026-05-07T16:22:22+08:00
000031,大悦城,3.02,-2.27,流出,-883.15,-10.51,-716.23,-8.52,-166.91,-1.99,791.46,9.42,91.68,1.09,2026-05-07T15:34:30+08:00,2026-05-07T16:22:22+08:00
000032,深桑达Ａ,18.22,2.13,流出,-1253.57,-3.75,-197.13,-0.59,-1056.44,-3.16,-1852.05,-5.55,3105.63,9.3,2026-05-07T15:34:30+08:00,2026-05-07T16:22:22+08:00
000034,神州数码,41.4,5.0,流入,18645.84,7.3,-3394.76,-1.33,22040.61,8.63,-10029.37,-3.93,-8616.48,-3.37,2026-05-07T15:34:33+08:00,2026-05-07T16:22:22+08:00
000035,中国天楹,6.69,1.52,流入,793.41,2.58,2178.45,7.09,-1385.04,-4.51,-400.57,-1.3,-392.84,-1.28,2026-05-07T15:34:18+08:00,2026-05-07T16:22:22+08:00
000036,华联控股,5.52,-1.25,流出,-3031.16,-12.2,-3049.6,-12.28,18.44,0.07,1555.83,6.26,1475.33,5.94,2026-05-07T15:34:18+08:00,2026-05-07T16:22:22+08:00
000037,深南电A,11.3,1.07,流入,170.31,0.41,-472.36,-1.14,642.67,1.55,-679.65,-1.63,509.34,1.22,2026-05-07T15:34:21+08:00,2026-05-07T16:22:22+08:00
000039,中集集团,13.21,-1.12,流出,-8625.16,-7.52,-2088.06,-1.82,-6537.1,-5.7,5172.22,4.51,3452.94,3.01,2026-05-07T15:34:24+08:00,2026-05-07T16:22:22+08:00
000042,中洲控股,9.61,-1.54,流入,449.64,3.09,594.05,4.08,-144.41,-0.99,-429.34,-2.95,-20.31,-0.14,2026-05-07T15:34:36+08:00,2026-05-07T16:22:22+08:00
000045,深纺织Ａ,12.18,0.33,流出,-830.11,-11.04,-25.66,-0.34,-804.46,-10.7,-140.68,-1.87,970.8,12.92,2026-05-07T15:34:39+08:00,2026-05-07T16:22:22+08:00
000048,京基智农,14.94,1.84,流入,517.09,2.41,-994.8,-4.63,1511.89,7.03,-401.75,-1.87,-115.34,-0.54,2026-05-07T15:34:33+08:00,2026-05-07T16:22:22+08:00
000049,德赛电池,28.87,-1.77,流出,-3241.32,-6.78,-1331.37,-2.79,-1909.95,-4.0,525.24,1.1,2716.08,5.68,2026-05-07T15:34:27+08:00,2026-05-07T16:22:22+08:00
000050,深天马Ａ,7.71,1.45,流出,-381.97,-1.75,-636.32,-2.91,254.36,1.16,-399.17,-1.83,781.13,3.58,2026-05-07T15:34:30+08:00,2026-05-07T16:22:22+08:00
000055,方大集团,3.71,0.0,流入,280.91,6.45,243.4,5.59,37.51,0.86,8.13,0.19,-289.04,-6.64,2026-05-07T15:34:21+08:00,2026-05-07T16:22:22+08:00
000056,*ST皇庭,1.7,-5.03,流出,-3423.83,-22.4,-36.16,-0.24,-3387.67,-22.17,1629.11,10.66,1794.72,11.74,2026-05-07T15:34:33+08:00,2026-05-07T16:22:22+08:00
000058,深 赛 格,8.17,-0.73,流出,-387.91,-6.76,-79.43,-1.38,-308.49,-5.37,215.7,3.76,172.21,3.0,2026-05-07T15:34:36+08:00,2026-05-07T16:22:22+08:00
000059,华锦股份,5.2,-5.11,流出,-499.06,-1.84,-803.63,-2.96,304.57,1.12,2360.24,8.69,-1861.18,-6.85,2026-05-07T15:34:42+08:00,2026-05-07T16:22:22+08:00
000060,中金岭南,8.08,8.75,流入,32007.69,5.62,23166.52,4.07,8841.17,1.55,-1972.82,-0.35,-30034.87,-5.27,2026-05-07T15:34:45+08:00,2026-05-07T16:22:22+08:00
000061,农 产 品,7.4,-1.73,流出,-2540.28,-16.14,-2524.82,-16.05,-15.46,-0.1,2311.45,14.69,228.83,1.45,2026-05-07T15:34:48+08:00,2026-05-07T16:22:22+08:00
000062,深圳华强,37.46,1.57,流出,-9326.59,-2.3,-12330.87,-3.04,3004.28,0.74,2509.2,0.62,6817.39,1.68,2026-05-07T15:34:30+08:00,2026-05-07T16:22:22+08:00
000063,中兴通讯,38.9,1.7,流出,-2435.02,-0.43,-11763.91,-2.08,9328.89,1.65,-2661.1,-0.47,5096.12,0.9,2026-05-07T15:34:36+08:00,2026-05-07T16:22:22+08:00
000065,北方国际,13.85,4.84,流入,1756.29,2.48,286.98,0.4,1469.3,2.07,66.6,0.09,-1822.89,-2.57,2026-05-07T15:34:39+08:00,2026-05-07T16:22:22+08:00
000066,中国长城,23.98,10.0,流入,712.61,0.06,81731.55,6.81,-81018.94,-6.75,-35515.67,-2.96,34803.06,2.9,2026-05-07T15:34:33+08:00,2026-05-07T16:22:22+08:00
000068,华控赛格,3.27,0.0,流出,-119.4,-2.4,-175.99,-3.53,56.58,1.14,109.41,2.2,9.99,0.2,2026-05-07T15:34:42+08:00,2026-05-07T16:22:22+08:00
