代码,名称,最新价,涨跌幅%,换手率%,主力流向,主力净流入(万),主力净占比%,超大单净流入(万),超大单净占比%,大单净流入(万),大单净占比%,中单净流入(万),中单净占比%,小单净流入(万),小单净占比%,资金流时间,抓取时间
000001,平安银行,10.77,-0.65,0.41,流出,-6426.59,-7.43,-5116.02,-5.92,-1310.58,-1.52,-473.75,-0.55,6900.34,7.98,2026-07-16T15:10:30+08:00,2026-07-16T15:10:49+08:00
000002,万  科Ａ,3.23,3.19,2.09,流入,12025.72,18.63,8395.17,13.01,3630.55,5.63,-7614.49,-11.8,-4411.23,-6.84,2026-07-16T15:10:45+08:00,2026-07-16T15:10:49+08:00
000004,国华退,,,0.0,,,,,,,,,,,,2026-07-16T08:00:00+08:00,2026-07-16T15:10:49+08:00
000006,深振业Ａ,6.56,1.23,1.42,流出,-153.48,-1.22,-719.8,-5.7,566.31,4.49,-163.16,-1.29,316.64,2.51,2026-07-16T15:10:30+08:00,2026-07-16T15:10:49+08:00
000007,全新好,10.1,-1.08,1.61,流出,-62.21,-1.1,-15.54,-0.27,-46.67,-0.83,192.86,3.41,-130.65,-2.31,2026-07-16T15:10:45+08:00,2026-07-16T15:10:49+08:00
000008,神州高铁,2.35,-7.11,2.88,流出,-1688.72,-9.0,-690.21,-3.68,-998.51,-5.32,-252.32,-1.35,1941.04,10.35,2026-07-16T15:10:45+08:00,2026-07-16T15:10:49+08:00
000009,中国宝安,6.21,1.31,0.86,流出,-327.83,-2.39,147.81,1.08,-475.64,-3.47,-906.56,-6.61,1234.39,9.0,2026-07-16T15:10:15+08:00,2026-07-16T15:10:49+08:00
000010,*ST美丽,1.81,5.85,2.86,流入,406.93,9.2,221.56,5.01,185.37,4.19,-73.69,-1.67,-333.24,-7.54,2026-07-16T15:10:30+08:00,2026-07-16T15:10:49+08:00
000011,深物业A,6.68,3.73,1.45,流入,473.44,9.28,0.0,0.0,473.44,9.28,152.93,3.0,-626.38,-12.28,2026-07-16T15:10:45+08:00,2026-07-16T15:10:49+08:00
000012,南  玻Ａ,3.85,-0.77,1.35,流出,-414.97,-4.09,207.46,2.04,-622.43,-6.13,-514.28,-5.07,929.25,9.15,2026-07-16T15:10:00+08:00,2026-07-16T15:10:49+08:00
