代码,名称,最新价,涨跌幅%,换手率%,主力流向,主力净流入(万),主力净占比%,超大单净流入(万),超大单净占比%,大单净流入(万),大单净占比%,中单净流入(万),中单净占比%,小单净流入(万),小单净占比%,资金流时间,抓取时间
000001,平安银行,10.78,0.09,0.55,流出,-17429.09,-14.98,-4498.42,-3.87,-12930.67,-11.12,4635.39,3.99,12793.7,11.0,2026-07-17T15:34:51+08:00,2026-07-17T17:31:55+08:00
000002,万  科Ａ,3.1,-4.02,1.98,流出,-11031.96,-18.19,-8363.11,-13.79,-2668.84,-4.4,3628.57,5.98,7403.38,12.21,2026-07-17T15:34:54+08:00,2026-07-17T17:31:55+08:00
000004,国华退,,,0.0,,,,,,,,,,,,2026-07-17T08:00:00+08:00,2026-07-17T17:31:55+08:00
000006,深振业Ａ,6.07,-7.47,1.88,流出,-1945.39,-12.25,-923.65,-5.82,-1021.74,-6.44,1086.38,6.84,859.01,5.41,2026-07-17T15:34:51+08:00,2026-07-17T17:31:55+08:00
000007,全新好,9.41,-6.83,2.98,流出,-757.65,-7.6,-182.46,-1.83,-575.19,-5.77,-210.52,-2.11,968.17,9.71,2026-07-17T15:34:57+08:00,2026-07-17T17:31:55+08:00
000008,神州高铁,2.29,-2.55,1.68,流出,-325.09,-3.07,190.76,1.8,-515.85,-4.87,-207.61,-1.96,532.7,5.03,2026-07-17T15:34:51+08:00,2026-07-17T17:31:55+08:00
000009,中国宝安,6.05,-2.58,1.17,流出,-3371.44,-18.13,-559.71,-3.01,-2811.74,-15.12,225.14,1.21,3146.3,16.92,2026-07-17T15:34:00+08:00,2026-07-17T17:31:55+08:00
000010,*ST美丽,1.68,-7.18,2.4,流出,-898.17,-24.62,-263.06,-7.21,-635.11,-17.41,390.18,10.7,507.99,13.93,2026-07-17T15:34:51+08:00,2026-07-17T17:31:55+08:00
000011,深物业A,6.63,-0.75,1.05,流出,-230.75,-6.24,0.0,0.0,-230.75,-6.24,156.81,4.24,73.95,2.0,2026-07-17T15:34:54+08:00,2026-07-17T17:31:55+08:00
000012,南  玻Ａ,3.81,-1.04,1.93,流出,-534.5,-3.67,1.99,0.01,-536.5,-3.69,-509.66,-3.5,1044.16,7.18,2026-07-17T15:34:51+08:00,2026-07-17T17:31:55+08:00
000014,沙河股份,9.37,-6.3,8.68,流入,183.44,0.9,-14.56,-0.07,198.0,0.97,1593.61,7.79,-1777.05,-8.69,2026-07-17T15:34:03+08:00,2026-07-17T17:31:55+08:00
000016,*ST康佳A,2.52,-6.32,1.79,流出,-656.74,-8.93,-392.37,-5.33,-264.36,-3.59,-186.4,-2.53,843.13,11.46,2026-07-17T15:34:06+08:00,2026-07-17T17:31:55+08:00
000017,深中华A,5.48,-6.32,3.31,流出,-41.81,-0.51,0.0,0.0,-41.81,-0.51,-765.35,-9.34,807.16,9.85,2026-07-17T15:34:54+08:00,2026-07-17T17:31:55+08:00
000019,深粮控股,6.05,-1.63,1.42,流出,-104.86,-2.91,0.0,0.0,-104.86,-2.91,-38.93,-1.08,143.79,3.99,2026-07-17T15:34:57+08:00,2026-07-17T17:31:55+08:00
000020,深华发Ａ,9.99,-4.58,2.1,流出,-24.85,-0.64,185.1,4.74,-209.95,-5.38,44.78,1.15,-19.93,-0.51,2026-07-17T15:34:54+08:00,2026-07-17T17:31:55+08:00
