代码,名称,最新价,涨跌幅%,换手率%,主力流向,主力净流入(万),主力净占比%,超大单净流入(万),超大单净占比%,大单净流入(万),大单净占比%,中单净流入(万),中单净占比%,小单净流入(万),小单净占比%,资金流时间,抓取时间
000001,平安银行,10.99,-0.81,0.43,流入,3671.26,4.05,1976.23,2.18,1695.02,1.87,-2712.82,-2.99,-958.43,-1.06,2026-06-03T15:01:00+08:00,2026-06-03T15:01:50+08:00
000002,万  科Ａ,3.28,-3.24,2.18,流出,-11102.87,-15.93,-12362.04,-17.73,1259.17,1.81,3029.88,4.35,8072.99,11.58,2026-06-03T15:01:00+08:00,2026-06-03T15:01:50+08:00
000004,*ST国华,,,0.0,,,,,,,,,,,,2026-06-03T15:01:00+08:00,2026-06-03T15:01:50+08:00
000006,深振业Ａ,8.49,-4.07,2.79,流出,-4369.24,-13.55,-3719.99,-11.54,-649.25,-2.01,1748.92,5.43,2620.32,8.13,2026-06-03T15:01:03+08:00,2026-06-03T15:01:50+08:00
000007,全新好,11.99,-0.91,2.34,流入,764.5,7.81,304.45,3.11,460.05,4.7,38.66,0.4,-803.16,-8.21,2026-06-03T15:01:06+08:00,2026-06-03T15:01:50+08:00
000008,神州高铁,2.61,1.16,1.24,流入,500.63,5.7,912.16,10.38,-411.53,-4.68,-180.23,-2.05,-320.4,-3.65,2026-06-03T15:01:00+08:00,2026-06-03T15:01:50+08:00
000009,中国宝安,7.21,-1.77,0.71,流出,-1521.64,-11.54,1.23,0.01,-1522.87,-11.55,-311.0,-2.36,1832.64,13.9,2026-06-03T15:01:00+08:00,2026-06-03T15:01:50+08:00
000010,*ST美丽,2.2,-5.17,9.33,流出,-1460.52,-7.89,-89.12,-0.48,-1371.4,-7.41,113.27,0.61,1347.25,7.28,2026-06-03T15:01:03+08:00,2026-06-03T15:01:50+08:00
000011,深物业A,7.31,-1.75,0.82,流出,-63.9,-2.02,-114.61,-3.63,50.71,1.6,85.86,2.72,-21.96,-0.69,2026-06-03T15:01:03+08:00,2026-06-03T15:01:50+08:00
000012,南  玻Ａ,4.11,0.24,2.59,流入,902.35,4.27,161.78,0.77,740.57,3.51,-396.75,-1.88,-505.6,-2.4,2026-06-03T15:01:03+08:00,2026-06-03T15:01:50+08:00
000014,沙河股份,10.77,-1.55,2.56,流入,562.29,8.41,269.0,4.03,293.28,4.39,100.32,1.5,-662.6,-9.92,2026-06-03T15:01:03+08:00,2026-06-03T15:01:50+08:00
000016,*ST康佳A,3.34,-0.89,1.78,流出,-826.61,-8.61,-117.78,-1.23,-708.83,-7.38,160.57,1.67,666.04,6.94,2026-06-03T15:01:06+08:00,2026-06-03T15:01:50+08:00
000017,深中华A,5.37,-1.83,1.7,流入,200.2,4.97,0.0,0.0,200.2,4.97,426.55,10.58,-626.74,-15.55,2026-06-03T15:01:06+08:00,2026-06-03T15:01:50+08:00
000019,深粮控股,6.54,-0.3,1.93,流出,-96.11,-1.84,0.0,0.0,-96.11,-1.84,24.16,0.46,71.95,1.38,2026-06-03T15:01:09+08:00,2026-06-03T15:01:50+08:00
000020,深华发Ａ,12.43,-1.27,1.81,流出,-3.4,-0.08,0.0,0.0,-3.4,-0.08,86.28,2.11,-82.89,-2.02,2026-06-03T15:01:09+08:00,2026-06-03T15:01:50+08:00
000021,深科技,38.3,3.01,11.95,流出,-22007.48,-3.02,-16303.84,-2.24,-5703.64,-0.78,-3123.5,-0.43,25130.98,3.45,2026-06-03T15:01:09+08:00,2026-06-03T15:01:50+08:00
000025,特  力Ａ,15.12,0.33,2.35,流入,1474.16,10.52,373.93,2.67,1100.23,7.85,-408.53,-2.92,-1065.63,-7.6,2026-06-03T15:01:06+08:00,2026-06-03T15:01:50+08:00
000026,飞亚达,22.38,-0.04,3.43,流入,746.88,2.66,-77.23,-0.28,824.11,2.94,-131.36,-0.47,-615.52,-2.19,2026-06-03T15:01:12+08:00,2026-06-03T15:01:50+08:00
000027,深圳能源,7.96,-0.75,1.93,流出,-6521.43,-8.99,-2208.78,-3.04,-4312.66,-5.94,-2213.57,-3.05,8735.0,12.04,2026-06-03T15:01:12+08:00,2026-06-03T15:01:50+08:00
000028,国药一致,23.14,-1.07,0.47,流出,-212.41,-4.05,-201.68,-3.84,-10.73,-0.2,407.35,7.76,-194.94,-3.71,2026-06-03T15:01:12+08:00,2026-06-03T15:01:50+08:00
000029,深深房Ａ,23.46,-0.17,0.56,流出,-380.16,-3.26,-301.9,-2.59,-78.26,-0.67,342.29,2.93,37.87,0.32,2026-06-03T15:01:15+08:00,2026-06-03T15:01:50+08:00
000030,富奥股份,4.6,-1.5,0.61,流出,-8.36,-0.18,278.25,5.86,-286.6,-6.04,228.23,4.81,-219.87,-4.63,2026-06-03T15:01:15+08:00,2026-06-03T15:01:50+08:00
000031,大悦城,2.67,-3.26,1.15,流入,425.94,3.26,541.0,4.14,-115.06,-0.88,-452.65,-3.47,26.72,0.2,2026-06-03T15:01:18+08:00,2026-06-03T15:01:50+08:00
000032,深桑达Ａ,15.94,-0.5,1.45,流出,-722.25,-2.73,-740.28,-2.79,18.04,0.07,606.09,2.29,116.16,0.44,2026-06-03T15:01:21+08:00,2026-06-03T15:01:50+08:00
000034,神州数码,25.58,-1.8,5.78,流出,-8008.06,-6.28,-5353.93,-4.2,-2654.12,-2.08,3370.79,2.64,4637.27,3.63,2026-06-03T15:01:06+08:00,2026-06-03T15:01:50+08:00
000035,中国天楹,5.91,1.72,1.36,流入,1292.56,7.01,593.01,3.22,699.54,3.8,-1044.22,-5.66,-248.34,-1.35,2026-06-03T15:01:18+08:00,2026-06-03T15:01:50+08:00
000036,华联控股,5.06,-0.98,1.62,流入,337.0,2.91,417.92,3.61,-80.92,-0.7,243.52,2.11,-580.52,-5.02,2026-06-03T15:01:21+08:00,2026-06-03T15:01:50+08:00
000037,深南电A,11.88,-1.08,24.54,流出,-3154.5,-3.24,2027.73,2.08,-5182.23,-5.32,-3791.47,-3.89,6945.97,7.13,2026-06-03T15:01:15+08:00,2026-06-03T15:01:50+08:00
000039,中集集团,10.56,0.76,1.2,流出,-163.83,-0.56,-268.46,-0.92,104.63,0.36,540.28,1.85,-376.45,-1.29,2026-06-03T15:01:24+08:00,2026-06-03T15:01:50+08:00
000042,中洲控股,9.9,1.33,0.63,流入,209.48,5.11,-147.6,-3.6,357.08,8.71,62.02,1.51,-271.5,-6.62,2026-06-03T15:01:24+08:00,2026-06-03T15:01:50+08:00
000045,深纺织Ａ,11.29,0.36,1.36,流出,-68.59,-0.97,100.15,1.42,-168.74,-2.39,-516.45,-7.32,585.03,8.29,2026-06-03T15:01:09+08:00,2026-06-03T15:01:50+08:00
000048,京基智农,14.39,3.08,3.65,流入,1508.57,5.59,1231.52,4.56,277.05,1.03,426.22,1.58,-1934.79,-7.17,2026-06-03T15:01:12+08:00,2026-06-03T15:01:50+08:00
000049,德赛电池,25.26,-0.43,1.73,流出,-378.31,-2.25,193.53,1.15,-571.84,-3.4,486.92,2.89,-108.62,-0.64,2026-06-03T15:01:18+08:00,2026-06-03T15:01:50+08:00
000050,深天马Ａ,8.0,0.76,1.98,流入,1175.64,3.02,81.78,0.21,1093.86,2.81,-568.83,-1.46,-606.81,-1.56,2026-06-03T15:01:15+08:00,2026-06-03T15:01:50+08:00
000055,方大集团,3.93,-6.21,16.57,流出,-2877.65,-6.19,-1933.05,-4.16,-944.61,-2.03,1514.53,3.26,1363.13,2.93,2026-06-03T15:01:27+08:00,2026-06-03T15:01:50+08:00
000056,*ST皇庭,1.67,1.83,7.68,流出,-222.09,-1.92,-220.5,-1.9,-1.59,-0.01,-87.61,-0.76,309.7,2.67,2026-06-03T15:01:27+08:00,2026-06-03T15:01:50+08:00
000058,深 赛 格,7.23,1.4,1.61,流入,1864.77,16.16,659.79,5.72,1204.98,10.44,579.95,5.03,-2444.72,-21.19,2026-06-03T15:01:21+08:00,2026-06-03T15:01:50+08:00
000059,华锦股份,4.86,1.46,3.25,流入,2955.63,11.72,1264.45,5.01,1691.17,6.71,-1212.59,-4.81,-1743.03,-6.91,2026-06-03T15:01:18+08:00,2026-06-03T15:01:50+08:00
000060,中金岭南,8.17,4.21,9.28,流入,21624.48,6.44,6619.0,1.97,15005.48,4.47,163.37,0.05,-21787.85,-6.49,2026-06-03T15:01:21+08:00,2026-06-03T15:01:50+08:00
000061,农 产 品,6.32,-0.32,0.77,流出,-289.96,-3.31,114.34,1.31,-404.3,-4.62,-48.21,-0.55,338.17,3.86,2026-06-03T15:01:30+08:00,2026-06-03T15:01:50+08:00
000062,深圳华强,32.84,-2.03,12.8,流出,-39962.82,-8.54,-14978.13,-3.2,-24984.69,-5.34,-876.17,-0.19,40838.99,8.73,2026-06-03T15:01:24+08:00,2026-06-03T15:01:50+08:00
000063,中兴通讯,36.44,0.39,6.04,流出,-16492.21,-1.82,9479.48,1.04,-25971.69,-2.86,-18095.79,-1.99,34588.0,3.81,2026-06-03T15:01:09+08:00,2026-06-03T15:01:50+08:00
000065,北方国际,12.18,2.78,2.98,流入,1987.93,5.57,1456.0,4.08,531.92,1.49,-677.91,-1.9,-1310.02,-3.67,2026-06-03T15:01:12+08:00,2026-06-03T15:01:50+08:00
000066,中国长城,18.04,-0.28,5.81,流入,6335.75,1.85,9597.1,2.8,-3261.35,-0.95,-7207.62,-2.11,871.87,0.25,2026-06-03T15:01:24+08:00,2026-06-03T15:01:50+08:00
000068,华控赛格,3.22,-0.92,1.87,流出,-671.62,-11.03,0.0,0.0,-671.62,-11.03,359.24,5.9,312.39,5.13,2026-06-03T15:01:33+08:00,2026-06-03T15:01:50+08:00
000069,华侨城Ａ,1.96,-2.0,0.62,流出,-56.51,-0.67,169.95,2.03,-226.46,-2.7,-69.38,-0.83,125.89,1.5,2026-06-03T15:01:15+08:00,2026-06-03T15:01:50+08:00
000070,特发信息,18.06,1.8,9.41,流出,-1219.08,-0.82,2185.8,1.47,-3404.88,-2.29,-3868.92,-2.61,5088.0,3.43,2026-06-03T15:01:36+08:00,2026-06-03T15:01:50+08:00
000078,ST海王,1.78,-3.78,9.04,流出,-4648.51,-10.79,-1346.28,-3.12,-3302.23,-7.66,46.84,0.11,4601.68,10.68,2026-06-03T15:01:18+08:00,2026-06-03T15:01:50+08:00
000088,盐 田 港,4.44,-0.89,0.74,流出,-526.38,-5.04,-819.15,-7.84,292.77,2.8,598.72,5.73,-72.35,-0.69,2026-06-03T15:01:30+08:00,2026-06-03T15:01:50+08:00
000089,深圳机场,6.62,-2.93,0.81,流出,-1440.15,-12.91,-966.89,-8.67,-473.26,-4.24,2071.01,18.57,-630.86,-5.66,2026-06-03T15:01:33+08:00,2026-06-03T15:01:50+08:00
000090,天健集团,3.59,-2.97,3.39,流出,-2966.22,-13.06,-693.98,-3.06,-2272.24,-10.01,-170.29,-0.75,3136.51,13.81,2026-06-03T15:01:21+08:00,2026-06-03T15:01:50+08:00
000096,广聚能源,8.33,-0.24,1.01,流出,-408.07,-9.61,0.0,0.0,-408.07,-9.61,395.0,9.3,13.07,0.31,2026-06-03T15:01:27+08:00,2026-06-03T15:01:50+08:00
000099,中信海直,15.45,-1.4,1.22,流出,-1619.15,-10.96,-349.59,-2.37,-1269.56,-8.6,730.45,4.95,888.7,6.02,2026-06-03T15:01:27+08:00,2026-06-03T15:01:50+08:00
000100,TCL科技,4.74,7.0,12.47,流入,136173.17,11.84,166507.46,14.48,-30334.29,-2.64,-75782.24,-6.59,-60390.93,-5.25,2026-06-03T15:01:30+08:00,2026-06-03T15:01:50+08:00
000151,中成股份,13.86,2.14,7.41,流入,236.2,0.75,-338.46,-1.07,574.67,1.82,161.05,0.51,-397.26,-1.26,2026-06-03T15:01:33+08:00,2026-06-03T15:01:50+08:00
000153,丰原药业,5.64,-1.23,1.17,流入,76.19,2.52,0.0,0.0,76.19,2.52,276.02,9.12,-352.21,-11.64,2026-06-03T15:01:24+08:00,2026-06-03T15:01:50+08:00
000155,川能动力,14.0,-0.14,2.03,流出,-8290.61,-15.96,-3917.46,-7.54,-4373.15,-8.42,740.98,1.43,7549.63,14.53,2026-06-03T15:01:36+08:00,2026-06-03T15:01:50+08:00
000156,华数传媒,6.83,-1.87,0.52,流入,407.93,6.75,43.26,0.72,364.68,6.03,-81.23,-1.34,-326.7,-5.4,2026-06-03T15:01:36+08:00,2026-06-03T15:01:50+08:00
000157,中联重科,7.25,1.83,1.02,流入,6631.45,12.71,4747.01,9.1,1884.44,3.61,-4640.95,-8.89,-1990.49,-3.81,2026-06-03T15:01:39+08:00,2026-06-03T15:01:50+08:00
000158,常山北明,15.2,-1.43,1.22,流出,-4629.85,-15.66,-2051.98,-6.94,-2577.86,-8.72,-476.62,-1.61,5106.47,17.27,2026-06-03T15:01:27+08:00,2026-06-03T15:01:50+08:00
000159,国际实业,6.86,2.24,4.95,流入,1209.0,7.43,254.14,1.56,954.86,5.87,688.48,4.23,-1897.49,-11.66,2026-06-03T15:01:39+08:00,2026-06-03T15:01:50+08:00
000166,申万宏源,4.41,-1.12,0.43,流出,-3588.1,-8.38,-2823.27,-6.59,-764.83,-1.79,2668.79,6.23,919.31,2.15,2026-06-03T15:01:30+08:00,2026-06-03T15:01:50+08:00
000301,东方盛虹,11.88,-2.3,0.32,流出,-3837.18,-15.25,33.72,0.13,-3870.9,-15.38,662.2,2.63,3174.98,12.62,2026-06-03T15:01:30+08:00,2026-06-03T15:01:50+08:00
000333,美的集团,82.61,0.01,0.34,流出,-451.62,-0.24,941.24,0.5,-1392.85,-0.73,-10433.43,-5.5,10885.04,5.74,2026-06-03T15:01:39+08:00,2026-06-03T15:01:50+08:00
000338,潍柴动力,32.27,0.16,1.97,流出,-19357.28,-6.1,-5576.44,-1.76,-13780.85,-4.34,4351.2,1.37,15006.09,4.73,2026-06-03T15:01:42+08:00,2026-06-03T15:01:50+08:00
