代码,名称,最新价,涨跌幅%,换手率%,主力流向,主力净流入(万),主力净占比%,超大单净流入(万),超大单净占比%,大单净流入(万),大单净占比%,中单净流入(万),中单净占比%,小单净流入(万),小单净占比%,资金流时间,抓取时间
000001,平安银行,10.68,0.0,0.34,流出,-1119.0,-1.58,344.27,0.49,-1463.26,-2.06,3160.06,4.45,-2041.06,-2.88,2026-05-25T15:19:39+08:00,2026-05-25T15:20:14+08:00
000002,万  科Ａ,3.49,0.87,0.98,流入,364.84,1.1,731.79,2.22,-366.96,-1.11,-407.9,-1.24,43.06,0.13,2026-05-25T15:19:39+08:00,2026-05-25T15:20:14+08:00
000006,深振业Ａ,10.42,-4.23,3.84,流出,-709.46,-1.32,-773.95,-1.44,64.48,0.12,2008.4,3.73,-1298.94,-2.41,2026-05-25T15:19:42+08:00,2026-05-25T15:20:14+08:00
000007,全新好,12.59,1.04,7.62,流入,1403.71,4.2,-316.79,-0.95,1720.5,5.15,-2185.96,-6.54,782.25,2.34,2026-05-25T15:19:45+08:00,2026-05-25T15:20:14+08:00
000008,神州高铁,2.61,-0.38,1.05,流入,326.16,4.38,167.73,2.25,158.43,2.13,-292.79,-3.93,-33.37,-0.45,2026-05-25T15:19:39+08:00,2026-05-25T15:20:14+08:00
000009,中国宝安,7.54,-2.84,1.01,流出,-3693.68,-18.72,-1261.54,-6.39,-2432.14,-12.32,1232.24,6.24,2461.45,12.47,2026-05-25T15:19:39+08:00,2026-05-25T15:20:14+08:00
000010,*ST美丽,2.12,-4.93,4.2,流出,-597.47,-7.68,-811.13,-10.43,213.66,2.75,-124.01,-1.59,721.49,9.28,2026-05-25T15:19:42+08:00,2026-05-25T15:20:14+08:00
000011,深物业A,7.49,-0.93,0.58,流出,-126.77,-5.57,0.0,0.0,-126.77,-5.57,79.1,3.48,47.66,2.1,2026-05-25T15:19:42+08:00,2026-05-25T15:20:14+08:00
000012,南  玻Ａ,4.6,4.55,10.25,流入,31.54,0.03,3721.35,4.05,-3689.82,-4.01,-3649.44,-3.97,3617.91,3.93,2026-05-25T15:19:45+08:00,2026-05-25T15:20:14+08:00
000014,沙河股份,11.18,-1.67,2.19,流出,-672.96,-11.33,-191.8,-3.23,-481.16,-8.1,83.79,1.41,589.17,9.92,2026-05-25T15:19:48+08:00,2026-05-25T15:20:14+08:00
000016,*ST康佳A,3.47,5.15,2.87,流入,2508.6,16.15,89.19,0.57,2419.41,15.58,96.66,0.62,-2605.26,-16.77,2026-05-25T15:19:42+08:00,2026-05-25T15:20:14+08:00
000017,深中华A,5.65,-1.05,1.34,流出,-72.45,-2.16,111.16,3.32,-183.62,-5.48,-56.04,-1.67,128.5,3.83,2026-05-25T15:19:51+08:00,2026-05-25T15:20:14+08:00
000019,深粮控股,6.61,-1.78,2.49,流出,-1676.97,-24.36,-49.53,-0.72,-1627.44,-23.64,563.12,8.18,1113.85,16.18,2026-05-25T15:19:45+08:00,2026-05-25T15:20:14+08:00
000020,深华发Ａ,12.98,-1.74,2.47,流出,-142.18,-2.44,-5.27,-0.09,-136.91,-2.35,121.15,2.08,21.03,0.36,2026-05-25T15:19:45+08:00,2026-05-25T15:20:14+08:00
000021,深科技,41.15,9.06,15.12,流入,28344.85,3.0,15580.56,1.65,12764.29,1.35,-7746.48,-0.82,-20598.37,-2.18,2026-05-25T15:19:54+08:00,2026-05-25T15:20:14+08:00
000025,特  力Ａ,14.71,-1.14,0.74,流出,-803.24,-18.71,-252.95,-5.89,-550.28,-12.82,374.62,8.73,428.62,9.99,2026-05-25T15:19:48+08:00,2026-05-25T15:20:14+08:00
000026,飞亚达,27.04,5.83,11.89,流出,-3263.78,-2.83,-3412.17,-2.96,148.39,0.13,-404.9,-0.35,3668.68,3.18,2026-05-25T15:19:42+08:00,2026-05-25T15:20:14+08:00
000027,深圳能源,7.56,3.42,1.07,流入,1636.36,4.29,1420.56,3.73,215.8,0.57,-1178.28,-3.09,-458.08,-1.2,2026-05-25T15:19:48+08:00,2026-05-25T15:20:14+08:00
000028,国药一致,23.7,-0.42,0.33,流出,-474.3,-12.68,0.0,0.0,-474.3,-12.68,165.22,4.42,309.07,8.27,2026-05-25T15:19:57+08:00,2026-05-25T15:20:14+08:00
000029,深深房Ａ,24.77,-2.86,1.14,流出,-194.17,-0.76,-368.21,-1.45,174.04,0.68,-740.4,-2.91,934.57,3.67,2026-05-25T15:19:51+08:00,2026-05-25T15:20:14+08:00
000030,富奥股份,4.76,1.06,0.6,流入,215.16,4.51,42.78,0.9,172.38,3.62,-42.15,-0.88,-173.01,-3.63,2026-05-25T15:19:45+08:00,2026-05-25T15:20:14+08:00
000031,大悦城,2.66,0.76,0.71,流入,503.57,6.27,118.32,1.47,385.25,4.8,836.79,10.42,-1340.37,-16.7,2026-05-25T15:19:48+08:00,2026-05-25T15:20:14+08:00
000032,深桑达Ａ,18.9,-1.51,2.33,流出,-3807.41,-7.62,-2777.07,-5.56,-1030.33,-2.06,-629.82,-1.26,4437.22,8.88,2026-05-25T15:19:51+08:00,2026-05-25T15:20:14+08:00
000034,神州数码,29.52,1.55,6.64,流出,-14051.2,-8.49,-5360.6,-3.24,-8690.6,-5.25,4953.84,2.99,9097.36,5.5,2026-05-25T15:20:00+08:00,2026-05-25T15:20:14+08:00
000035,中国天楹,5.93,-1.0,1.48,流出,-1811.43,-8.89,-337.09,-1.65,-1474.34,-7.24,-224.09,-1.1,2035.52,9.99,2026-05-25T15:19:48+08:00,2026-05-25T15:20:14+08:00
000036,华联控股,5.38,-1.1,2.18,流出,-1569.56,-9.56,-666.41,-4.06,-903.14,-5.5,-1150.98,-7.01,2720.54,16.57,2026-05-25T15:19:54+08:00,2026-05-25T15:20:14+08:00
000037,深南电A,10.0,1.11,4.41,流出,-138.83,-0.93,-93.91,-0.63,-44.92,-0.3,285.55,1.91,-146.72,-0.98,2026-05-25T15:20:03+08:00,2026-05-25T15:20:14+08:00
000039,中集集团,10.12,-2.03,2.08,流出,-4271.7,-8.67,-1659.16,-3.37,-2612.53,-5.3,-645.83,-1.31,4917.53,9.99,2026-05-25T15:19:51+08:00,2026-05-25T15:20:14+08:00
000042,中洲控股,10.14,1.1,0.72,流出,-626.09,-12.78,-113.06,-2.31,-513.03,-10.47,164.03,3.35,462.06,9.43,2026-05-25T15:19:57+08:00,2026-05-25T15:20:14+08:00
000045,深纺织Ａ,12.07,-1.07,1.77,流出,-1483.64,-15.24,-550.85,-5.66,-932.79,-9.58,800.27,8.22,683.37,7.02,2026-05-25T15:20:00+08:00,2026-05-25T15:20:14+08:00
000048,京基智农,13.42,-1.4,1.47,流出,-2106.3,-20.06,-127.32,-1.21,-1978.98,-18.85,1.05,0.01,2105.25,20.05,2026-05-25T15:19:54+08:00,2026-05-25T15:20:14+08:00
000049,德赛电池,26.89,-1.93,2.53,流出,-2615.38,-10.03,-1317.68,-5.05,-1297.7,-4.97,2224.74,8.53,390.63,1.5,2026-05-25T15:19:51+08:00,2026-05-25T15:20:14+08:00
