代码,名称,最新价,涨跌幅%,主力流向,主力净流入(万),主力净占比%,超大单净流入(万),超大单净占比%,大单净流入(万),大单净占比%,中单净流入(万),中单净占比%,小单净流入(万),小单净占比%,资金流时间,抓取时间
000001,平安银行,11.09,-1.07,流出,-3619.22,-4.77,-5713.23,-7.54,2094.01,2.76,2736.83,3.61,882.39,1.16,2026-04-16T15:00:00+08:00,2026-05-08T17:08:11+08:00
000002,万 科Ａ,3.96,-0.25,流出,-1735.64,-6.36,-510.43,-1.87,-1225.21,-4.49,854.15,3.13,881.49,3.23,2026-04-16T15:00:00+08:00,2026-05-08T17:08:15+08:00
000006,深振业Ａ,9.4,7.06,流入,5782.15,15.39,2154.62,5.74,3627.54,9.66,-2666.7,-7.1,-3115.45,-8.29,2026-04-16T15:00:00+08:00,2026-05-08T17:08:17+08:00
000007,全新好,13.69,2.24,流出,-159.05,-1.55,252.56,2.46,-411.61,-4.01,-664.36,-6.48,823.41,8.03,2026-04-16T15:00:00+08:00,2026-05-08T17:08:18+08:00
000008,神州高铁,2.7,0.37,流入,80.74,0.53,367.56,2.39,-286.82,-1.87,-752.03,-4.9,671.29,4.37,2026-04-16T15:00:00+08:00,2026-05-08T17:08:20+08:00
000009,中国宝安,8.94,0.9,流出,-421.54,-2.25,255.97,1.37,-677.51,-3.62,-1435.86,-7.66,1857.4,9.91,2026-04-16T15:00:00+08:00,2026-05-08T17:08:24+08:00
000010,美丽生态,4.08,1.24,流出,-1138.63,-9.05,-521.44,-4.15,-617.19,-4.91,32.86,0.26,1105.77,8.79,2026-04-16T15:00:00+08:00,2026-05-08T17:08:25+08:00
000011,深物业A,8.39,0.96,流出,-169.32,-5.17,-260.92,-7.96,91.6,2.8,-230.1,-7.02,399.42,12.19,2026-04-16T15:00:00+08:00,2026-05-08T17:08:28+08:00
000012,南 玻Ａ,4.54,1.11,流出,-428.73,-5.6,-222.57,-2.9,-206.16,-2.69,-492.97,-6.43,921.7,12.03,2026-04-16T15:00:00+08:00,2026-05-08T17:08:31+08:00
000014,沙河股份,13.33,1.68,流出,-1118.78,-13.56,-253.1,-3.07,-865.68,-10.5,-359.84,-4.36,1478.62,17.93,2026-04-16T15:00:00+08:00,2026-05-08T17:08:34+08:00
000016,深康佳Ａ,3.29,3.46,流入,723.23,4.64,573.81,3.68,149.42,0.96,-316.82,-2.03,-406.41,-2.61,2026-04-16T15:00:00+08:00,2026-05-08T17:08:38+08:00
000017,深中华A,6.89,1.62,流出,-640.08,-12.46,-353.15,-6.88,-286.93,-5.59,-65.31,-1.27,705.39,13.74,2026-04-16T15:00:00+08:00,2026-05-08T17:08:41+08:00
000019,深粮控股,7.77,-1.02,流入,1062.3,6.1,616.03,3.54,446.27,2.56,1345.57,7.72,-2407.87,-13.82,2026-04-16T15:00:00+08:00,2026-05-08T17:08:41+08:00
000020,深华发Ａ,15.9,1.08,流出,-205.24,-1.94,-272.11,-2.57,66.88,0.63,-2132.26,-20.16,2337.5,22.11,2026-04-16T15:00:00+08:00,2026-05-08T17:08:42+08:00
000021,深科技,28.77,1.73,流入,826.4,0.47,-600.25,-0.34,1426.65,0.81,-1990.27,-1.12,1163.87,0.66,2026-04-16T15:00:00+08:00,2026-05-08T17:08:43+08:00
000025,特 力Ａ,16.29,0.8,流出,-328.27,-6.09,-369.76,-6.86,41.48,0.77,28.54,0.53,299.74,5.56,2026-04-16T15:00:00+08:00,2026-05-08T17:08:44+08:00
000026,飞亚达,17.73,-0.51,流出,-3244.97,-5.12,-4329.14,-6.83,1084.17,1.71,2757.6,4.35,487.37,0.77,2026-04-16T15:00:00+08:00,2026-05-08T17:08:45+08:00
000027,深圳能源,6.71,0.6,流入,909.62,5.85,1036.27,6.66,-126.66,-0.81,-934.41,-6.01,24.8,0.16,2026-04-16T15:00:00+08:00,2026-05-08T17:08:45+08:00
000028,国药一致,26.51,0.23,流出,-1178.55,-6.79,417.63,2.41,-1596.18,-9.2,-613.69,-3.54,1792.24,10.33,2026-04-16T15:00:00+08:00,2026-05-08T17:08:46+08:00
000029,深深房Ａ,20.16,2.18,流入,449.09,6.15,-174.93,-2.39,624.02,8.54,-623.13,-8.53,174.05,2.38,2026-04-16T15:00:00+08:00,2026-05-08T17:08:46+08:00
000030,富奥股份,5.2,0.97,流出,-132.07,-1.87,311.4,4.4,-443.47,-6.27,-365.53,-5.17,497.6,7.03,2026-04-16T15:00:00+08:00,2026-05-08T17:08:47+08:00
000031,大悦城,2.9,-0.34,流出,-383.35,-5.02,-388.99,-5.1,5.64,0.07,-388.43,-5.09,771.78,10.12,2026-04-16T15:00:00+08:00,2026-05-08T17:08:48+08:00
000032,深桑达Ａ,19.02,2.26,流入,346.01,0.75,-2174.91,-4.72,2520.92,5.47,-1001.06,-2.17,655.05,1.42,2026-04-16T15:00:00+08:00,2026-05-08T17:08:48+08:00
000034,神州数码,35.93,2.95,流入,1968.8,2.59,267.68,0.35,1701.13,2.24,-3124.83,-4.11,1156.03,1.52,2026-04-16T15:00:00+08:00,2026-05-08T17:08:51+08:00
000035,中国天楹,6.81,1.04,流出,-34.61,-0.11,1249.72,3.81,-1284.33,-3.91,-1165.26,-3.55,1199.88,3.65,2026-04-16T15:00:00+08:00,2026-05-08T17:08:51+08:00
000036,华联控股,5.03,2.86,流入,323.15,1.53,103.64,0.49,219.5,1.04,-1328.76,-6.28,1005.61,4.75,2026-04-16T15:00:00+08:00,2026-05-08T17:08:52+08:00
000037,深南电A,10.06,1.72,流入,897.07,3.06,69.5,0.24,827.57,2.82,-1039.49,-3.54,142.42,0.49,2026-04-16T15:00:00+08:00,2026-05-08T17:08:53+08:00
000039,中集集团,12.1,1.85,流出,-3891.23,-7.08,-1771.49,-3.22,-2119.73,-3.86,2097.02,3.81,1794.2,3.26,2026-04-16T15:00:00+08:00,2026-05-08T17:08:54+08:00
000042,中洲控股,8.91,1.37,流出,-321.14,-7.26,338.05,7.65,-659.19,-14.91,-5.71,-0.13,326.85,7.39,2026-04-16T15:00:00+08:00,2026-05-08T17:08:55+08:00
000045,深纺织Ａ,12.16,1.08,流出,-1108.8,-9.1,-473.8,-3.89,-635.0,-5.21,763.97,6.27,344.83,2.83,2026-04-16T15:00:00+08:00,2026-05-08T17:08:56+08:00
000048,京基智农,15.39,-1.03,流出,-2958.59,-16.32,-989.04,-5.46,-1969.55,-10.86,757.85,4.18,2200.74,12.14,2026-04-16T15:00:00+08:00,2026-05-08T17:08:57+08:00
000049,德赛电池,27.3,0.48,流入,1074.68,4.68,143.51,0.63,931.17,4.06,-2574.13,-11.22,1499.45,6.54,2026-04-16T15:00:00+08:00,2026-05-08T17:08:58+08:00
000050,深天马Ａ,8.29,0.48,流入,374.7,2.65,795.92,5.63,-421.22,-2.98,-538.96,-3.82,164.26,1.16,2026-04-16T15:00:00+08:00,2026-05-08T17:08:58+08:00
000055,方大集团,3.52,1.73,流出,-269.76,-7.83,-447.39,-12.99,177.63,5.16,162.5,4.72,107.26,3.11,2026-04-16T15:00:00+08:00,2026-05-08T17:08:59+08:00
000056,皇庭国际,1.87,-0.53,流出,-973.73,-12.04,-889.02,-10.99,-84.71,-1.05,310.21,3.84,663.52,8.21,2026-04-16T15:00:00+08:00,2026-05-08T17:08:59+08:00
000058,深 赛 格,8.07,1.13,流出,-88.4,-2.23,-114.7,-2.89,26.3,0.66,-553.05,-13.95,641.45,16.18,2026-04-16T15:00:00+08:00,2026-05-08T17:09:02+08:00
