代码,名称,最新价,涨跌幅%,换手率%,主力流向,主力净流入(万),主力净占比%,超大单净流入(万),超大单净占比%,大单净流入(万),大单净占比%,中单净流入(万),中单净占比%,小单净流入(万),小单净占比%,资金流时间,抓取时间
000001,平安银行,10.52,-2.41,0.74,流出,-13451.93,-8.9,-11102.27,-7.35,-2349.66,-1.56,4025.19,2.66,9426.75,6.24,2026-06-18T15:04:45+08:00,2026-06-18T15:05:10+08:00
000002,万  科Ａ,3.06,-0.97,1.66,流入,768.03,1.53,164.89,0.33,603.14,1.2,1989.73,3.97,-2757.77,-5.51,2026-06-18T15:04:45+08:00,2026-06-18T15:05:10+08:00
000004,*ST国华,,,0.0,,,,,,,,,,,,2026-06-18T15:04:48+08:00,2026-06-18T15:05:10+08:00
000006,深振业Ａ,8.21,6.07,4.57,流入,7849.18,15.48,5456.68,10.76,2392.49,4.72,-1502.84,-2.96,-6346.34,-12.52,2026-06-18T15:04:48+08:00,2026-06-18T15:05:10+08:00
000007,全新好,13.68,0.29,2.23,流出,-359.08,-3.41,-786.83,-7.48,427.75,4.07,309.66,2.94,49.42,0.47,2026-06-18T15:04:51+08:00,2026-06-18T15:05:10+08:00
000008,神州高铁,2.45,-2.0,0.78,流出,-909.19,-17.38,-227.99,-4.36,-681.2,-13.02,210.37,4.02,698.82,13.36,2026-06-18T15:04:54+08:00,2026-06-18T15:05:10+08:00
000009,中国宝安,6.84,-2.15,0.97,流出,-2101.95,-12.19,-534.5,-3.1,-1567.45,-9.09,346.76,2.01,1755.19,10.18,2026-06-18T15:04:51+08:00,2026-06-18T15:05:10+08:00
000010,*ST美丽,1.9,-5.0,3.14,流出,-1370.56,-25.83,-316.02,-5.96,-1054.54,-19.88,511.57,9.64,858.99,16.19,2026-06-18T15:04:45+08:00,2026-06-18T15:05:10+08:00
000011,深物业A,7.33,-1.48,1.76,流入,708.29,10.04,866.07,12.28,-157.79,-2.24,190.56,2.7,-898.85,-12.74,2026-06-18T15:04:57+08:00,2026-06-18T15:05:10+08:00
000012,南  玻Ａ,4.3,-7.13,5.44,流入,34.34,0.07,-640.99,-1.39,675.33,1.47,-955.34,-2.07,921.01,2.0,2026-06-18T15:04:45+08:00,2026-06-18T15:05:10+08:00
000014,沙河股份,9.93,0.4,2.7,流出,-431.75,-6.6,0.0,0.0,-431.75,-6.6,510.99,7.82,-79.24,-1.21,2026-06-18T15:04:48+08:00,2026-06-18T15:05:10+08:00
000016,*ST康佳A,2.68,-4.96,1.86,流出,-1031.3,-12.78,-562.68,-6.97,-468.61,-5.81,-179.84,-2.23,1211.14,15.01,2026-06-18T15:05:00+08:00,2026-06-18T15:05:10+08:00
000017,深中华A,5.15,-0.19,1.44,流入,99.8,3.05,0.0,0.0,99.8,3.05,273.1,8.35,-372.9,-11.4,2026-06-18T15:04:45+08:00,2026-06-18T15:05:10+08:00
