代码,名称,最新价,涨跌幅%,换手率%,主力流向,主力净流入(万),主力净占比%,超大单净流入(万),超大单净占比%,大单净流入(万),大单净占比%,中单净流入(万),中单净占比%,小单净流入(万),小单净占比%,资金流时间,抓取时间
000001,平安银行,10.78,-1.46,0.5,流出,-8472.92,-8.1,-6031.61,-5.76,-2441.31,-2.33,5905.71,5.64,2567.21,2.45,2026-06-17T15:15:54+08:00,2026-06-17T15:16:51+08:00
000002,万  科Ａ,3.09,0.65,1.7,流入,5358.4,10.5,3635.88,7.13,1722.52,3.38,-826.57,-1.62,-4531.83,-8.88,2026-06-17T15:15:54+08:00,2026-06-17T15:16:51+08:00
000004,*ST国华,,,0.0,,,,,,,,,,,,2026-06-17T15:15:54+08:00,2026-06-17T15:16:51+08:00
000006,深振业Ａ,7.74,-2.4,1.63,流出,-281.61,-1.65,-436.7,-2.56,155.09,0.91,29.03,0.17,252.58,1.48,2026-06-17T15:15:54+08:00,2026-06-17T15:16:51+08:00
000007,全新好,13.64,-4.88,3.71,流出,-1706.57,-9.7,-697.19,-3.96,-1009.38,-5.73,339.87,1.93,1366.7,7.76,2026-06-17T15:15:57+08:00,2026-06-17T15:16:51+08:00
000008,神州高铁,2.5,-1.57,0.91,流出,-750.24,-12.09,-668.79,-10.78,-81.45,-1.31,269.11,4.34,481.13,7.75,2026-06-17T15:15:54+08:00,2026-06-17T15:16:51+08:00
000009,中国宝安,6.99,-1.27,0.71,流出,-750.61,-5.88,576.2,4.52,-1326.82,-10.4,-450.5,-3.53,1201.12,9.42,2026-06-17T15:15:57+08:00,2026-06-17T15:16:51+08:00
000010,*ST美丽,2.0,-4.76,3.33,流出,-1502.68,-25.48,0.0,0.0,-1502.68,-25.48,171.26,2.9,1331.43,22.58,2026-06-17T15:15:57+08:00,2026-06-17T15:16:51+08:00
000011,深物业A,7.44,-0.13,0.89,流入,142.38,4.13,0.0,0.0,142.38,4.13,201.83,5.85,-344.21,-9.98,2026-06-17T15:16:00+08:00,2026-06-17T15:16:51+08:00
000012,南  玻Ａ,4.63,2.43,8.81,流出,-1776.55,-2.23,-564.81,-0.71,-1211.74,-1.52,1056.8,1.32,719.76,0.9,2026-06-17T15:15:57+08:00,2026-06-17T15:16:51+08:00
000014,沙河股份,9.89,-2.08,2.33,流入,219.58,3.93,297.0,5.32,-77.42,-1.39,145.98,2.61,-365.56,-6.54,2026-06-17T15:15:57+08:00,2026-06-17T15:16:51+08:00
000016,*ST康佳A,2.82,-2.76,1.14,流出,-722.32,-14.05,44.54,0.87,-766.86,-14.92,43.72,0.85,678.6,13.2,2026-06-17T15:16:03+08:00,2026-06-17T15:16:51+08:00
000017,深中华A,5.16,-2.09,1.73,流入,23.46,0.6,0.0,0.0,23.46,0.6,3.14,0.08,-26.59,-0.68,2026-06-17T15:16:00+08:00,2026-06-17T15:16:51+08:00
000019,深粮控股,6.22,-2.2,2.01,流入,184.47,3.54,-101.53,-1.95,286.0,5.49,75.4,1.45,-259.87,-4.99,2026-06-17T15:16:00+08:00,2026-06-17T15:16:51+08:00
000020,深华发Ａ,11.87,-2.7,2.07,流出,-120.72,-2.7,-227.41,-5.09,106.69,2.39,-36.09,-0.81,156.81,3.51,2026-06-17T15:16:00+08:00,2026-06-17T15:16:51+08:00
000021,深科技,42.91,5.25,10.51,流入,26598.33,3.83,13173.61,1.89,13424.72,1.93,-8039.03,-1.16,-18559.31,-2.67,2026-06-17T15:16:06+08:00,2026-06-17T15:16:51+08:00
000025,特  力Ａ,15.87,0.57,2.63,流出,-473.96,-2.94,-287.71,-1.78,-186.26,-1.15,270.75,1.68,203.21,1.26,2026-06-17T15:16:09+08:00,2026-06-17T15:16:51+08:00
000026,飞亚达,21.32,2.7,3.71,流入,2954.47,10.26,604.32,2.1,2350.14,8.16,-10.18,-0.04,-2944.28,-10.22,2026-06-17T15:16:03+08:00,2026-06-17T15:16:51+08:00
000027,深圳能源,7.37,0.55,1.03,流出,-1772.53,-4.94,-1281.12,-3.57,-491.42,-1.37,641.23,1.79,1131.3,3.16,2026-06-17T15:16:06+08:00,2026-06-17T15:16:51+08:00
000028,国药一致,22.66,0.67,0.32,流入,126.44,3.66,173.03,5.01,-46.6,-1.35,-102.57,-2.97,-23.87,-0.69,2026-06-17T15:16:03+08:00,2026-06-17T15:16:51+08:00
000029,深深房Ａ,28.57,3.44,1.52,流入,5527.23,14.38,1593.71,4.15,3933.52,10.23,197.93,0.51,-5725.15,-14.89,2026-06-17T15:16:06+08:00,2026-06-17T15:16:51+08:00
000030,富奥股份,4.29,-2.05,0.67,流出,-890.18,-18.49,-400.32,-8.32,-489.86,-10.18,182.61,3.79,707.57,14.7,2026-06-17T15:16:09+08:00,2026-06-17T15:16:51+08:00
000031,大悦城,2.37,-0.84,0.89,流入,1319.38,14.66,707.47,7.86,611.91,6.8,-863.81,-9.6,-455.58,-5.06,2026-06-17T15:16:03+08:00,2026-06-17T15:16:51+08:00
000032,深桑达Ａ,23.22,1.44,14.1,流出,-26915.82,-7.38,-25661.01,-7.03,-1254.81,-0.34,2877.91,0.79,24037.91,6.59,2026-06-17T15:16:12+08:00,2026-06-17T15:16:51+08:00
000034,神州数码,26.69,0.83,6.28,流出,-6310.2,-4.46,1521.55,1.08,-7831.75,-5.54,-2746.23,-1.94,9056.43,6.4,2026-06-17T15:16:00+08:00,2026-06-17T15:16:51+08:00
000035,中国天楹,5.1,-0.2,1.53,流入,1570.31,8.66,637.59,3.52,932.72,5.14,492.62,2.72,-2062.93,-11.37,2026-06-17T15:16:09+08:00,2026-06-17T15:16:51+08:00
000036,华联控股,5.14,-0.19,1.92,流入,641.09,4.66,-599.53,-4.36,1240.61,9.03,-690.6,-5.02,49.51,0.36,2026-06-17T15:16:12+08:00,2026-06-17T15:16:51+08:00
000037,深南电A,11.52,-1.45,12.56,流出,-1232.9,-2.54,274.84,0.57,-1507.73,-3.11,1861.53,3.84,-628.63,-1.3,2026-06-17T15:16:03+08:00,2026-06-17T15:16:51+08:00
000039,中集集团,9.09,-0.76,1.71,流入,1735.05,4.8,-1984.39,-5.49,3719.43,10.3,-3090.25,-8.56,1355.2,3.75,2026-06-17T15:16:06+08:00,2026-06-17T15:16:51+08:00
000042,中洲控股,9.09,-3.3,0.87,流出,-757.54,-14.17,-158.86,-2.97,-598.68,-11.2,697.41,13.04,60.13,1.12,2026-06-17T15:16:15+08:00,2026-06-17T15:16:51+08:00
000045,深纺织Ａ,11.2,1.27,1.31,流入,298.18,4.46,169.97,2.54,128.21,1.92,270.46,4.04,-568.64,-8.5,2026-06-17T15:16:15+08:00,2026-06-17T15:16:51+08:00
000048,京基智农,19.13,0.1,7.87,流入,3010.38,3.8,122.27,0.15,2888.11,3.64,-5340.09,-6.74,2329.71,2.94,2026-06-17T15:16:12+08:00,2026-06-17T15:16:51+08:00
000049,德赛电池,24.38,-0.37,1.52,流出,-638.81,-4.48,-253.06,-1.78,-385.75,-2.71,56.89,0.4,581.93,4.09,2026-06-17T15:16:15+08:00,2026-06-17T15:16:51+08:00
000050,深天马Ａ,9.14,9.99,2.37,流入,15896.67,30.51,14891.06,28.58,1005.61,1.93,-9061.51,-17.39,-6835.16,-13.12,2026-06-17T15:16:06+08:00,2026-06-17T15:16:51+08:00
000055,方大集团,3.82,2.14,3.87,流出,-103.24,-1.04,-140.09,-1.41,36.86,0.37,524.35,5.29,-421.11,-4.25,2026-06-17T15:16:18+08:00,2026-06-17T15:16:51+08:00
000056,*ST皇庭,1.68,-4.0,3.69,流出,-591.69,-10.45,-483.18,-8.54,-108.5,-1.92,412.14,7.28,179.55,3.17,2026-06-17T15:16:09+08:00,2026-06-17T15:16:51+08:00
000058,深 赛 格,6.77,-1.02,0.62,流入,334.54,8.03,-119.9,-2.88,454.44,10.9,181.2,4.35,-515.74,-12.37,2026-06-17T15:16:21+08:00,2026-06-17T15:16:51+08:00
000059,华锦股份,4.13,-5.28,2.84,流出,-2089.6,-11.11,-619.95,-3.3,-1469.65,-7.81,348.74,1.85,1740.86,9.25,2026-06-17T15:16:24+08:00,2026-06-17T15:16:51+08:00
000060,中金岭南,7.97,-0.62,5.28,流出,-12057.22,-6.4,970.27,0.52,-13027.49,-6.92,-7815.56,-4.15,19872.79,10.55,2026-06-17T15:16:18+08:00,2026-06-17T15:16:51+08:00
000061,农 产 品,5.84,-3.63,0.98,流出,-2404.45,-23.26,-1299.4,-12.57,-1105.05,-10.69,748.56,7.24,1655.89,16.02,2026-06-17T15:16:21+08:00,2026-06-17T15:16:51+08:00
000062,深圳华强,31.75,1.73,4.28,流入,5030.11,3.55,2254.26,1.59,2775.85,1.96,-7855.96,-5.55,2825.85,2.0,2026-06-17T15:16:12+08:00,2026-06-17T15:16:51+08:00
000063,中兴通讯,37.64,-0.95,3.76,流出,-44459.36,-7.81,-14563.99,-2.56,-29895.37,-5.25,1785.17,0.31,42674.19,7.5,2026-06-17T15:16:15+08:00,2026-06-17T15:16:51+08:00
000065,北方国际,12.76,3.32,3.55,流入,1061.06,2.42,892.42,2.04,168.63,0.38,-1329.23,-3.03,268.18,0.61,2026-06-17T15:16:09+08:00,2026-06-17T15:16:51+08:00
000066,中国长城,17.81,7.29,8.41,流入,23732.8,5.13,22119.15,4.79,1613.65,0.35,-8385.42,-1.81,-15347.37,-3.32,2026-06-17T15:16:18+08:00,2026-06-17T15:16:51+08:00
000068,华控赛格,3.43,0.29,3.38,流入,554.57,4.82,-370.36,-3.22,924.93,8.04,-85.68,-0.74,-468.89,-4.07,2026-06-17T15:16:24+08:00,2026-06-17T15:16:51+08:00
000069,华侨城Ａ,1.8,-1.1,0.63,流出,-480.52,-6.18,-1105.36,-14.2,624.84,8.03,141.42,1.82,339.1,4.36,2026-06-17T15:16:27+08:00,2026-06-17T15:16:51+08:00
