代码,名称,最新价,涨跌幅%,换手率%,主力流向,主力净流入(万),主力净占比%,超大单净流入(万),超大单净占比%,大单净流入(万),大单净占比%,中单净流入(万),中单净占比%,小单净流入(万),小单净占比%,资金流时间,抓取时间
000001,平安银行,11.32,1.71,0.8,流入,10324.24,5.94,12673.21,7.29,-2348.97,-1.35,-8781.18,-5.05,-1543.06,-0.89,2026-06-10T15:15:24+08:00,2026-06-10T15:15:50+08:00
000002,万  科Ａ,3.15,0.96,1.23,流入,4554.01,12.19,5085.96,13.62,-531.96,-1.42,-2157.66,-5.78,-2396.34,-6.42,2026-06-10T15:15:27+08:00,2026-06-10T15:15:50+08:00
000004,*ST国华,,,0.0,,,,,,,,,,,,2026-06-10T15:15:24+08:00,2026-06-10T15:15:50+08:00
000006,深振业Ａ,8.0,0.5,1.89,流入,611.64,2.98,-702.21,-3.42,1313.86,6.41,615.38,3.0,-1227.02,-5.98,2026-06-10T15:15:30+08:00,2026-06-10T15:15:50+08:00
000007,全新好,13.84,5.41,5.54,流入,1031.75,3.85,700.12,2.61,331.64,1.24,118.2,0.44,-1149.95,-4.29,2026-06-10T15:15:24+08:00,2026-06-10T15:15:50+08:00
000008,神州高铁,2.5,-1.57,0.93,流出,-786.93,-12.48,-666.26,-10.56,-120.67,-1.91,-59.57,-0.94,846.5,13.42,2026-06-10T15:15:27+08:00,2026-06-10T15:15:50+08:00
000009,中国宝安,7.01,-0.28,0.64,流出,-1381.35,-12.04,-1206.09,-10.51,-175.26,-1.53,385.54,3.36,995.81,8.68,2026-06-10T15:15:27+08:00,2026-06-10T15:15:50+08:00
000010,*ST美丽,2.31,-4.94,3.26,流出,-1007.33,-15.31,-1177.89,-17.9,170.56,2.59,463.8,7.05,543.53,8.26,2026-06-10T15:15:33+08:00,2026-06-10T15:15:50+08:00
000011,深物业A,7.32,2.52,0.93,流入,346.7,9.74,0.0,0.0,346.7,9.74,219.25,6.16,-565.95,-15.9,2026-06-10T15:15:30+08:00,2026-06-10T15:15:50+08:00
000012,南  玻Ａ,4.23,-3.86,2.94,流出,-1467.92,-6.04,-1082.87,-4.46,-385.05,-1.59,189.13,0.78,1278.79,5.27,2026-06-10T15:15:36+08:00,2026-06-10T15:15:50+08:00
000014,沙河股份,10.32,-0.39,1.87,流出,-109.48,-2.38,-571.0,-12.39,461.52,10.02,-34.98,-0.76,144.46,3.14,2026-06-10T15:15:39+08:00,2026-06-10T15:15:50+08:00
000016,*ST康佳A,2.94,-4.55,2.51,流出,-4272.36,-36.11,-3258.94,-27.54,-1013.42,-8.57,1430.82,12.09,2841.54,24.02,2026-06-10T15:15:42+08:00,2026-06-10T15:15:50+08:00
000017,深中华A,5.05,-1.37,1.57,流出,-406.54,-11.65,-325.19,-9.32,-81.35,-2.33,-64.31,-1.84,470.85,13.5,2026-06-10T15:15:30+08:00,2026-06-10T15:15:50+08:00
000019,深粮控股,6.3,0.48,1.59,流出,-499.49,-12.09,0.0,0.0,-499.49,-12.09,-104.99,-2.54,604.48,14.63,2026-06-10T15:15:24+08:00,2026-06-10T15:15:50+08:00
000020,深华发Ａ,11.77,-1.83,1.62,流入,20.79,0.6,0.0,0.0,20.79,0.6,-39.95,-1.16,19.16,0.56,2026-06-10T15:15:45+08:00,2026-06-10T15:15:50+08:00
000021,深科技,38.56,2.72,9.2,流入,13340.0,2.43,9540.89,1.74,3799.12,0.69,-2220.6,-0.4,-11119.4,-2.03,2026-06-10T15:15:24+08:00,2026-06-10T15:15:50+08:00
000025,特  力Ａ,15.64,9.99,3.82,流入,7646.32,33.71,8199.39,36.15,-553.07,-2.44,-3727.55,-16.44,-3918.76,-17.28,2026-06-10T15:15:27+08:00,2026-06-10T15:15:50+08:00
000026,飞亚达,21.26,-2.39,2.73,流出,-2376.98,-11.28,-1686.12,-8.0,-690.86,-3.28,36.04,0.17,2340.94,11.11,2026-06-10T15:15:33+08:00,2026-06-10T15:15:50+08:00
000027,深圳能源,7.16,-1.51,1.03,流出,-4271.87,-12.11,-2117.35,-6.0,-2154.52,-6.11,2645.54,7.5,1626.33,4.61,2026-06-10T15:15:48+08:00,2026-06-10T15:15:50+08:00
000028,国药一致,22.66,1.89,0.48,流入,111.35,2.17,341.95,6.67,-230.6,-4.5,-742.3,-14.48,630.95,12.3,2026-06-10T15:15:27+08:00,2026-06-10T15:15:50+08:00
000029,深深房Ａ,26.99,9.98,0.55,流入,3761.93,28.65,3501.73,26.67,260.2,1.98,-2300.18,-17.52,-1461.75,-11.13,2026-06-10T15:15:36+08:00,2026-06-10T15:15:50+08:00
000030,富奥股份,4.47,-6.49,2.37,流出,-960.28,-5.36,-2193.37,-12.25,1233.08,6.88,555.78,3.1,404.5,2.26,2026-06-10T15:15:33+08:00,2026-06-10T15:15:50+08:00
000031,大悦城,2.49,-1.19,0.83,流入,20.91,0.23,-65.28,-0.73,86.18,0.97,511.91,5.75,-532.82,-5.99,2026-06-10T15:15:30+08:00,2026-06-10T15:15:50+08:00
000032,深桑达Ａ,15.64,0.64,1.98,流入,151.26,0.42,543.49,1.51,-392.23,-1.09,806.24,2.24,-957.5,-2.66,2026-06-10T15:15:33+08:00,2026-06-10T15:15:50+08:00
