代码,名称,最新价,涨跌幅%,主力流向,主力净流入(万),主力净占比%,超大单净流入(万),超大单净占比%,大单净流入(万),大单净占比%,中单净流入(万),中单净占比%,小单净流入(万),小单净占比%,资金流时间,抓取时间
000001,平安银行,11.17,0.9,流入,6203.47,11.24,3681.75,6.67,2521.72,4.57,-2402.01,-4.35,-3801.45,-6.89,2026-04-14T15:00:00+08:00,2026-05-08T17:08:11+08:00
000002,万 科Ａ,4.02,2.81,流入,13145.54,18.14,9951.52,13.73,3194.02,4.41,-4441.05,-6.13,-8704.49,-12.01,2026-04-14T15:00:00+08:00,2026-05-08T17:08:15+08:00
000006,深振业Ａ,8.85,3.15,流入,3085.45,11.62,1915.35,7.21,1170.1,4.41,-2560.28,-9.64,-525.17,-1.98,2026-04-14T15:00:00+08:00,2026-05-08T17:08:17+08:00
000007,全新好,13.36,0.3,流出,-305.96,-4.72,111.44,1.72,-417.4,-6.43,-452.04,-6.97,757.99,11.69,2026-04-14T15:00:00+08:00,2026-05-08T17:08:18+08:00
000008,神州高铁,2.73,-0.36,流入,927.71,4.48,2007.11,9.69,-1079.4,-5.21,-277.95,-1.34,-649.76,-3.14,2026-04-14T15:00:00+08:00,2026-05-08T17:08:20+08:00
000009,中国宝安,9.02,0.89,流出,-1492.21,-7.24,-346.32,-1.68,-1145.89,-5.56,635.56,3.08,856.64,4.16,2026-04-14T15:00:00+08:00,2026-05-08T17:08:24+08:00
000010,美丽生态,4.19,1.45,流出,-411.07,-1.44,140.5,0.49,-551.57,-1.93,-912.5,-3.2,1323.57,4.64,2026-04-14T15:00:00+08:00,2026-05-08T17:08:25+08:00
000011,深物业A,8.47,1.07,流出,-106.62,-2.37,-292.65,-6.5,186.03,4.13,282.23,6.27,-175.61,-3.9,2026-04-14T15:00:00+08:00,2026-05-08T17:08:28+08:00
000012,南 玻Ａ,4.54,0.0,流入,122.4,1.63,-106.27,-1.41,228.67,3.04,-228.98,-3.05,106.58,1.42,2026-04-14T15:00:00+08:00,2026-05-08T17:08:31+08:00
000014,沙河股份,13.48,1.58,流入,573.87,5.38,-384.34,-3.6,958.21,8.99,-19.64,-0.18,-554.23,-5.2,2026-04-14T15:00:00+08:00,2026-05-08T17:08:34+08:00
000016,深康佳Ａ,3.26,0.93,流入,1631.8,8.56,792.24,4.16,839.56,4.4,-297.67,-1.56,-1334.13,-7.0,2026-04-14T15:00:00+08:00,2026-05-08T17:08:38+08:00
000017,深中华A,6.84,0.0,流出,-120.65,-3.69,0.0,0.0,-120.65,-3.69,184.45,5.64,-63.79,-1.95,2026-04-14T15:00:00+08:00,2026-05-08T17:08:41+08:00
000019,深粮控股,8.1,-2.41,流出,-1808.17,-7.17,-1085.2,-4.3,-722.97,-2.87,1012.32,4.01,795.85,3.16,2026-04-14T15:00:00+08:00,2026-05-08T17:08:41+08:00
000020,深华发Ａ,16.03,1.2,流入,188.29,1.51,-192.74,-1.55,381.03,3.06,-46.42,-0.37,-141.87,-1.14,2026-04-14T15:00:00+08:00,2026-05-08T17:08:42+08:00
