代码,名称,最新价,涨跌幅%,换手率%,主力流向,主力净流入(万),主力净占比%,超大单净流入(万),超大单净占比%,大单净流入(万),大单净占比%,中单净流入(万),中单净占比%,小单净流入(万),小单净占比%,资金流时间,抓取时间
000001,平安银行,11.24,2.74,1.05,流出,-2638.81,-1.17,-8882.72,-3.93,6243.9,2.76,-1061.61,-0.47,3700.42,1.64,2026-06-12T15:03:57+08:00,2026-06-12T15:04:20+08:00
000002,万  科Ａ,3.16,1.28,1.46,流出,-53.91,-0.12,-1402.38,-3.15,1348.46,3.03,-802.29,-1.8,856.2,1.93,2026-06-12T15:03:57+08:00,2026-06-12T15:04:20+08:00
000004,*ST国华,,,0.0,,,,,,,,,,,,2026-06-12T15:03:57+08:00,2026-06-12T15:04:20+08:00
000006,深振业Ａ,7.85,0.0,1.76,流入,482.84,2.57,144.5,0.77,338.33,1.8,366.31,1.95,-849.15,-4.53,2026-06-12T15:04:00+08:00,2026-06-12T15:04:20+08:00
000007,全新好,14.08,1.08,3.11,流出,-51.36,-0.34,185.85,1.22,-237.21,-1.56,-685.51,-4.52,736.87,4.86,2026-06-12T15:03:57+08:00,2026-06-12T15:04:20+08:00
000008,神州高铁,2.45,2.08,0.98,流入,1211.42,18.64,1622.12,24.95,-410.69,-6.32,-753.92,-11.6,-457.5,-7.04,2026-06-12T15:04:00+08:00,2026-06-12T15:04:20+08:00
000009,中国宝安,7.06,3.07,1.43,流入,706.9,2.74,131.19,0.51,575.71,2.23,-2456.28,-9.51,1749.37,6.77,2026-06-12T15:04:00+08:00,2026-06-12T15:04:20+08:00
000010,*ST美丽,2.21,0.91,3.52,流入,358.04,5.17,654.84,9.46,-296.81,-4.29,-257.61,-3.72,-100.43,-1.45,2026-06-12T15:03:57+08:00,2026-06-12T15:04:20+08:00
000011,深物业A,7.51,4.45,1.28,流入,418.72,8.31,16.4,0.33,402.32,7.99,290.39,5.76,-709.11,-14.07,2026-06-12T15:04:00+08:00,2026-06-12T15:04:20+08:00
000012,南  玻Ａ,4.0,-1.96,3.02,流出,-3356.31,-14.11,-666.06,-2.8,-2690.26,-11.31,-760.05,-3.19,4116.36,17.3,2026-06-12T15:04:03+08:00,2026-06-12T15:04:20+08:00
000014,沙河股份,10.31,1.58,1.61,流出,-156.42,-3.9,-109.17,-2.72,-47.24,-1.18,-205.7,-5.13,362.12,9.02,2026-06-12T15:04:03+08:00,2026-06-12T15:04:20+08:00
000016,*ST康佳A,2.84,1.07,1.35,流出,-183.72,-3.02,-380.96,-6.25,197.24,3.24,-217.36,-3.57,401.09,6.58,2026-06-12T15:04:06+08:00,2026-06-12T15:04:20+08:00
000017,深中华A,5.14,2.39,2.09,流出,-98.92,-2.09,-109.03,-2.3,10.11,0.21,-452.02,-9.54,550.94,11.63,2026-06-12T15:04:09+08:00,2026-06-12T15:04:20+08:00
000019,深粮控股,6.59,0.61,3.99,流入,57.99,0.52,21.54,0.19,36.44,0.33,-277.24,-2.51,219.25,1.98,2026-06-12T15:04:06+08:00,2026-06-12T15:04:20+08:00
000020,深华发Ａ,11.69,0.0,1.65,流出,-103.12,-2.94,0.0,0.0,-103.12,-2.94,158.62,4.51,-55.5,-1.58,2026-06-12T15:04:12+08:00,2026-06-12T15:04:20+08:00
000021,深科技,37.09,-5.09,9.18,流出,-56592.22,-10.11,-34267.19,-6.12,-22325.03,-3.99,1639.27,0.29,54952.95,9.81,2026-06-12T15:04:15+08:00,2026-06-12T15:04:20+08:00
000025,特  力Ａ,15.22,-0.33,1.97,流出,-439.74,-3.73,-160.43,-1.36,-279.31,-2.37,-18.22,-0.15,457.96,3.88,2026-06-12T15:04:18+08:00,2026-06-12T15:04:20+08:00
000026,飞亚达,20.41,-2.67,3.18,流出,-2224.2,-9.29,-1542.58,-6.44,-681.63,-2.85,695.82,2.9,1528.38,6.38,2026-06-12T15:04:00+08:00,2026-06-12T15:04:20+08:00
000027,深圳能源,7.2,1.41,0.96,流入,3376.74,10.34,3474.14,10.64,-97.39,-0.3,-1008.54,-3.09,-2368.21,-7.25,2026-06-12T15:04:03+08:00,2026-06-12T15:04:20+08:00
000028,国药一致,22.65,1.52,0.43,流入,153.41,3.31,0.0,0.0,153.41,3.31,-405.99,-8.76,252.58,5.45,2026-06-12T15:04:09+08:00,2026-06-12T15:04:20+08:00
000029,深深房Ａ,25.34,-0.47,1.06,流入,510.79,2.11,316.35,1.31,194.45,0.8,-1011.19,-4.18,500.4,2.07,2026-06-12T15:04:21+08:00,2026-06-12T15:04:20+08:00
000030,富奥股份,4.35,1.4,0.79,流入,180.82,3.17,73.72,1.29,107.1,1.88,-506.05,-8.87,325.23,5.7,2026-06-12T15:04:03+08:00,2026-06-12T15:04:20+08:00
000031,大悦城,2.5,1.21,0.93,流入,44.52,0.45,248.34,2.49,-203.81,-2.04,-714.5,-7.15,669.98,6.71,2026-06-12T15:04:06+08:00,2026-06-12T15:04:20+08:00
000032,深桑达Ａ,18.92,10.0,9.28,流入,20193.82,10.5,17900.16,9.31,2293.65,1.19,-7749.97,-4.03,-12443.85,-6.47,2026-06-12T15:04:09+08:00,2026-06-12T15:04:20+08:00
000034,神州数码,22.33,0.81,3.02,流出,-3171.13,-5.5,-531.01,-0.92,-2640.13,-4.58,-1546.8,-2.68,4717.93,8.18,2026-06-12T15:03:24+08:00,2026-06-12T15:04:20+08:00
000035,中国天楹,5.0,0.0,1.52,流出,-100.84,-0.57,-413.94,-2.35,313.1,1.78,-2866.76,-16.3,2967.61,16.87,2026-06-12T15:04:12+08:00,2026-06-12T15:04:20+08:00
000036,华联控股,5.14,3.63,2.3,流出,-1880.77,-11.4,106.9,0.65,-1987.67,-12.05,337.69,2.05,1543.08,9.36,2026-06-12T15:04:12+08:00,2026-06-12T15:04:20+08:00
000037,深南电A,11.25,-2.51,12.34,流出,-1119.33,-2.37,403.92,0.85,-1523.24,-3.22,846.05,1.79,273.27,0.58,2026-06-12T15:04:15+08:00,2026-06-12T15:04:20+08:00
000039,中集集团,8.97,-3.13,2.85,流出,-4030.93,-6.79,1318.24,2.22,-5349.17,-9.01,-6502.88,-10.96,10533.81,17.75,2026-06-12T15:04:06+08:00,2026-06-12T15:04:20+08:00
000042,中洲控股,8.95,0.0,1.14,流入,319.68,4.74,130.94,1.94,188.74,2.8,242.34,3.59,-562.02,-8.33,2026-06-12T15:04:18+08:00,2026-06-12T15:04:20+08:00
000045,深纺织Ａ,10.66,0.57,1.21,流出,-341.41,-5.8,-7.82,-0.13,-333.59,-5.66,-292.64,-4.97,634.05,10.77,2026-06-12T15:04:15+08:00,2026-06-12T15:04:20+08:00
000048,京基智农,18.91,-3.57,15.53,流出,-19653.74,-11.89,-7477.59,-4.52,-12176.15,-7.37,6705.43,4.06,12948.31,7.84,2026-06-12T15:04:18+08:00,2026-06-12T15:04:20+08:00
000049,德赛电池,22.88,2.1,1.9,流出,-240.31,-1.44,-384.22,-2.3,143.9,0.86,32.16,0.19,208.15,1.25,2026-06-12T15:04:21+08:00,2026-06-12T15:04:20+08:00
000050,深天马Ａ,7.51,-1.96,2.4,流出,-614.35,-1.37,-431.54,-0.97,-182.81,-0.41,1311.78,2.93,-697.43,-1.56,2026-06-12T15:04:21+08:00,2026-06-12T15:04:20+08:00
000055,方大集团,3.8,2.7,4.12,流出,-61.1,-0.58,205.83,1.95,-266.93,-2.53,-62.2,-0.59,123.3,1.17,2026-06-12T15:04:03+08:00,2026-06-12T15:04:20+08:00
000056,*ST皇庭,1.72,4.88,6.3,流出,-188.81,-1.99,164.14,1.73,-352.95,-3.73,158.66,1.68,30.15,0.32,2026-06-12T15:04:06+08:00,2026-06-12T15:04:20+08:00
000058,深 赛 格,6.88,2.23,0.65,流出,-255.53,-5.82,-124.16,-2.83,-131.38,-2.99,-355.77,-8.11,611.31,13.93,2026-06-12T15:03:24+08:00,2026-06-12T15:04:20+08:00
000059,华锦股份,4.28,1.18,1.43,流出,-143.25,-1.48,-273.73,-2.83,130.48,1.35,-299.46,-3.09,442.71,4.57,2026-06-12T15:03:24+08:00,2026-06-12T15:04:20+08:00
000060,中金岭南,7.56,5.44,7.62,流出,-8426.71,-3.3,8314.5,3.26,-16741.21,-6.56,-5150.84,-2.02,13577.55,5.32,2026-06-12T15:04:09+08:00,2026-06-12T15:04:20+08:00
000061,农 产 品,6.09,3.75,1.09,流入,1040.13,8.82,666.4,5.65,373.72,3.17,-1138.09,-9.65,97.96,0.83,2026-06-12T15:04:09+08:00,2026-06-12T15:04:20+08:00
000062,深圳华强,28.77,-4.07,4.62,流出,-21462.95,-14.98,-12591.22,-8.79,-8871.74,-6.19,-43.56,-0.03,21506.51,15.01,2026-06-12T15:03:27+08:00,2026-06-12T15:04:20+08:00
000063,中兴通讯,36.35,-3.86,6.49,流出,-196531.1,-20.26,-138034.84,-14.23,-58496.26,-6.03,44058.25,4.54,152472.85,15.71,2026-06-12T15:04:12+08:00,2026-06-12T15:04:20+08:00
000065,北方国际,11.6,6.13,3.08,流入,3311.36,9.63,619.94,1.8,2691.42,7.82,-1751.57,-5.09,-1559.78,-4.53,2026-06-12T15:04:15+08:00,2026-06-12T15:04:20+08:00
000066,中国长城,15.51,-1.15,3.58,流出,-14015.39,-7.69,-9692.33,-5.32,-4323.05,-2.37,2445.48,1.34,11569.9,6.34,2026-06-12T15:03:30+08:00,2026-06-12T15:04:20+08:00
000068,华控赛格,3.46,0.0,4.3,流出,-1432.35,-9.57,-458.85,-3.06,-973.5,-6.5,72.67,0.49,1359.68,9.08,2026-06-12T15:04:12+08:00,2026-06-12T15:04:20+08:00
000069,华侨城Ａ,1.86,0.54,0.73,流入,363.68,3.9,477.38,5.12,-113.7,-1.22,81.65,0.88,-445.33,-4.78,2026-06-12T15:04:18+08:00,2026-06-12T15:04:20+08:00
000070,特发信息,17.1,-3.23,9.77,流出,-13935.63,-9.55,-9620.45,-6.6,-4315.18,-2.96,2046.05,1.4,11889.58,8.15,2026-06-12T15:03:33+08:00,2026-06-12T15:04:20+08:00
000078,ST海王,1.58,-1.86,3.49,流出,-1637.97,-11.19,-90.78,-0.62,-1547.2,-10.57,316.12,2.16,1321.86,9.03,2026-06-12T15:04:15+08:00,2026-06-12T15:04:20+08:00
000088,盐 田 港,4.34,2.84,0.93,流入,606.15,4.78,1089.62,8.59,-483.47,-3.81,-102.69,-0.81,-503.46,-3.97,2026-06-12T15:03:27+08:00,2026-06-12T15:04:20+08:00
000089,深圳机场,6.52,3.0,0.53,流出,-406.53,-5.75,200.05,2.83,-606.58,-8.58,-736.66,-10.43,1143.19,16.18,2026-06-12T15:03:30+08:00,2026-06-12T15:04:20+08:00
000090,天健集团,3.61,1.69,3.02,流出,-37.87,-0.18,-11.92,-0.06,-25.95,-0.13,2286.15,11.1,-2248.28,-10.92,2026-06-12T15:03:27+08:00,2026-06-12T15:04:20+08:00
000096,广聚能源,7.91,1.67,1.35,流出,-248.53,-4.59,0.0,0.0,-248.53,-4.59,-340.86,-6.3,589.39,10.89,2026-06-12T15:04:18+08:00,2026-06-12T15:04:20+08:00
000099,中信海直,17.41,9.98,3.15,流入,17762.49,42.58,17941.37,43.01,-178.88,-0.43,-7150.43,-17.14,-10612.06,-25.44,2026-06-12T15:03:33+08:00,2026-06-12T15:04:20+08:00
000100,TCL科技,4.55,0.89,6.28,流出,-15790.59,-2.89,-37754.54,-6.91,21963.95,4.02,18322.26,3.35,-2531.67,-0.46,2026-06-12T15:04:21+08:00,2026-06-12T15:04:20+08:00
000151,中成股份,13.94,10.02,3.93,流入,2936.98,18.06,2601.25,15.99,335.73,2.06,-1136.65,-6.99,-1800.33,-11.07,2026-06-12T15:03:36+08:00,2026-06-12T15:04:20+08:00
000153,丰原药业,5.53,2.22,1.58,流入,481.81,12.14,167.79,4.23,314.01,7.91,-516.05,-13.01,34.25,0.86,2026-06-12T15:03:24+08:00,2026-06-12T15:04:20+08:00
000155,川能动力,13.36,2.38,2.3,流入,2405.81,4.26,1781.71,3.16,624.1,1.11,-545.97,-0.97,-1859.84,-3.29,2026-06-12T15:03:27+08:00,2026-06-12T15:04:20+08:00
000156,华数传媒,6.48,2.37,0.58,流入,402.16,6.39,285.66,4.54,116.5,1.85,-685.8,-10.9,283.64,4.51,2026-06-12T15:03:30+08:00,2026-06-12T15:04:20+08:00
000157,中联重科,7.35,0.82,0.99,流入,2604.33,5.03,2743.76,5.3,-139.43,-0.27,-604.52,-1.17,-1999.81,-3.86,2026-06-12T15:03:33+08:00,2026-06-12T15:04:20+08:00
000158,常山北明,15.43,3.42,3.86,流入,2643.41,2.82,2235.24,2.39,408.17,0.44,2093.63,2.23,-4737.04,-5.06,2026-06-12T15:03:39+08:00,2026-06-12T15:04:20+08:00
000159,国际实业,5.94,-1.82,3.55,流入,329.32,3.19,536.41,5.2,-207.09,-2.01,-138.92,-1.35,-190.39,-1.85,2026-06-12T15:04:21+08:00,2026-06-12T15:04:20+08:00
000166,申万宏源,4.53,2.49,0.66,流入,52.18,0.08,-770.1,-1.15,822.29,1.23,-1575.09,-2.35,1522.91,2.28,2026-06-12T15:03:24+08:00,2026-06-12T15:04:20+08:00
000301,东方盛虹,11.88,2.33,0.34,流入,299.94,1.12,-121.27,-0.45,421.21,1.58,151.07,0.57,-451.02,-1.69,2026-06-12T15:03:36+08:00,2026-06-12T15:04:20+08:00
000333,美的集团,83.23,-2.48,0.63,流入,19888.12,5.57,22909.91,6.42,-3021.79,-0.85,-7097.69,-1.99,-12790.44,-3.58,2026-06-12T15:03:30+08:00,2026-06-12T15:04:20+08:00
000338,潍柴动力,28.0,1.56,2.65,流出,-33119.08,-8.92,5984.98,1.61,-39104.06,-10.54,32514.58,8.76,604.5,0.16,2026-06-12T15:03:39+08:00,2026-06-12T15:04:20+08:00
000400,许继电气,22.2,2.73,2.0,流入,1732.96,3.89,642.14,1.44,1090.82,2.45,-772.39,-1.73,-960.57,-2.16,2026-06-12T15:03:42+08:00,2026-06-12T15:04:20+08:00
000401,金隅冀东,3.85,1.32,0.36,流入,227.53,6.24,143.47,3.94,84.05,2.31,-62.78,-1.72,-164.75,-4.52,2026-06-12T15:03:33+08:00,2026-06-12T15:04:20+08:00
000402,金 融 街,2.76,0.36,1.71,流入,425.01,3.01,532.3,3.76,-107.29,-0.76,108.39,0.77,-533.39,-3.77,2026-06-12T15:03:27+08:00,2026-06-12T15:04:20+08:00
000403,派林生物,11.88,1.97,1.16,流入,310.52,2.41,1137.56,8.83,-827.05,-6.42,-113.8,-0.88,-196.72,-1.53,2026-06-12T15:03:30+08:00,2026-06-12T15:04:20+08:00
000404,长虹华意,7.87,1.42,3.97,流入,700.52,3.25,394.87,1.83,305.65,1.42,-909.3,-4.21,208.78,0.97,2026-06-12T15:03:36+08:00,2026-06-12T15:04:20+08:00
000407,胜利股份,4.08,1.49,1.67,流入,51.54,0.87,-234.15,-3.95,285.69,4.82,-635.83,-10.72,584.29,9.85,2026-06-12T15:03:45+08:00,2026-06-12T15:04:20+08:00
000408,藏格矿业,79.47,4.55,1.22,流入,7220.93,4.76,6545.09,4.32,675.84,0.45,671.22,0.44,-7892.16,-5.21,2026-06-12T15:03:33+08:00,2026-06-12T15:04:20+08:00
000409,云鼎科技,8.95,1.59,0.84,流入,34.96,0.79,101.7,2.29,-66.74,-1.5,-116.41,-2.63,81.45,1.84,2026-06-12T15:03:42+08:00,2026-06-12T15:04:20+08:00
000410,沈阳机床,5.19,0.97,1.2,流出,-1859.16,-14.95,-410.65,-3.3,-1448.51,-11.65,208.82,1.68,1650.34,13.27,2026-06-12T15:03:36+08:00,2026-06-12T15:04:20+08:00
000411,英特集团,9.49,2.93,1.74,流入,1148.54,12.5,483.06,5.26,665.48,7.24,304.51,3.31,-1453.04,-15.81,2026-06-12T15:03:36+08:00,2026-06-12T15:04:20+08:00
000415,渤海租赁,4.12,4.83,1.83,流入,495.57,1.23,-624.05,-1.54,1119.62,2.77,-463.87,-1.15,-31.7,-0.08,2026-06-12T15:03:39+08:00,2026-06-12T15:04:20+08:00
000417,合百集团,7.17,1.99,5.95,流出,-897.46,-2.71,-205.46,-0.62,-692.0,-2.09,16.18,0.05,881.28,2.66,2026-06-12T15:03:39+08:00,2026-06-12T15:04:20+08:00
000419,通程控股,4.93,1.23,0.97,流入,137.73,5.34,0.0,0.0,137.73,5.34,-310.15,-12.02,172.42,6.68,2026-06-12T15:03:42+08:00,2026-06-12T15:04:20+08:00
000420,吉林化纤,4.23,2.92,3.25,流出,-645.5,-1.91,-337.5,-1.0,-308.0,-0.91,-2147.91,-6.37,2793.41,8.28,2026-06-12T15:03:48+08:00,2026-06-12T15:04:20+08:00
000421,南京公用,5.51,1.66,1.15,流出,-111.69,-3.08,188.08,5.19,-299.77,-8.27,-20.19,-0.56,131.88,3.64,2026-06-12T15:03:51+08:00,2026-06-12T15:04:20+08:00
000422,湖北宜化,13.65,-2.92,5.44,流出,-5375.24,-6.86,-5058.51,-6.45,-316.73,-0.4,1885.39,2.41,3489.85,4.45,2026-06-12T15:03:45+08:00,2026-06-12T15:04:20+08:00
000423,东阿阿胶,50.48,0.9,0.97,流出,-246.25,-0.78,-384.19,-1.22,137.94,0.44,-866.39,-2.76,1112.63,3.55,2026-06-12T15:03:48+08:00,2026-06-12T15:04:20+08:00
000425,徐工机械,9.12,3.05,2.44,流出,-7664.64,-3.83,-10722.55,-5.35,3057.91,1.53,2220.5,1.11,5444.13,2.72,2026-06-12T15:03:42+08:00,2026-06-12T15:04:20+08:00
000426,兴业银锡,36.82,2.14,5.13,流入,20099.08,5.84,14308.81,4.16,5790.27,1.68,-19131.36,-5.56,-967.72,-0.28,2026-06-12T15:03:51+08:00,2026-06-12T15:04:20+08:00
000428,华天酒店,3.34,1.83,1.0,流入,85.63,2.52,0.0,0.0,85.63,2.52,-64.94,-1.91,-20.7,-0.61,2026-06-12T15:03:54+08:00,2026-06-12T15:04:20+08:00
000429,粤高速Ａ,13.02,-2.11,1.16,流入,225.1,1.15,-103.04,-0.53,328.14,1.68,-960.93,-4.92,735.83,3.77,2026-06-12T15:03:39+08:00,2026-06-12T15:04:20+08:00
000430,张家界,8.0,5.54,4.3,流入,586.61,4.69,329.56,2.64,257.05,2.06,-997.47,-7.98,410.86,3.29,2026-06-12T15:03:42+08:00,2026-06-12T15:04:20+08:00
000488,ST晨鸣,2.17,1.4,0.64,流入,357.74,15.45,-202.57,-8.75,560.31,24.2,-238.41,-10.3,-119.33,-5.15,2026-06-12T15:03:54+08:00,2026-06-12T15:04:20+08:00
000498,山东路桥,5.07,1.0,0.59,流入,173.68,4.0,-145.6,-3.35,319.28,7.35,-563.19,-12.96,389.51,8.96,2026-06-12T15:03:45+08:00,2026-06-12T15:04:20+08:00
000501,武商集团,7.28,2.54,0.82,流出,-285.98,-6.32,0.0,0.0,-285.98,-6.32,-142.32,-3.14,428.3,9.46,2026-06-12T15:03:45+08:00,2026-06-12T15:04:20+08:00
000503,国新健康,6.96,0.14,1.08,流出,-555.67,-7.54,-161.51,-2.19,-394.16,-5.35,-2.62,-0.04,558.29,7.57,2026-06-12T15:03:57+08:00,2026-06-12T15:04:20+08:00
000504,南华生物,8.48,0.12,4.06,流出,-930.27,-7.9,296.99,2.52,-1227.26,-10.42,-138.72,-1.18,1068.99,9.08,2026-06-12T15:03:57+08:00,2026-06-12T15:04:20+08:00
000505,京粮控股,5.63,1.44,1.49,流出,-353.86,-6.72,-113.02,-2.15,-240.84,-4.58,-255.51,-4.86,609.37,11.58,2026-06-12T15:04:00+08:00,2026-06-12T15:04:20+08:00
000506,招金黄金,13.73,10.02,4.11,流入,13089.42,25.81,11717.41,23.11,1372.0,2.71,-6862.59,-13.53,-6226.83,-12.28,2026-06-12T15:04:00+08:00,2026-06-12T15:04:20+08:00
000507,珠海港,4.83,1.9,0.72,流入,223.82,7.15,0.0,0.0,223.82,7.15,-63.87,-2.04,-159.95,-5.11,2026-06-12T15:03:48+08:00,2026-06-12T15:04:20+08:00
000509,华塑控股,4.03,-1.71,9.45,流出,-5009.04,-12.02,-653.39,-1.57,-4355.66,-10.45,-2847.9,-6.83,7856.94,18.85,2026-06-12T15:04:03+08:00,2026-06-12T15:04:20+08:00
000510,新金路,19.37,9.99,11.99,流入,13246.97,9.59,15615.83,11.3,-2368.86,-1.71,-7188.34,-5.2,-6058.63,-4.39,2026-06-12T15:03:45+08:00,2026-06-12T15:04:20+08:00
000513,丽珠集团,31.87,1.56,1.36,流出,-241.82,-0.99,365.72,1.49,-607.54,-2.48,-1517.47,-6.19,1759.28,7.17,2026-06-12T15:03:48+08:00,2026-06-12T15:04:20+08:00
000514,渝 开 发,4.22,0.96,1.24,流出,-319.69,-7.25,127.75,2.9,-447.43,-10.15,-176.43,-4.0,496.12,11.25,2026-06-12T15:03:51+08:00,2026-06-12T15:04:20+08:00
000516,国际医学,3.94,2.07,0.91,流入,175.71,2.26,414.59,5.33,-238.88,-3.07,-444.05,-5.71,268.33,3.45,2026-06-12T15:03:51+08:00,2026-06-12T15:04:20+08:00
000517,荣安地产,1.9,-0.52,3.18,流入,500.28,3.36,238.92,1.6,261.36,1.76,-977.09,-6.56,476.8,3.2,2026-06-12T15:04:03+08:00,2026-06-12T15:04:20+08:00
000518,四环生物,3.14,1.29,3.33,流出,-256.61,-2.38,-172.44,-1.6,-84.16,-0.78,-258.14,-2.39,514.74,4.77,2026-06-12T15:04:06+08:00,2026-06-12T15:04:20+08:00
000519,中兵红箭,19.1,1.92,5.94,流入,5327.87,3.33,2625.01,1.64,2702.85,1.69,-972.32,-0.61,-4355.55,-2.72,2026-06-12T15:03:48+08:00,2026-06-12T15:04:20+08:00
