代码,名称,最新价,涨跌幅%,换手率%,主力流向,主力净流入(万),主力净占比%,超大单净流入(万),超大单净占比%,大单净流入(万),大单净占比%,中单净流入(万),中单净占比%,小单净流入(万),小单净占比%,资金流时间,抓取时间
000001,平安银行,10.99,0.55,0.49,流入,11241.45,10.79,5908.37,5.67,5333.08,5.12,-3665.89,-3.52,-7575.56,-7.27,2026-06-01T15:02:57+08:00,2026-06-01T15:03:30+08:00
000002,万  科Ａ,3.47,-2.25,3.38,流出,-3311.48,-2.92,2813.1,2.48,-6124.58,-5.39,-8035.96,-7.07,11347.44,9.99,2026-06-01T15:02:57+08:00,2026-06-01T15:03:30+08:00
000004,*ST国华,,,0.0,,,,,,,,,,,,2026-06-01T15:03:00+08:00,2026-06-01T15:03:30+08:00
000006,深振业Ａ,8.88,-2.42,2.06,流出,-3267.59,-13.09,-1043.86,-4.18,-2223.73,-8.91,1608.02,6.44,1659.57,6.65,2026-06-01T15:02:57+08:00,2026-06-01T15:03:30+08:00
000007,全新好,11.61,2.47,2.87,流入,159.42,1.38,-218.44,-1.89,377.86,3.27,-0.92,-0.01,-158.51,-1.37,2026-06-01T15:02:57+08:00,2026-06-01T15:03:30+08:00
000008,神州高铁,2.61,1.56,1.23,流入,1051.47,12.16,138.47,1.6,913.0,10.56,-232.25,-2.69,-819.22,-9.47,2026-06-01T15:03:03+08:00,2026-06-01T15:03:30+08:00
000009,中国宝安,7.47,0.95,0.61,流入,186.52,1.59,-169.71,-1.44,356.22,3.03,-26.12,-0.22,-160.4,-1.36,2026-06-01T15:03:06+08:00,2026-06-01T15:03:30+08:00
000010,*ST美丽,2.21,5.24,0.59,流入,252.82,22.46,202.77,18.01,50.06,4.45,-104.93,-9.32,-147.89,-13.14,2026-06-01T15:03:00+08:00,2026-06-01T15:03:30+08:00
000011,深物业A,7.57,2.99,0.91,流入,86.73,2.43,113.24,3.17,-26.51,-0.74,-435.68,-12.2,348.94,9.77,2026-06-01T15:03:09+08:00,2026-06-01T15:03:30+08:00
000012,南  玻Ａ,4.16,2.72,3.5,流出,-371.34,-1.29,-710.94,-2.47,339.61,1.18,-478.35,-1.66,849.69,2.95,2026-06-01T15:03:03+08:00,2026-06-01T15:03:30+08:00
000014,沙河股份,11.19,4.87,4.3,流出,-729.51,-6.31,-175.95,-1.52,-553.56,-4.79,-653.68,-5.65,1383.19,11.96,2026-06-01T15:03:00+08:00,2026-06-01T15:03:30+08:00
000016,*ST康佳A,3.37,-2.6,2.24,流出,-1920.88,-16.01,-427.88,-3.57,-1493.0,-12.44,830.95,6.92,1089.92,9.08,2026-06-01T15:03:00+08:00,2026-06-01T15:03:30+08:00
000017,深中华A,5.57,2.96,1.91,流入,207.56,4.45,0.0,0.0,207.56,4.45,-477.5,-10.24,269.94,5.79,2026-06-01T15:03:03+08:00,2026-06-01T15:03:30+08:00
000019,深粮控股,6.67,3.41,2.95,流入,262.6,3.24,116.49,1.44,146.11,1.81,-91.39,-1.13,-171.2,-2.12,2026-06-01T15:02:57+08:00,2026-06-01T15:03:30+08:00
000020,深华发Ａ,12.75,2.33,2.47,流出,-160.59,-2.81,0.0,0.0,-160.59,-2.81,-188.93,-3.3,349.52,6.11,2026-06-01T15:03:03+08:00,2026-06-01T15:03:30+08:00
000021,深科技,36.43,-8.44,11.54,流出,-47280.33,-6.89,-25991.84,-3.79,-21288.49,-3.1,-9165.33,-1.34,56445.67,8.23,2026-06-01T15:03:00+08:00,2026-06-01T15:03:30+08:00
000025,特  力Ａ,15.6,-0.38,3.23,流入,884.88,4.51,-111.37,-0.57,996.25,5.08,-984.94,-5.02,100.06,0.51,2026-06-01T15:03:06+08:00,2026-06-01T15:03:30+08:00
000026,飞亚达,22.8,-4.8,4.88,流出,-2223.59,-5.38,-2079.02,-5.03,-144.57,-0.35,-1600.29,-3.87,3823.88,9.25,2026-06-01T15:03:06+08:00,2026-06-01T15:03:30+08:00
000027,深圳能源,8.02,-0.74,2.61,流出,-10821.28,-11.01,-6966.15,-7.09,-3855.13,-3.92,-31.17,-0.03,10852.45,11.05,2026-06-01T15:03:06+08:00,2026-06-01T15:03:30+08:00
000028,国药一致,23.62,0.0,0.5,流出,-667.89,-11.8,-334.6,-5.91,-333.29,-5.89,-51.21,-0.9,719.1,12.7,2026-06-01T15:03:03+08:00,2026-06-01T15:03:30+08:00
000029,深深房Ａ,23.93,-3.31,1.14,流出,-1016.22,-4.06,-1494.54,-5.98,478.32,1.91,-718.14,-2.87,1734.36,6.94,2026-06-01T15:03:09+08:00,2026-06-01T15:03:30+08:00
000030,富奥股份,4.68,2.18,0.67,流入,470.66,9.09,274.76,5.31,195.9,3.78,-518.85,-10.02,48.19,0.93,2026-06-01T15:03:12+08:00,2026-06-01T15:03:30+08:00
000031,大悦城,2.87,9.96,1.26,流入,3709.33,24.71,3768.6,25.1,-59.27,-0.39,-968.81,-6.45,-2740.52,-18.26,2026-06-01T15:03:09+08:00,2026-06-01T15:03:30+08:00
000032,深桑达Ａ,16.49,0.12,1.72,流出,-470.69,-1.45,-1017.77,-3.13,547.08,1.68,1510.07,4.64,-1039.38,-3.2,2026-06-01T15:03:12+08:00,2026-06-01T15:03:30+08:00
000034,神州数码,26.59,2.9,8.12,流入,6625.18,3.55,5941.6,3.18,683.58,0.37,-6210.21,-3.32,-414.97,-0.22,2026-06-01T15:03:12+08:00,2026-06-01T15:03:30+08:00
000035,中国天楹,5.9,0.17,1.36,流出,-409.0,-2.2,-1165.59,-6.28,756.6,4.07,276.19,1.49,132.8,0.72,2026-06-01T15:03:15+08:00,2026-06-01T15:03:30+08:00
000036,华联控股,5.19,0.0,2.01,流出,-1530.81,-10.46,-426.49,-2.92,-1104.31,-7.55,90.01,0.62,1440.8,9.85,2026-06-01T15:03:18+08:00,2026-06-01T15:03:30+08:00
000037,深南电A,12.65,10.0,30.47,流入,2866.55,2.26,3486.9,2.75,-620.34,-0.49,-2694.55,-2.12,-172.0,-0.14,2026-06-01T15:03:06+08:00,2026-06-01T15:03:30+08:00
000039,中集集团,10.81,-1.91,1.72,流出,-3835.58,-8.89,1065.17,2.47,-4900.75,-11.36,1289.29,2.99,2546.3,5.9,2026-06-01T15:03:21+08:00,2026-06-01T15:03:30+08:00
000042,中洲控股,9.94,1.43,0.89,流入,238.92,4.11,82.75,1.42,156.18,2.68,-73.49,-1.26,-165.43,-2.84,2026-06-01T15:03:15+08:00,2026-06-01T15:03:30+08:00
000045,深纺织Ａ,11.38,0.89,1.55,流出,-1257.84,-15.66,-230.97,-2.87,-1026.87,-12.78,186.19,2.32,1071.65,13.34,2026-06-01T15:03:09+08:00,2026-06-01T15:03:30+08:00
000048,京基智农,13.79,9.97,1.56,流入,3143.16,28.35,1305.07,11.77,1838.08,16.58,-882.51,-7.96,-2260.65,-20.39,2026-06-01T15:03:24+08:00,2026-06-01T15:03:30+08:00
000049,德赛电池,25.52,0.79,1.85,流出,-174.01,-0.95,270.24,1.48,-444.25,-2.44,-481.29,-2.64,655.3,3.59,2026-06-01T15:03:27+08:00,2026-06-01T15:03:30+08:00
000050,深天马Ａ,7.8,2.36,1.92,流入,2155.27,5.86,754.83,2.05,1400.44,3.81,1561.26,4.24,-3716.53,-10.1,2026-06-01T15:03:15+08:00,2026-06-01T15:03:30+08:00
000055,方大集团,3.81,10.12,4.17,流入,3617.85,34.15,3066.23,28.94,551.62,5.21,-1314.5,-12.41,-2303.35,-21.74,2026-06-01T15:03:18+08:00,2026-06-01T15:03:30+08:00
000056,*ST皇庭,1.56,-2.5,7.37,流入,348.44,3.36,-162.7,-1.57,511.15,4.93,-284.89,-2.75,-63.55,-0.61,2026-06-01T15:03:12+08:00,2026-06-01T15:03:30+08:00
000058,深 赛 格,7.32,1.1,0.75,流出,-281.35,-5.2,0.0,0.0,-281.35,-5.2,-306.64,-5.67,587.99,10.87,2026-06-01T15:03:09+08:00,2026-06-01T15:03:30+08:00
000059,华锦股份,4.56,2.93,1.74,流入,459.48,3.66,241.21,1.92,218.27,1.74,-1290.85,-10.29,831.36,6.63,2026-06-01T15:03:30+08:00,2026-06-01T15:03:30+08:00
000060,中金岭南,7.68,-0.39,5.22,流出,-10592.83,-5.85,-4919.16,-2.72,-5673.67,-3.14,8398.13,4.64,2194.69,1.21,2026-06-01T15:02:33+08:00,2026-06-01T15:03:30+08:00
000061,农 产 品,6.6,2.17,1.2,流出,-935.88,-6.66,-135.53,-0.97,-800.35,-5.7,-169.82,-1.21,1105.7,7.87,2026-06-01T15:03:21+08:00,2026-06-01T15:03:30+08:00
000062,深圳华强,30.47,4.56,4.37,流入,13036.86,9.42,9944.56,7.18,3092.3,2.23,-5244.85,-3.79,-7792.01,-5.63,2026-06-01T15:03:12+08:00,2026-06-01T15:03:30+08:00
000063,中兴通讯,35.1,-4.41,4.01,流出,-48266.26,-8.34,-51036.31,-8.82,2770.06,0.48,-2106.5,-0.36,50372.76,8.7,2026-06-01T15:03:15+08:00,2026-06-01T15:03:30+08:00
000065,北方国际,12.2,-0.49,1.96,流出,-2535.42,-10.93,-1054.61,-4.55,-1480.81,-6.39,1399.9,6.04,1135.52,4.9,2026-06-01T15:03:18+08:00,2026-06-01T15:03:30+08:00
000066,中国长城,18.48,3.82,8.76,流入,12082.76,2.27,6128.17,1.15,5954.59,1.12,-7263.16,-1.37,-4819.61,-0.91,2026-06-01T15:03:15+08:00,2026-06-01T15:03:30+08:00
000068,华控赛格,3.16,0.64,2.26,流入,62.77,0.87,-5.6,-0.08,68.36,0.95,-997.48,-13.86,934.71,12.98,2026-06-01T15:03:18+08:00,2026-06-01T15:03:30+08:00
000069,华侨城Ａ,2.02,4.12,1.58,流入,2567.3,11.66,1337.32,6.07,1229.98,5.59,-1008.05,-4.58,-1559.25,-7.08,2026-06-01T15:03:24+08:00,2026-06-01T15:03:30+08:00
000070,特发信息,17.01,-5.87,5.6,流出,-11454.27,-13.85,-5218.73,-6.31,-6235.54,-7.54,-1775.46,-2.15,13229.73,16.0,2026-06-01T15:03:21+08:00,2026-06-01T15:03:30+08:00
000078,ST海王,1.76,4.76,3.65,流入,375.52,2.24,-14.0,-0.08,389.52,2.32,-495.28,-2.95,119.77,0.71,2026-06-01T15:03:21+08:00,2026-06-01T15:03:30+08:00
000088,盐 田 港,4.5,0.67,0.85,流入,230.82,1.91,327.32,2.72,-96.5,-0.8,95.62,0.79,-326.44,-2.71,2026-06-01T15:03:27+08:00,2026-06-01T15:03:30+08:00
000089,深圳机场,6.86,0.88,0.53,流出,-214.72,-2.91,195.77,2.66,-410.49,-5.57,113.84,1.54,100.88,1.37,2026-06-01T15:02:36+08:00,2026-06-01T15:03:30+08:00
000090,天健集团,3.87,0.52,8.09,流入,1753.05,3.04,-1913.46,-3.32,3666.51,6.36,-4689.08,-8.13,2936.03,5.09,2026-06-01T15:03:30+08:00,2026-06-01T15:03:30+08:00
000096,广聚能源,8.5,3.53,1.54,流入,558.11,8.43,109.27,1.65,448.85,6.78,-745.78,-11.26,187.67,2.83,2026-06-01T15:03:24+08:00,2026-06-01T15:03:30+08:00
000099,中信海直,15.68,0.51,0.86,流出,-1023.72,-9.82,-602.97,-5.79,-420.75,-4.04,-691.79,-6.64,1715.5,16.46,2026-06-01T15:03:24+08:00,2026-06-01T15:03:30+08:00
000100,TCL科技,4.4,2.8,5.36,流入,42785.18,9.44,37729.59,8.32,5055.59,1.11,-23444.1,-5.17,-19341.07,-4.27,2026-06-01T15:03:18+08:00,2026-06-01T15:03:30+08:00
000151,中成股份,13.74,3.23,13.42,流入,1569.02,2.78,1958.38,3.47,-389.36,-0.69,2618.1,4.64,-4187.12,-7.42,2026-06-01T15:03:21+08:00,2026-06-01T15:03:30+08:00
000153,丰原药业,5.84,2.82,1.68,流出,-206.37,-4.64,0.0,0.0,-206.37,-4.64,-160.31,-3.61,366.68,8.25,2026-06-01T15:03:24+08:00,2026-06-01T15:03:30+08:00
000155,川能动力,14.6,2.46,2.68,流入,972.34,1.36,-18.01,-0.03,990.35,1.38,-149.99,-0.21,-822.36,-1.15,2026-06-01T15:03:27+08:00,2026-06-01T15:03:30+08:00
000156,华数传媒,7.11,2.3,0.59,流出,-211.74,-3.01,-131.31,-1.86,-80.43,-1.14,-196.26,-2.79,408.01,5.79,2026-06-01T15:02:33+08:00,2026-06-01T15:03:30+08:00
000157,中联重科,7.22,0.14,0.84,流入,4108.91,9.65,1249.15,2.93,2859.76,6.71,-3004.78,-7.06,-1104.13,-2.59,2026-06-01T15:03:27+08:00,2026-06-01T15:03:30+08:00
000158,常山北明,15.9,3.72,2.22,流入,6381.88,11.39,2974.79,5.31,3407.09,6.08,-738.59,-1.32,-5643.29,-10.07,2026-06-01T15:03:27+08:00,2026-06-01T15:03:30+08:00
000159,国际实业,6.89,6.49,7.39,流出,-1112.21,-4.57,-255.41,-1.05,-856.81,-3.52,-145.81,-0.6,1258.02,5.17,2026-06-01T15:02:39+08:00,2026-06-01T15:03:30+08:00
000166,申万宏源,4.43,0.45,0.44,流入,3294.11,7.56,3283.81,7.54,10.3,0.02,-375.35,-0.86,-2918.76,-6.7,2026-06-01T15:03:30+08:00,2026-06-01T15:03:30+08:00
000301,东方盛虹,12.2,1.24,0.29,流入,1385.76,5.82,-681.35,-2.86,2067.11,8.68,1841.75,7.73,-3227.51,-13.55,2026-06-01T15:02:33+08:00,2026-06-01T15:03:30+08:00
000333,美的集团,81.7,1.05,0.55,流入,29566.81,9.67,12911.89,4.22,16654.92,5.44,-6498.75,-2.12,-23068.06,-7.54,2026-06-01T15:02:42+08:00,2026-06-01T15:03:30+08:00
