代码,名称,最新价,涨跌幅%,换手率%,主力流向,主力净流入(万),主力净占比%,超大单净流入(万),超大单净占比%,大单净流入(万),大单净占比%,中单净流入(万),中单净占比%,小单净流入(万),小单净占比%,资金流时间,抓取时间
000001,平安银行,10.49,-1.04,0.39,流出,-6580.35,-8.38,-3339.25,-4.25,-3241.1,-4.13,3479.39,4.43,3100.96,3.95,2026-07-09T15:03:33+08:00,2026-07-09T15:04:19+08:00
000002,万  科Ａ,2.98,-0.67,0.9,流出,-370.38,-1.42,875.14,3.36,-1245.52,-4.78,-564.9,-2.17,935.28,3.59,2026-07-09T15:03:33+08:00,2026-07-09T15:04:19+08:00
000004,国华退,0.42,10.53,4.26,流入,71.89,32.07,52.11,23.25,19.78,8.82,-41.86,-18.67,-30.03,-13.4,2026-07-09T15:03:36+08:00,2026-07-09T15:04:19+08:00
000006,深振业Ａ,6.84,0.88,1.12,流出,-189.0,-1.85,0.0,0.0,-189.0,-1.85,260.41,2.55,-71.41,-0.7,2026-07-09T15:03:39+08:00,2026-07-09T15:04:19+08:00
000007,全新好,10.85,-3.13,2.31,流出,-1445.91,-16.57,-560.97,-6.43,-884.94,-10.14,768.39,8.8,677.52,7.76,2026-07-09T15:03:33+08:00,2026-07-09T15:04:19+08:00
000008,神州高铁,,,0.0,,,,,,,,,,,,2026-07-09T15:03:33+08:00,2026-07-09T15:04:19+08:00
000009,中国宝安,6.09,-1.14,0.76,流出,-497.64,-4.2,-175.21,-1.48,-322.43,-2.72,-182.73,-1.54,680.37,5.74,2026-07-09T15:03:33+08:00,2026-07-09T15:04:19+08:00
000010,*ST美丽,1.82,-1.62,2.49,流出,-123.94,-3.09,-111.0,-2.77,-12.94,-0.32,319.86,7.98,-195.92,-4.89,2026-07-09T15:03:36+08:00,2026-07-09T15:04:19+08:00
000011,深物业A,6.27,-0.95,0.71,流出,-394.55,-16.89,0.0,0.0,-394.55,-16.89,148.71,6.36,245.85,10.52,2026-07-09T15:03:36+08:00,2026-07-09T15:04:19+08:00
000012,南  玻Ａ,4.31,3.11,2.65,流出,-12.64,-0.06,-283.33,-1.29,270.69,1.23,-298.95,-1.36,311.59,1.42,2026-07-09T15:03:36+08:00,2026-07-09T15:04:19+08:00
000014,沙河股份,8.9,-0.22,1.96,流出,-340.57,-8.12,-263.71,-6.29,-76.86,-1.83,-36.18,-0.86,376.75,8.98,2026-07-09T15:03:42+08:00,2026-07-09T15:04:19+08:00
000016,*ST康佳A,2.47,-1.98,1.41,流出,-653.37,-11.65,-52.14,-0.93,-601.23,-10.72,313.4,5.59,339.97,6.06,2026-07-09T15:03:39+08:00,2026-07-09T15:04:19+08:00
000017,深中华A,6.55,8.09,9.05,流入,2963.06,11.6,213.27,0.83,2749.8,10.77,318.28,1.25,-3281.35,-12.85,2026-07-09T15:03:39+08:00,2026-07-09T15:04:19+08:00
000019,深粮控股,5.81,-1.69,1.08,流出,-211.42,-8.06,-136.86,-5.22,-74.57,-2.84,102.32,3.9,109.1,4.16,2026-07-09T15:03:36+08:00,2026-07-09T15:04:19+08:00
000020,深华发Ａ,10.59,2.02,1.97,流出,-55.17,-1.49,0.0,0.0,-55.17,-1.49,-75.15,-2.03,130.32,3.51,2026-07-09T15:03:42+08:00,2026-07-09T15:04:19+08:00
