代码,名称,最新价,涨跌幅%,主力流向,主力净流入(万),主力净占比%,超大单净流入(万),超大单净占比%,大单净流入(万),大单净占比%,中单净流入(万),中单净占比%,小单净流入(万),小单净占比%,资金流时间,抓取时间
000001,平安银行,11.08,0.18,流出,-2068.92,-2.31,8478.57,9.46,-10547.49,-11.76,1716.72,1.91,352.2,0.39,2026-04-21T15:00:00+08:00,2026-05-08T17:08:11+08:00
000002,万 科Ａ,3.9,-0.76,流出,-2396.08,-8.41,451.63,1.58,-2847.7,-9.99,659.48,2.31,1736.6,6.09,2026-04-21T15:00:00+08:00,2026-05-08T17:08:15+08:00
000006,深振业Ａ,9.67,-0.62,流出,-2267.55,-9.54,-854.14,-3.59,-1413.41,-5.95,594.51,2.5,1673.04,7.04,2026-04-21T15:00:00+08:00,2026-05-08T17:08:17+08:00
000007,全新好,13.73,-0.72,流出,-190.13,-2.77,-14.14,-0.21,-175.99,-2.56,38.13,0.56,151.99,2.21,2026-04-21T15:00:00+08:00,2026-05-08T17:08:18+08:00
000008,神州高铁,2.7,-0.74,流出,-338.47,-2.83,513.54,4.3,-852.01,-7.13,290.65,2.43,47.82,0.4,2026-04-21T15:00:00+08:00,2026-05-08T17:08:20+08:00
000009,中国宝安,8.88,-0.56,流出,-1374.31,-8.19,-1445.27,-8.61,70.97,0.42,504.44,3.01,869.87,5.18,2026-04-21T15:00:00+08:00,2026-05-08T17:08:24+08:00
000010,美丽生态,3.74,-4.1,流出,-3487.66,-21.59,-2962.06,-18.33,-525.6,-3.25,683.1,4.23,2804.56,17.36,2026-04-21T15:00:00+08:00,2026-05-08T17:08:25+08:00
000011,深物业A,8.37,-0.71,流出,-353.0,-9.99,0.0,0.0,-353.0,-9.99,24.47,0.69,328.53,9.29,2026-04-21T15:00:00+08:00,2026-05-08T17:08:28+08:00
000012,南 玻Ａ,4.53,0.0,流入,117.82,1.93,56.88,0.93,60.94,1.0,-118.78,-1.95,0.97,0.02,2026-04-21T15:00:00+08:00,2026-05-08T17:08:31+08:00
000014,沙河股份,13.25,-2.36,流出,-2148.24,-26.82,118.73,1.48,-2266.98,-28.3,291.52,3.64,1856.72,23.18,2026-04-21T15:00:00+08:00,2026-05-08T17:08:34+08:00
000016,深康佳Ａ,3.41,4.6,流入,2246.43,8.09,2000.12,7.21,246.3,0.89,-787.19,-2.84,-1459.24,-5.26,2026-04-21T15:00:00+08:00,2026-05-08T17:08:38+08:00
000017,深中华A,6.5,-3.42,流入,303.28,3.46,145.37,1.66,157.91,1.8,379.81,4.33,-683.09,-7.78,2026-04-21T15:00:00+08:00,2026-05-08T17:08:41+08:00
000019,深粮控股,7.85,-2.24,流出,-555.0,-3.5,65.91,0.42,-620.91,-3.92,107.37,0.68,447.63,2.82,2026-04-21T15:00:00+08:00,2026-05-08T17:08:41+08:00
000020,深华发Ａ,15.97,-0.56,流出,-643.16,-6.72,-260.27,-2.72,-382.89,-4.0,-441.76,-4.62,1084.92,11.34,2026-04-21T15:00:00+08:00,2026-05-08T17:08:42+08:00
000021,深科技,28.85,-0.86,流出,-15837.41,-11.12,-10266.98,-7.21,-5570.43,-3.91,-2854.03,-2.0,18691.44,13.13,2026-04-21T15:00:00+08:00,2026-05-08T17:08:43+08:00
000025,特 力Ａ,16.31,0.49,流出,-117.71,-2.64,-81.93,-1.83,-35.78,-0.8,-51.44,-1.15,169.15,3.79,2026-04-21T15:00:00+08:00,2026-05-08T17:08:44+08:00
000026,飞亚达,18.78,5.51,流入,4844.99,9.02,892.22,1.66,3952.77,7.36,-2237.51,-4.16,-2607.48,-4.85,2026-04-21T15:00:00+08:00,2026-05-08T17:08:45+08:00
000027,深圳能源,6.87,1.63,流入,1257.18,3.26,-1512.2,-3.92,2769.38,7.17,-3.8,-0.01,-1253.38,-3.25,2026-04-21T15:00:00+08:00,2026-05-08T17:08:45+08:00
000028,国药一致,25.85,-0.31,流出,-166.02,-1.95,35.76,0.42,-201.78,-2.37,345.94,4.06,-179.91,-2.11,2026-04-21T15:00:00+08:00,2026-05-08T17:08:46+08:00
000029,深深房Ａ,19.93,-0.15,流出,-194.55,-2.82,-975.04,-14.11,780.49,11.3,-209.58,-3.03,404.13,5.85,2026-04-21T15:00:00+08:00,2026-05-08T17:08:46+08:00
000030,富奥股份,5.65,-0.35,流出,-2772.3,-13.35,-1402.3,-6.75,-1370.0,-6.6,-1758.29,-8.47,4530.59,21.82,2026-04-21T15:00:00+08:00,2026-05-08T17:08:47+08:00
000031,大悦城,2.9,-0.68,流出,-14.69,-0.27,-87.85,-1.59,73.16,1.32,-15.72,-0.28,30.41,0.55,2026-04-21T15:00:00+08:00,2026-05-08T17:08:48+08:00
000032,深桑达Ａ,18.18,-3.09,流出,-2747.29,-7.15,-3391.41,-8.83,644.12,1.68,1107.93,2.89,1639.36,4.27,2026-04-21T15:00:00+08:00,2026-05-08T17:08:48+08:00
000034,神州数码,36.53,-2.66,流出,-8947.74,-12.65,-7252.3,-10.25,-1695.44,-2.4,3342.69,4.73,5605.06,7.92,2026-04-21T15:00:00+08:00,2026-05-08T17:08:51+08:00
000035,中国天楹,6.98,-2.38,流出,-3118.13,-9.22,-2581.33,-7.63,-536.8,-1.59,1145.91,3.39,1972.22,5.83,2026-04-21T15:00:00+08:00,2026-05-08T17:08:51+08:00
000036,华联控股,5.1,0.0,流出,-1193.1,-7.79,-220.66,-1.44,-972.44,-6.35,1145.04,7.47,48.06,0.31,2026-04-21T15:00:00+08:00,2026-05-08T17:08:52+08:00
000037,深南电A,11.4,4.4,流出,-2675.77,-3.29,314.33,0.39,-2990.1,-3.68,1026.23,1.26,1649.54,2.03,2026-04-21T15:00:00+08:00,2026-05-08T17:08:53+08:00
000039,中集集团,11.35,-0.87,流出,-2767.65,-3.14,-3652.22,-4.14,884.58,1.0,-2376.28,-2.7,5143.93,5.83,2026-04-21T15:00:00+08:00,2026-05-08T17:08:54+08:00
000042,中洲控股,8.93,0.56,流出,-245.62,-8.09,-246.59,-8.12,0.97,0.03,134.17,4.42,111.44,3.67,2026-04-21T15:00:00+08:00,2026-05-08T17:08:55+08:00
000045,深纺织Ａ,12.1,1.77,流出,-1099.09,-6.8,-100.58,-0.62,-998.52,-6.18,866.01,5.36,233.08,1.44,2026-04-21T15:00:00+08:00,2026-05-08T17:08:56+08:00
000048,京基智农,14.95,-0.47,流出,-1146.11,-5.96,-696.43,-3.62,-449.69,-2.34,250.75,1.3,895.37,4.65,2026-04-21T15:00:00+08:00,2026-05-08T17:08:57+08:00
000049,德赛电池,29.64,7.24,流入,6920.82,7.45,8143.93,8.77,-1223.1,-1.32,-1561.72,-1.68,-5359.11,-5.77,2026-04-21T15:00:00+08:00,2026-05-08T17:08:58+08:00
000050,深天马Ａ,8.37,-0.59,流入,465.09,2.81,517.05,3.13,-51.96,-0.31,-652.91,-3.95,187.82,1.14,2026-04-21T15:00:00+08:00,2026-05-08T17:08:58+08:00
000055,方大集团,3.4,-0.87,流出,-387.16,-12.31,-102.53,-3.26,-284.63,-9.05,-21.28,-0.68,408.44,12.99,2026-04-21T15:00:00+08:00,2026-05-08T17:08:59+08:00
000056,皇庭国际,2.07,10.11,流入,8795.34,23.59,6677.19,17.91,2118.15,5.68,-3610.6,-9.68,-5184.73,-13.91,2026-04-21T15:00:00+08:00,2026-05-08T17:08:59+08:00
000058,深 赛 格,7.95,-0.75,流出,-647.68,-16.23,-300.94,-7.54,-346.74,-8.69,124.13,3.11,523.55,13.12,2026-04-21T15:00:00+08:00,2026-05-08T17:09:02+08:00
000059,华锦股份,5.29,0.0,流入,212.34,2.24,319.8,3.37,-107.46,-1.13,-643.8,-6.78,431.46,4.55,2026-04-21T15:00:00+08:00,2026-05-08T17:09:02+08:00
000060,中金岭南,6.79,-1.16,流出,-3916.85,-7.63,-2858.88,-5.57,-1057.97,-2.06,98.52,0.19,3818.32,7.44,2026-04-21T15:00:00+08:00,2026-05-08T17:09:03+08:00
000061,农 产 品,7.54,1.75,流入,807.38,6.96,997.11,8.6,-189.74,-1.64,-336.67,-2.9,-470.71,-4.06,2026-04-21T15:00:00+08:00,2026-05-08T17:09:05+08:00
000062,深圳华强,29.57,-4.83,流出,-24198.31,-15.73,-20805.16,-13.53,-3393.15,-2.21,7000.52,4.55,17197.79,11.18,2026-04-21T15:00:00+08:00,2026-05-08T17:09:06+08:00
000063,中兴通讯,35.2,-1.76,流出,-50729.27,-18.28,-31270.09,-11.27,-19459.18,-7.01,13134.6,4.73,37594.67,13.54,2026-04-21T15:00:00+08:00,2026-05-08T17:09:06+08:00
000065,北方国际,14.47,2.55,流入,9604.91,12.41,4441.51,5.74,5163.4,6.67,-2513.92,-3.25,-7090.99,-9.16,2026-04-21T15:00:00+08:00,2026-05-08T17:09:07+08:00
000066,中国长城,15.41,-2.78,流出,-26828.09,-21.47,-15260.01,-12.21,-11568.08,-9.26,-163.02,-0.13,26991.1,21.6,2026-04-21T15:00:00+08:00,2026-05-08T17:09:08+08:00
000068,华控赛格,3.23,-0.62,流入,443.16,13.52,0.0,0.0,443.16,13.52,12.46,0.38,-455.61,-13.9,2026-04-21T15:00:00+08:00,2026-05-08T17:09:08+08:00
000069,华侨城Ａ,2.2,-0.9,流出,-1261.63,-18.38,-327.24,-4.77,-934.39,-13.62,640.62,9.34,621.01,9.05,2026-04-21T15:00:00+08:00,2026-05-08T17:09:09+08:00
000070,特发信息,20.48,-2.62,流出,-7194.97,-3.32,-7867.48,-3.63,672.51,0.31,-5080.48,-2.34,12275.44,5.66,2026-04-21T15:00:00+08:00,2026-05-08T17:09:09+08:00
000078,海王生物,3.72,-4.62,流出,-12358.84,-19.21,-7261.29,-11.29,-5097.55,-7.92,580.7,0.9,11778.14,18.31,2026-04-21T15:00:00+08:00,2026-05-08T17:09:11+08:00
000088,盐 田 港,4.56,0.88,流入,1328.81,13.91,1477.72,15.47,-148.92,-1.56,-1014.84,-10.62,-313.97,-3.29,2026-04-21T15:00:00+08:00,2026-05-08T17:09:11+08:00
000089,深圳机场,6.87,0.29,流出,-178.51,-4.55,-237.18,-6.04,58.67,1.49,36.58,0.93,141.93,3.61,2026-04-21T15:00:00+08:00,2026-05-08T17:09:12+08:00
000090,天健集团,3.71,2.2,流入,405.51,3.93,296.96,2.88,108.55,1.05,-400.18,-3.88,-5.33,-0.05,2026-04-21T15:00:00+08:00,2026-05-08T17:09:12+08:00
000096,广聚能源,9.62,-0.62,流出,-89.1,-1.55,-21.57,-0.38,-67.53,-1.18,-305.95,-5.33,395.06,6.88,2026-04-21T15:00:00+08:00,2026-05-08T17:09:13+08:00
000099,中信海直,18.22,-0.71,流入,122.29,0.8,468.02,3.05,-345.72,-2.26,-925.04,-6.03,802.75,5.24,2026-04-21T15:00:00+08:00,2026-05-08T17:09:15+08:00
000100,TCL科技,4.34,-0.69,流出,-17056.06,-11.11,-27970.14,-18.22,10914.08,7.11,13186.34,8.59,3869.72,2.52,2026-04-21T15:00:00+08:00,2026-05-08T17:09:17+08:00
000151,中成股份,11.02,-1.87,流入,89.76,0.92,249.53,2.55,-159.76,-1.64,838.35,8.58,-928.11,-9.5,2026-04-21T15:00:00+08:00,2026-05-08T17:09:18+08:00
000153,丰原药业,6.48,-0.92,流出,-219.62,-3.21,0.0,0.0,-219.62,-3.21,-317.37,-4.64,536.99,7.85,2026-04-21T15:00:00+08:00,2026-05-08T17:09:20+08:00
000155,川能动力,16.97,0.77,流入,3818.33,2.91,-2695.38,-2.06,6513.71,4.97,-3052.21,-2.33,-766.11,-0.58,2026-04-21T15:00:00+08:00,2026-05-08T17:09:22+08:00
000156,华数传媒,7.57,-0.53,流入,3.96,0.08,127.43,2.45,-123.47,-2.38,233.39,4.49,-237.34,-4.57,2026-04-21T15:00:00+08:00,2026-05-08T17:09:23+08:00
000157,中联重科,8.17,0.37,流入,8197.31,13.43,9516.47,15.59,-1319.16,-2.16,-3784.26,-6.2,-4413.05,-7.23,2026-04-21T15:00:00+08:00,2026-05-08T17:09:26+08:00
000158,常山北明,17.55,-2.12,流出,-7181.99,-16.92,-4490.72,-10.58,-2691.27,-6.34,845.34,1.99,6336.64,14.93,2026-04-21T15:00:00+08:00,2026-05-08T17:09:28+08:00
000159,国际实业,6.24,-0.16,流出,-501.32,-7.37,-616.54,-9.07,115.22,1.69,403.98,5.94,97.34,1.43,2026-04-21T15:00:00+08:00,2026-05-08T17:09:29+08:00
000166,申万宏源,4.7,-0.84,流出,-1646.85,-6.22,-3599.7,-13.59,1952.85,7.37,2487.33,9.39,-840.49,-3.17,2026-04-21T15:00:00+08:00,2026-05-08T17:09:31+08:00
000301,东方盛虹,12.67,2.43,流入,5487.63,15.52,3790.68,10.72,1696.96,4.8,-1457.25,-4.12,-4030.38,-11.4,2026-04-21T15:00:00+08:00,2026-05-08T17:09:32+08:00
000333,美的集团,79.5,-0.1,流入,282.95,0.15,-2150.79,-1.13,2433.73,1.28,4232.81,2.22,-4515.76,-2.37,2026-04-21T15:00:00+08:00,2026-05-08T17:09:34+08:00
000338,潍柴动力,26.93,2.16,流出,-4636.57,-1.82,1645.99,0.65,-6282.56,-2.46,8851.36,3.47,-4214.79,-1.65,2026-04-21T15:00:00+08:00,2026-05-08T17:09:35+08:00
000400,许继电气,26.16,-0.95,流出,-6650.71,-11.21,-4280.73,-7.21,-2369.98,-3.99,970.26,1.64,5680.45,9.57,2026-04-21T15:00:00+08:00,2026-05-08T17:09:36+08:00
000401,金隅冀东,4.68,-0.85,流入,1172.2,14.65,964.04,12.05,208.16,2.6,-114.02,-1.42,-1058.18,-13.22,2026-04-21T15:00:00+08:00,2026-05-08T17:09:38+08:00
000402,金 融 街,2.73,-1.8,流出,-551.5,-4.93,48.1,0.43,-599.6,-5.36,5.76,0.05,545.74,4.88,2026-04-21T15:00:00+08:00,2026-05-08T17:09:40+08:00
000403,派林生物,12.87,-0.08,流出,-206.88,-4.38,187.61,3.97,-394.49,-8.35,-78.47,-1.66,285.35,6.04,2026-04-21T15:00:00+08:00,2026-05-08T17:09:48+08:00
000404,长虹华意,7.95,2.05,流出,-2624.03,-3.84,-289.67,-0.42,-2334.36,-3.41,2999.96,4.39,-375.92,-0.55,2026-04-21T15:00:00+08:00,2026-05-08T17:09:50+08:00
000407,胜利股份,4.71,0.0,流出,-648.72,-8.68,13.58,0.18,-662.3,-8.86,257.2,3.44,391.52,5.24,2026-04-21T15:00:00+08:00,2026-05-08T17:09:51+08:00
000408,藏格矿业,86.46,-0.09,流出,-3167.84,-2.96,193.65,0.18,-3361.49,-3.14,4025.68,3.76,-857.84,-0.8,2026-04-21T15:00:00+08:00,2026-05-08T17:09:56+08:00
000409,云鼎科技,10.73,-1.2,流出,-1128.21,-17.81,-628.57,-9.92,-499.64,-7.89,333.27,5.26,794.94,12.55,2026-04-21T15:00:00+08:00,2026-05-08T17:09:58+08:00
000410,沈阳机床,6.68,-1.18,流出,-1459.89,-19.18,-978.85,-12.86,-481.05,-6.32,596.78,7.84,863.12,11.34,2026-04-21T15:00:00+08:00,2026-05-08T17:10:00+08:00
000411,英特集团,10.96,0.46,流入,243.38,6.8,229.66,6.42,13.72,0.38,-61.23,-1.71,-182.16,-5.09,2026-04-21T15:00:00+08:00,2026-05-08T17:10:02+08:00
000415,渤海租赁,4.67,1.52,流入,2475.44,8.19,1133.4,3.75,1342.04,4.44,189.57,0.63,-2665.01,-8.82,2026-04-21T15:00:00+08:00,2026-05-08T17:10:04+08:00
000417,合百集团,6.48,0.47,流入,279.32,3.54,289.78,3.67,-10.45,-0.13,177.16,2.25,-456.48,-5.79,2026-04-21T15:00:00+08:00,2026-05-08T17:10:07+08:00
000419,通程控股,5.75,0.7,流入,98.09,2.3,0.0,0.0,98.09,2.3,78.38,1.84,-176.47,-4.13,2026-04-21T15:00:00+08:00,2026-05-08T17:10:08+08:00
000420,吉林化纤,5.29,-2.04,流出,-6347.59,-8.67,-2192.21,-2.99,-4155.38,-5.67,-1325.52,-1.81,7673.11,10.48,2026-04-21T15:00:00+08:00,2026-05-08T17:10:12+08:00
000421,南京公用,6.02,-0.17,流入,329.93,11.0,17.13,0.57,312.8,10.43,64.53,2.15,-394.46,-13.15,2026-04-21T15:00:00+08:00,2026-05-08T17:10:14+08:00
000422,湖北宜化,16.26,2.72,流入,8544.54,8.62,2157.18,2.18,6387.36,6.45,23.61,0.02,-8568.15,-8.65,2026-04-21T15:00:00+08:00,2026-05-08T17:10:16+08:00
000423,东阿阿胶,53.21,-1.41,流入,673.69,1.62,1134.45,2.72,-460.76,-1.11,3822.74,9.17,-4496.43,-10.79,2026-04-21T15:00:00+08:00,2026-05-08T17:10:20+08:00
000425,徐工机械,10.1,1.71,流入,6065.8,5.79,8686.46,8.29,-2620.67,-2.5,-7776.91,-7.42,1711.11,1.63,2026-04-21T15:00:00+08:00,2026-05-08T17:10:23+08:00
000426,兴业银锡,44.93,-1.21,流出,-5162.7,-3.04,-9786.01,-5.76,4623.31,2.72,2982.5,1.76,2180.2,1.28,2026-04-21T15:00:00+08:00,2026-05-08T17:10:24+08:00
000428,华天酒店,3.83,0.0,流入,391.74,7.71,0.0,0.0,391.74,7.71,-260.9,-5.14,-130.84,-2.58,2026-04-21T15:00:00+08:00,2026-05-08T17:10:26+08:00
000429,粤高速Ａ,12.68,0.32,流入,253.48,4.24,13.33,0.22,240.16,4.02,-590.92,-9.88,337.44,5.64,2026-04-21T15:00:00+08:00,2026-05-08T17:10:27+08:00
000498,山东路桥,5.85,0.17,流出,-738.96,-9.34,-367.91,-4.65,-371.05,-4.69,-72.29,-0.91,811.26,10.25,2026-04-21T15:00:00+08:00,2026-05-08T17:10:28+08:00
000501,武商集团,8.39,-0.83,流出,-334.56,-6.75,106.47,2.15,-441.04,-8.9,457.16,9.23,-122.6,-2.48,2026-04-21T15:00:00+08:00,2026-05-08T17:10:32+08:00
000503,国新健康,7.44,-1.98,流出,-3076.77,-29.53,-2352.91,-22.58,-723.86,-6.95,1591.02,15.27,1485.75,14.26,2026-04-21T15:00:00+08:00,2026-05-08T17:10:36+08:00
000505,京粮控股,6.55,-1.5,流出,-602.18,-10.18,6.43,0.11,-608.61,-10.29,70.88,1.2,531.3,8.98,2026-04-21T15:00:00+08:00,2026-05-08T17:10:41+08:00
000506,招金黄金,17.54,0.8,流出,-147.79,-0.32,-45.81,-0.1,-101.98,-0.22,-1514.47,-3.31,1662.26,3.64,2026-04-21T15:00:00+08:00,2026-05-08T17:10:45+08:00
000507,珠海港,5.3,0.57,流入,76.76,1.12,-70.66,-1.03,147.42,2.16,348.08,5.09,-424.85,-6.22,2026-04-21T15:00:00+08:00,2026-05-08T17:10:54+08:00
000509,华塑控股,3.57,-2.19,流出,-1424.78,-12.33,-925.96,-8.02,-498.83,-4.32,-533.15,-4.62,1957.93,16.95,2026-04-21T15:00:00+08:00,2026-05-08T17:10:55+08:00
000510,新金路,14.9,-1.32,流出,-2841.22,-4.35,-2241.29,-3.43,-599.93,-0.92,-539.44,-0.83,3380.66,5.18,2026-04-21T15:00:00+08:00,2026-05-08T17:10:57+08:00
000513,丽珠集团,33.68,0.18,流入,803.8,8.99,506.76,5.67,297.04,3.32,-359.94,-4.03,-443.86,-4.96,2026-04-21T15:00:00+08:00,2026-05-08T17:10:59+08:00
000514,渝 开 发,4.83,-0.82,流出,-641.84,-19.33,-115.66,-3.48,-526.19,-15.84,-130.4,-3.93,772.24,23.25,2026-04-21T15:00:00+08:00,2026-05-08T17:11:02+08:00
000516,国际医学,4.6,-0.86,流出,-2042.86,-20.16,-742.34,-7.33,-1300.52,-12.84,503.61,4.97,1539.25,15.19,2026-04-21T15:00:00+08:00,2026-05-08T17:11:06+08:00
000517,荣安地产,1.89,-0.53,流出,-63.72,-2.09,-193.13,-6.33,129.41,4.24,68.15,2.23,-4.43,-0.15,2026-04-21T15:00:00+08:00,2026-05-08T17:11:08+08:00
000519,中兵红箭,18.04,-0.77,流出,-2486.13,-7.81,-1348.34,-4.23,-1137.79,-3.57,-336.44,-1.06,2822.58,8.86,2026-04-21T15:00:00+08:00,2026-05-08T17:11:09+08:00
000520,凤凰航运,4.0,-0.74,流入,67.14,1.19,-357.31,-6.33,424.45,7.52,140.47,2.49,-207.61,-3.68,2026-04-21T15:00:00+08:00,2026-05-08T17:11:10+08:00
000521,长虹美菱,5.72,-1.04,流出,-610.02,-14.23,-283.48,-6.61,-326.54,-7.62,194.63,4.54,415.39,9.69,2026-04-21T15:00:00+08:00,2026-05-08T17:11:14+08:00
000523,红棉股份,3.26,0.62,流出,-394.66,-6.05,-353.05,-5.42,-41.61,-0.64,313.93,4.82,80.72,1.24,2026-04-21T15:00:00+08:00,2026-05-08T17:11:15+08:00
000524,岭南控股,10.38,-1.24,流入,111.93,0.99,112.76,1.0,-0.82,-0.01,-12.3,-0.11,-99.63,-0.88,2026-04-21T15:00:00+08:00,2026-05-08T17:11:16+08:00
000525,红太阳,5.67,-1.22,流出,-775.8,-7.33,-157.74,-1.49,-618.05,-5.84,127.27,1.2,648.53,6.13,2026-04-21T15:00:00+08:00,2026-05-08T17:11:16+08:00
000526,学大教育,32.45,3.67,流入,495.14,5.25,47.04,0.5,448.1,4.75,601.97,6.38,-1097.12,-11.64,2026-04-21T15:00:00+08:00,2026-05-08T17:11:16+08:00
000528,柳 工,9.82,2.4,流入,9912.11,26.49,6330.45,16.92,3581.65,9.57,-4973.72,-13.29,-4938.38,-13.2,2026-04-21T15:00:00+08:00,2026-05-08T17:11:17+08:00
000529,广弘控股,5.64,-0.18,流入,116.36,5.2,124.76,5.58,-8.39,-0.38,-70.85,-3.17,-45.52,-2.04,2026-04-21T15:00:00+08:00,2026-05-08T17:11:19+08:00
000530,冰山冷热,6.08,-1.46,流出,-250.0,-1.49,-1393.46,-8.31,1143.46,6.82,853.41,5.09,-603.41,-3.6,2026-04-21T15:00:00+08:00,2026-05-08T17:11:19+08:00
