代码,名称,最新价,涨跌幅%,换手率%,主力流向,主力净流入(万),主力净占比%,超大单净流入(万),超大单净占比%,大单净流入(万),大单净占比%,中单净流入(万),中单净占比%,小单净流入(万),小单净占比%,资金流时间,抓取时间
000001,平安银行,10.28,1.18,0.52,流入,4822.14,4.68,4935.31,4.79,-113.17,-0.11,-2322.1,-2.25,-2500.04,-2.43,2026-07-02T15:03:45+08:00,2026-07-02T15:04:08+08:00
000002,万  科Ａ,3.06,-0.65,1.3,流出,-1907.23,-4.9,-2613.7,-6.71,706.47,1.81,1431.74,3.67,475.49,1.22,2026-07-02T15:03:45+08:00,2026-07-02T15:04:08+08:00
000004,国华退,0.41,10.81,7.52,流入,10.94,2.86,27.61,7.22,-16.67,-4.36,17.53,4.59,-28.47,-7.45,2026-07-02T15:03:48+08:00,2026-07-02T15:04:08+08:00
000006,深振业Ａ,7.35,-2.39,1.18,流出,-940.77,-7.95,-559.22,-4.73,-381.55,-3.23,519.99,4.4,420.78,3.56,2026-07-02T15:03:45+08:00,2026-07-02T15:04:08+08:00
000007,全新好,12.0,-2.36,2.04,流入,403.44,4.67,-519.58,-6.02,923.02,10.69,-123.38,-1.43,-280.06,-3.24,2026-07-02T15:03:48+08:00,2026-07-02T15:04:08+08:00
000008,神州高铁,2.38,-0.42,1.51,流出,-500.8,-5.03,-985.6,-9.91,484.8,4.87,495.85,4.99,4.94,0.05,2026-07-02T15:03:51+08:00,2026-07-02T15:04:08+08:00
000009,中国宝安,6.27,0.0,0.95,流出,-1918.08,-12.4,91.12,0.59,-2009.21,-12.99,557.66,3.61,1360.43,8.8,2026-07-02T15:03:51+08:00,2026-07-02T15:04:08+08:00
000010,*ST美丽,1.88,5.03,3.33,流出,-179.59,-3.32,41.78,0.77,-221.36,-4.09,187.78,3.47,-8.19,-0.15,2026-07-02T15:03:48+08:00,2026-07-02T15:04:08+08:00
000011,深物业A,6.5,-1.81,0.75,流出,-205.43,-7.86,0.0,0.0,-205.43,-7.86,59.28,2.27,146.15,5.59,2026-07-02T15:03:45+08:00,2026-07-02T15:04:08+08:00
000012,南  玻Ａ,5.02,-4.38,6.61,流出,-3855.61,-5.99,1235.47,1.92,-5091.07,-7.91,32.12,0.05,3823.48,5.94,2026-07-02T15:03:48+08:00,2026-07-02T15:04:08+08:00
000014,沙河股份,9.34,0.32,2.31,流入,36.75,0.7,0.0,0.0,36.75,0.7,-245.94,-4.66,209.19,3.96,2026-07-02T15:03:45+08:00,2026-07-02T15:04:08+08:00
000016,*ST康佳A,2.54,4.96,1.44,流出,-542.12,-9.34,-1312.11,-22.61,769.99,13.27,538.09,9.27,4.03,0.07,2026-07-02T15:03:54+08:00,2026-07-02T15:04:08+08:00
000017,深中华A,6.0,-1.32,4.64,流出,-32.95,-0.26,0.0,0.0,-32.95,-0.26,-316.0,-2.53,348.94,2.8,2026-07-02T15:03:48+08:00,2026-07-02T15:04:08+08:00
000019,深粮控股,5.9,1.72,1.69,流出,-367.4,-8.88,0.0,0.0,-367.4,-8.88,6.42,0.16,360.98,8.73,2026-07-02T15:03:54+08:00,2026-07-02T15:04:08+08:00
000020,深华发Ａ,11.08,-0.81,3.16,流入,125.03,1.94,-255.42,-3.96,380.44,5.9,3.62,0.06,-128.64,-2.0,2026-07-02T15:03:51+08:00,2026-07-02T15:04:08+08:00
000021,深科技,56.03,-10.01,11.19,流出,-166681.03,-16.77,-131583.11,-13.24,-35097.92,-3.53,45335.75,4.56,121345.28,12.21,2026-07-02T15:03:54+08:00,2026-07-02T15:04:08+08:00
000025,特  力Ａ,13.75,0.0,1.01,流出,-135.04,-2.46,45.73,0.83,-180.77,-3.29,-104.14,-1.9,239.18,4.36,2026-07-02T15:03:51+08:00,2026-07-02T15:04:08+08:00
000026,飞亚达,21.22,0.81,3.55,流入,1105.1,3.94,447.07,1.59,658.03,2.35,416.51,1.49,-1521.61,-5.43,2026-07-02T15:03:54+08:00,2026-07-02T15:04:08+08:00
000027,深圳能源,6.2,-0.96,0.75,流出,-1118.91,-5.05,-533.28,-2.4,-585.64,-2.64,843.93,3.81,274.99,1.24,2026-07-02T15:03:57+08:00,2026-07-02T15:04:08+08:00
000028,国药一致,19.75,2.6,0.7,流入,146.15,2.02,-151.05,-2.09,297.2,4.11,-222.73,-3.08,76.58,1.06,2026-07-02T15:03:57+08:00,2026-07-02T15:04:08+08:00
000029,深深房Ａ,21.71,-3.51,0.88,流出,-431.24,-2.47,351.68,2.02,-782.92,-4.49,430.34,2.47,0.9,0.01,2026-07-02T15:04:00+08:00,2026-07-02T15:04:08+08:00
000030,富奥股份,3.97,0.25,0.53,流入,187.25,5.27,118.98,3.35,68.27,1.92,-253.57,-7.14,66.33,1.87,2026-07-02T15:03:57+08:00,2026-07-02T15:04:08+08:00
000031,大悦城,2.15,-1.38,0.97,流入,108.12,1.2,-258.41,-2.86,366.53,4.06,-33.82,-0.37,-74.29,-0.82,2026-07-02T15:04:00+08:00,2026-07-02T15:04:08+08:00
000032,深桑达Ａ,21.9,-8.75,6.02,流出,-22054.23,-14.22,-21467.61,-13.84,-586.61,-0.38,6640.35,4.28,15413.88,9.94,2026-07-02T15:03:51+08:00,2026-07-02T15:04:08+08:00
000034,神州数码,27.46,-0.44,11.35,流入,16902.08,6.27,9476.56,3.52,7425.51,2.76,7926.47,2.94,-24828.55,-9.21,2026-07-02T15:03:57+08:00,2026-07-02T15:04:08+08:00
000035,中国天楹,4.71,-1.88,1.48,流出,-964.45,-5.95,-414.36,-2.55,-550.08,-3.39,-105.79,-0.65,1070.24,6.6,2026-07-02T15:04:03+08:00,2026-07-02T15:04:08+08:00
000036,华联控股,4.34,-1.59,1.84,流入,181.43,1.6,-472.21,-4.16,653.64,5.75,249.48,2.2,-430.9,-3.79,2026-07-02T15:04:03+08:00,2026-07-02T15:04:08+08:00
000037,深南电A,8.96,0.11,6.55,流出,-386.01,-1.91,274.11,1.36,-660.12,-3.27,257.06,1.27,128.95,0.64,2026-07-02T15:04:00+08:00,2026-07-02T15:04:08+08:00
000039,中集集团,7.86,-2.84,1.64,流入,984.73,3.26,-423.09,-1.4,1407.82,4.66,-150.81,-0.5,-833.92,-2.76,2026-07-02T15:03:54+08:00,2026-07-02T15:04:08+08:00
000042,中洲控股,7.41,-3.26,1.34,流出,-478.21,-7.05,116.19,1.71,-594.4,-8.76,232.44,3.43,245.77,3.62,2026-07-02T15:04:00+08:00,2026-07-02T15:04:08+08:00
000045,深纺织Ａ,10.08,-2.04,1.35,流出,-537.39,-8.53,-372.44,-5.91,-164.95,-2.62,343.3,5.45,194.08,3.08,2026-07-02T15:04:03+08:00,2026-07-02T15:04:08+08:00
000048,京基智农,22.36,-0.62,3.62,流入,2095.78,4.84,1478.56,3.41,617.21,1.42,305.52,0.71,-2401.29,-5.54,2026-07-02T15:03:57+08:00,2026-07-02T15:04:08+08:00
000049,德赛电池,23.95,0.8,2.36,流入,2112.04,9.66,1954.0,8.94,158.03,0.72,-150.65,-0.69,-1961.39,-8.97,2026-07-02T15:04:06+08:00,2026-07-02T15:04:08+08:00
000050,深天马Ａ,9.71,1.15,5.16,流入,7624.51,6.3,899.4,0.74,6725.11,5.55,-1433.27,-1.18,-6191.24,-5.11,2026-07-02T15:04:06+08:00,2026-07-02T15:04:08+08:00
000055,方大集团,3.36,-1.18,1.9,流入,219.64,5.03,152.24,3.48,67.4,1.54,-55.38,-1.27,-164.26,-3.76,2026-07-02T15:03:09+08:00,2026-07-02T15:04:08+08:00
000056,*ST皇庭,2.18,-2.68,7.33,流出,-1254.66,-8.24,-1293.52,-8.5,38.86,0.26,911.99,5.99,342.67,2.25,2026-07-02T15:04:06+08:00,2026-07-02T15:04:08+08:00
000058,深 赛 格,6.2,-1.59,0.75,流出,-88.38,-1.9,124.6,2.68,-212.98,-4.58,-208.9,-4.5,297.28,6.4,2026-07-02T15:03:09+08:00,2026-07-02T15:04:08+08:00
000059,华锦股份,4.15,2.22,3.32,流入,1751.41,7.99,-512.97,-2.34,2264.39,10.34,9.84,0.04,-1761.26,-8.04,2026-07-02T15:04:00+08:00,2026-07-02T15:04:08+08:00
000060,中金岭南,7.41,-3.14,4.7,流出,-5564.95,-3.55,-4446.39,-2.84,-1118.56,-0.71,6614.92,4.22,-1049.97,-0.67,2026-07-02T15:04:03+08:00,2026-07-02T15:04:08+08:00
000061,农 产 品,5.66,-0.18,1.19,流出,-856.93,-7.1,-664.84,-5.51,-192.09,-1.59,-574.02,-4.75,1430.95,11.85,2026-07-02T15:03:09+08:00,2026-07-02T15:04:08+08:00
000062,深圳华强,30.73,0.79,4.79,流入,19037.88,12.2,13493.82,8.65,5544.06,3.55,-7369.04,-4.72,-11668.84,-7.48,2026-07-02T15:03:12+08:00,2026-07-02T15:04:08+08:00
000063,中兴通讯,35.32,-5.0,4.53,流出,-103767.07,-15.99,-71553.81,-11.03,-32213.25,-4.96,8881.41,1.37,94885.66,14.62,2026-07-02T15:03:12+08:00,2026-07-02T15:04:08+08:00
000065,北方国际,9.8,-0.41,1.66,流入,39.62,0.25,-122.33,-0.77,161.95,1.02,-483.24,-3.03,443.62,2.78,2026-07-02T15:03:15+08:00,2026-07-02T15:04:08+08:00
000066,中国长城,17.29,-5.47,5.95,流出,-26235.38,-7.76,-4185.51,-1.24,-22049.87,-6.52,-13150.63,-3.89,39386.01,11.65,2026-07-02T15:03:18+08:00,2026-07-02T15:04:08+08:00
000068,华控赛格,2.98,-4.18,4.81,流入,840.07,5.59,577.49,3.84,262.57,1.75,-7.0,-0.05,-833.06,-5.54,2026-07-02T15:03:15+08:00,2026-07-02T15:04:08+08:00
000069,华侨城Ａ,1.67,-0.6,0.78,流出,-236.06,-2.58,763.01,8.34,-999.07,-10.92,63.06,0.69,173.0,1.89,2026-07-02T15:03:18+08:00,2026-07-02T15:04:08+08:00
000070,特发信息,17.9,-8.67,9.69,流出,-21846.08,-14.17,-12248.18,-7.94,-9597.9,-6.22,-1.97,0.0,21848.04,14.17,2026-07-02T15:03:12+08:00,2026-07-02T15:04:08+08:00
000078,ST海王,1.42,5.19,1.32,流入,419.76,8.63,296.13,6.09,123.63,2.54,-79.03,-1.62,-340.73,-7.0,2026-07-02T15:03:21+08:00,2026-07-02T15:04:08+08:00
000088,盐 田 港,4.13,0.49,0.44,流入,164.25,2.86,514.54,8.97,-350.3,-6.11,-274.62,-4.79,110.37,1.92,2026-07-02T15:03:21+08:00,2026-07-02T15:04:08+08:00
000089,深圳机场,6.26,0.64,0.56,流出,-287.09,-3.99,185.43,2.57,-472.52,-6.56,-314.37,-4.36,601.46,8.35,2026-07-02T15:04:06+08:00,2026-07-02T15:04:08+08:00
