代码,名称,最新价,涨跌幅%,主力流向,主力净流入(万),主力净占比%,超大单净流入(万),超大单净占比%,大单净流入(万),大单净占比%,中单净流入(万),中单净占比%,小单净流入(万),小单净占比%,资金流时间,抓取时间
000001,平安银行,11.05,-0.81,流出,-13514.95,-15.32,-6190.91,-7.02,-7324.04,-8.3,7250.83,8.22,6264.13,7.1,2026-05-14T15:04:30+08:00,2026-05-14T15:05:17+08:00
000002,万  科Ａ,3.87,-3.01,流出,-7544.52,-15.37,-3442.09,-7.01,-4102.43,-8.36,1341.28,2.73,6203.24,12.64,2026-05-14T15:04:30+08:00,2026-05-14T15:05:17+08:00
000006,深振业Ａ,9.94,-4.24,流出,-3445.09,-5.41,1339.44,2.1,-4784.53,-7.51,1830.99,2.87,1614.11,2.53,2026-05-14T15:04:33+08:00,2026-05-14T15:05:17+08:00
000007,全新好,12.86,-4.88,流出,-3709.0,-12.38,304.93,1.02,-4013.92,-13.4,1897.07,6.33,1811.93,6.05,2026-05-14T15:04:36+08:00,2026-05-14T15:05:17+08:00
000008,神州高铁,2.74,-1.79,流入,716.59,3.36,836.77,3.93,-120.18,-0.56,-225.53,-1.06,-491.07,-2.3,2026-05-14T15:04:33+08:00,2026-05-14T15:05:17+08:00
000009,中国宝安,8.01,-3.61,流出,-4157.59,-13.62,-1170.9,-3.84,-2986.69,-9.78,2768.77,9.07,1388.82,4.55,2026-05-14T15:04:30+08:00,2026-05-14T15:05:17+08:00
000010,*ST美丽,2.6,-4.76,流出,-849.88,-6.05,-278.4,-1.98,-571.48,-4.07,-283.2,-2.02,1133.08,8.06,2026-05-14T15:04:30+08:00,2026-05-14T15:05:17+08:00
000011,深物业A,7.73,-3.74,流出,-315.18,-4.65,-255.57,-3.77,-59.61,-0.88,364.56,5.38,-49.38,-0.73,2026-05-14T15:04:36+08:00,2026-05-14T15:05:17+08:00
000012,南  玻Ａ,3.85,0.52,流入,301.26,2.56,146.88,1.25,154.38,1.31,-93.06,-0.79,-208.2,-1.77,2026-05-14T15:04:33+08:00,2026-05-14T15:05:17+08:00
000014,沙河股份,12.3,-3.23,流出,-1338.87,-15.05,-172.8,-1.94,-1166.07,-13.11,-199.21,-2.24,1538.08,17.29,2026-05-14T15:04:39+08:00,2026-05-14T15:05:17+08:00
000016,*ST康佳A,3.24,0.62,流入,501.93,4.22,-552.88,-4.65,1054.81,8.87,-623.64,-5.25,121.71,1.02,2026-05-14T15:04:36+08:00,2026-05-14T15:05:17+08:00
000017,深中华A,5.97,-3.24,流出,-835.89,-15.18,-159.51,-2.9,-676.38,-12.28,-163.9,-2.98,999.79,18.16,2026-05-14T15:04:39+08:00,2026-05-14T15:05:17+08:00
000019,深粮控股,7.16,-1.92,流出,-1408.48,-13.62,-85.85,-0.83,-1322.64,-12.79,231.7,2.24,1176.79,11.38,2026-05-14T15:04:33+08:00,2026-05-14T15:05:17+08:00
000020,深华发Ａ,13.96,1.38,流入,608.98,3.66,49.81,0.3,559.16,3.36,1323.98,7.97,-1932.96,-11.63,2026-05-14T15:04:33+08:00,2026-05-14T15:05:17+08:00
000021,深科技,34.34,-0.78,流出,-1223.4,-0.19,-43.77,-0.01,-1179.64,-0.19,-10283.08,-1.62,11506.49,1.81,2026-05-14T15:04:36+08:00,2026-05-14T15:05:17+08:00
000025,特  力Ａ,15.56,-1.71,流出,-1103.51,-16.36,-363.79,-5.39,-739.72,-10.96,-7.33,-0.11,1110.83,16.46,2026-05-14T15:04:42+08:00,2026-05-14T15:05:17+08:00
000026,飞亚达,20.28,0.45,流入,1900.33,5.01,987.29,2.6,913.04,2.41,-644.0,-1.7,-1256.33,-3.31,2026-05-14T15:04:39+08:00,2026-05-14T15:05:17+08:00
000027,深圳能源,7.33,-2.79,流出,-6730.24,-10.31,-2880.84,-4.41,-3849.4,-5.9,45.97,0.07,6684.27,10.24,2026-05-14T15:04:39+08:00,2026-05-14T15:05:17+08:00
000028,国药一致,24.19,-1.43,流出,-1205.66,-12.78,-1250.74,-13.25,45.08,0.48,146.55,1.55,1059.11,11.22,2026-05-14T15:04:42+08:00,2026-05-14T15:05:17+08:00
000029,深深房Ａ,28.01,4.91,流入,2180.79,4.07,-193.31,-0.36,2374.1,4.43,-2607.51,-4.87,426.72,0.8,2026-05-14T15:04:45+08:00,2026-05-14T15:05:17+08:00
000030,富奥股份,4.84,-2.22,流出,-51.75,-0.6,-455.72,-5.3,403.98,4.7,1636.99,19.05,-1585.24,-18.45,2026-05-14T15:04:36+08:00,2026-05-14T15:05:17+08:00
000031,大悦城,2.89,-3.67,流出,-44.92,-0.6,-316.99,-4.23,272.07,3.63,144.85,1.93,-99.94,-1.33,2026-05-14T15:04:45+08:00,2026-05-14T15:05:17+08:00
000032,深桑达Ａ,18.35,-4.68,流出,-7013.53,-15.23,-4029.32,-8.75,-2984.21,-6.48,2361.13,5.13,4652.4,10.1,2026-05-14T15:04:48+08:00,2026-05-14T15:05:17+08:00
000034,神州数码,40.9,-4.53,流出,-17225.94,-9.63,-8234.76,-4.6,-8991.18,-5.03,8621.97,4.82,8603.97,4.81,2026-05-14T15:04:51+08:00,2026-05-14T15:05:17+08:00
000035,中国天楹,6.43,-4.03,流出,-2148.51,-5.64,-2046.23,-5.37,-102.28,-0.27,1002.57,2.63,1145.94,3.01,2026-05-14T15:04:42+08:00,2026-05-14T15:05:17+08:00
000036,华联控股,5.78,-5.09,流出,-3843.11,-11.95,-2226.03,-6.92,-1617.08,-5.03,-213.6,-0.66,4056.71,12.61,2026-05-14T15:04:54+08:00,2026-05-14T15:05:17+08:00
000037,深南电A,11.03,-5.0,流出,-3455.0,-7.49,-180.96,-0.39,-3274.04,-7.1,-279.41,-0.61,3734.4,8.1,2026-05-14T15:04:45+08:00,2026-05-14T15:05:17+08:00
000039,中集集团,12.6,-3.23,流出,-1892.37,-3.53,-1277.84,-2.38,-614.53,-1.15,-1942.92,-3.63,3835.29,7.16,2026-05-14T15:04:42+08:00,2026-05-14T15:05:17+08:00
000042,中洲控股,10.09,-0.79,流出,-364.6,-5.58,-235.41,-3.6,-129.19,-1.98,153.8,2.35,210.8,3.22,2026-05-14T15:04:39+08:00,2026-05-14T15:05:17+08:00
000045,深纺织Ａ,12.24,-0.97,流入,555.33,4.71,-2.34,-0.02,557.68,4.73,-489.51,-4.15,-65.83,-0.56,2026-05-14T15:04:48+08:00,2026-05-14T15:05:17+08:00
000048,京基智农,14.62,0.27,流出,-1111.56,-6.73,-46.86,-0.28,-1064.69,-6.44,5.2,0.03,1106.36,6.69,2026-05-14T15:04:45+08:00,2026-05-14T15:05:17+08:00
000049,德赛电池,27.49,-2.59,流出,-1474.38,-4.1,-18.73,-0.05,-1455.65,-4.05,657.95,1.83,816.43,2.27,2026-05-14T15:04:42+08:00,2026-05-14T15:05:17+08:00
000050,深天马Ａ,7.72,-1.4,流入,534.13,2.53,-330.65,-1.57,864.78,4.1,-408.34,-1.93,-125.79,-0.6,2026-05-14T15:04:51+08:00,2026-05-14T15:05:17+08:00
000055,方大集团,3.62,-1.9,流出,-376.4,-10.7,119.17,3.39,-495.58,-14.09,13.21,0.38,363.19,10.33,2026-05-14T15:04:48+08:00,2026-05-14T15:05:17+08:00
000056,*ST皇庭,1.59,-4.79,流出,-3237.98,-31.47,-2579.75,-25.07,-658.23,-6.4,1461.02,14.2,1776.96,17.27,2026-05-14T15:04:57+08:00,2026-05-14T15:05:17+08:00
000058,深 赛 格,8.11,-2.05,流出,-855.79,-12.6,-201.18,-2.96,-654.62,-9.63,194.24,2.86,661.56,9.74,2026-05-14T15:04:48+08:00,2026-05-14T15:05:17+08:00
000059,华锦股份,5.08,-0.39,流入,29.8,0.26,2.65,0.02,27.15,0.24,212.41,1.85,-242.21,-2.11,2026-05-14T15:04:51+08:00,2026-05-14T15:05:17+08:00
000060,中金岭南,7.9,1.8,流出,-3511.97,-1.13,-2930.73,-0.95,-581.24,-0.19,7890.23,2.55,-4378.26,-1.41,2026-05-14T15:04:51+08:00,2026-05-14T15:05:17+08:00
000061,农 产 品,7.09,-2.88,流出,-926.97,-7.04,-234.85,-1.78,-692.12,-5.25,8.6,0.07,918.37,6.97,2026-05-14T15:04:54+08:00,2026-05-14T15:05:17+08:00
000062,深圳华强,33.66,-8.53,流出,-48847.67,-19.07,-18614.81,-7.27,-30232.86,-11.8,-5049.32,-1.97,53896.99,21.04,2026-05-14T15:05:00+08:00,2026-05-14T15:05:17+08:00
000063,中兴通讯,37.56,-3.27,流出,-34216.69,-5.38,-20792.12,-3.27,-13424.57,-2.11,2815.69,0.44,31401.01,4.93,2026-05-14T15:04:45+08:00,2026-05-14T15:05:17+08:00
000065,北方国际,12.83,-2.06,流出,-2251.48,-8.19,-1445.01,-5.26,-806.47,-2.93,1451.48,5.28,800.0,2.91,2026-05-14T15:04:54+08:00,2026-05-14T15:05:17+08:00
000066,中国长城,22.67,-10.0,流出,-322102.42,-26.33,-284072.06,-23.22,-38030.36,-3.11,97877.26,8.0,224225.16,18.33,2026-05-14T15:04:57+08:00,2026-05-14T15:05:17+08:00
000068,华控赛格,3.35,-3.46,流出,-903.58,-11.81,-156.57,-2.05,-747.01,-9.76,-88.68,-1.16,992.26,12.97,2026-05-14T15:04:48+08:00,2026-05-14T15:05:17+08:00
000069,华侨城Ａ,2.14,-3.6,流出,-3425.99,-21.8,-2123.48,-13.51,-1302.51,-8.29,1546.65,9.84,1879.34,11.96,2026-05-14T15:04:51+08:00,2026-05-14T15:05:17+08:00
000070,特发信息,20.45,-3.58,流入,856.93,0.3,-1105.24,-0.39,1962.17,0.69,-4979.79,-1.75,4122.86,1.45,2026-05-14T15:05:00+08:00,2026-05-14T15:05:17+08:00
000078,ST海王,2.22,-5.13,流出,-88.8,-17.89,0.0,0.0,-88.8,-17.89,-88.63,-17.86,177.43,35.76,2026-05-14T15:04:54+08:00,2026-05-14T15:05:17+08:00
000088,盐 田 港,4.63,0.0,流入,132.11,0.69,388.02,2.04,-255.9,-1.34,-163.81,-0.86,31.7,0.17,2026-05-14T15:04:57+08:00,2026-05-14T15:05:17+08:00
000089,深圳机场,6.86,-0.15,流出,-354.86,-5.34,-314.56,-4.74,-40.31,-0.61,320.36,4.82,34.5,0.52,2026-05-14T15:05:03+08:00,2026-05-14T15:05:17+08:00
000090,天健集团,3.46,-2.26,流出,-1085.84,-15.11,-1387.79,-19.31,301.95,4.2,826.71,11.5,259.14,3.61,2026-05-14T15:05:03+08:00,2026-05-14T15:05:17+08:00
000096,广聚能源,9.07,-1.84,流出,-541.31,-8.4,-127.41,-1.98,-413.89,-6.42,-209.4,-3.25,750.71,11.65,2026-05-14T15:05:06+08:00,2026-05-14T15:05:17+08:00
000099,中信海直,17.08,-2.79,流出,-2135.63,-10.94,-1030.75,-5.28,-1104.88,-5.66,-363.03,-1.86,2498.66,12.8,2026-05-14T15:05:09+08:00,2026-05-14T15:05:17+08:00
000100,TCL科技,4.28,-2.06,流出,-13140.3,-6.55,-15474.18,-7.71,2333.89,1.16,4683.39,2.33,8456.91,4.21,2026-05-14T15:05:06+08:00,2026-05-14T15:05:17+08:00
000151,中成股份,12.0,-3.46,流出,-318.88,-3.2,-7.21,-0.07,-311.67,-3.13,-307.86,-3.09,626.74,6.29,2026-05-14T15:04:54+08:00,2026-05-14T15:05:17+08:00
000153,丰原药业,6.28,-1.41,流出,-1224.47,-24.75,-1372.37,-27.74,147.9,2.99,328.65,6.64,895.82,18.11,2026-05-14T15:05:12+08:00,2026-05-14T15:05:17+08:00
000155,川能动力,15.75,-3.49,流出,-8389.32,-9.71,-5233.51,-6.06,-3155.82,-3.65,-826.22,-0.96,9215.54,10.67,2026-05-14T15:05:15+08:00,2026-05-14T15:05:17+08:00
000156,华数传媒,7.32,-3.05,流入,209.06,2.44,379.03,4.42,-169.97,-1.98,107.07,1.25,-316.13,-3.69,2026-05-14T15:05:00+08:00,2026-05-14T15:05:17+08:00
000157,中联重科,7.6,-3.55,流出,-9601.23,-10.52,-4831.47,-5.29,-4769.76,-5.23,1025.91,1.12,8575.32,9.39,2026-05-14T15:04:57+08:00,2026-05-14T15:05:17+08:00
000158,常山北明,17.07,-3.72,流出,-17846.79,-31.09,-11587.1,-20.18,-6259.69,-10.9,2447.89,4.26,15398.9,26.82,2026-05-14T15:05:09+08:00,2026-05-14T15:05:17+08:00
000159,国际实业,6.89,10.06,流入,9541.56,27.12,9601.72,27.29,-60.16,-0.17,-4864.45,-13.83,-4677.11,-13.29,2026-05-14T15:05:03+08:00,2026-05-14T15:05:17+08:00
000166,申万宏源,4.67,-1.68,流出,-3527.37,-8.53,-1497.23,-3.62,-2030.13,-4.91,2991.75,7.23,535.62,1.29,2026-05-14T15:05:06+08:00,2026-05-14T15:05:17+08:00
000301,东方盛虹,13.06,1.79,流入,4859.73,10.32,1667.91,3.54,3191.81,6.78,-1199.19,-2.55,-3660.54,-7.77,2026-05-14T15:04:18+08:00,2026-05-14T15:05:17+08:00
000333,美的集团,81.81,1.78,流入,29085.0,9.16,11273.23,3.55,17811.77,5.61,-9020.04,-2.84,-20064.96,-6.32,2026-05-14T15:05:00+08:00,2026-05-14T15:05:17+08:00
000338,潍柴动力,34.2,-0.41,流入,3562.93,0.83,6877.35,1.6,-3314.41,-0.77,13228.46,3.08,-16791.4,-3.91,2026-05-14T15:04:21+08:00,2026-05-14T15:05:17+08:00
000400,许继电气,26.53,-4.22,流出,-11843.94,-11.77,-6765.01,-6.72,-5078.93,-5.05,-821.05,-0.82,12664.99,12.59,2026-05-14T15:05:12+08:00,2026-05-14T15:05:17+08:00
000401,金隅冀东,4.17,-2.11,流出,-1513.84,-28.17,-574.6,-10.69,-939.25,-17.48,778.89,14.49,734.95,13.67,2026-05-14T15:04:24+08:00,2026-05-14T15:05:17+08:00
000402,金 融 街,3.04,-3.8,流出,-3266.14,-12.38,-1566.38,-5.94,-1699.76,-6.44,604.66,2.29,2661.48,10.09,2026-05-14T15:05:15+08:00,2026-05-14T15:05:17+08:00
000403,派林生物,11.35,-3.07,流出,-2724.33,-23.48,-1438.09,-12.4,-1286.24,-11.09,962.31,8.3,1762.02,15.19,2026-05-14T15:04:57+08:00,2026-05-14T15:05:17+08:00
000404,长虹华意,8.41,0.72,流入,15.11,0.09,-29.57,-0.17,44.68,0.26,1909.04,10.96,-1924.15,-11.05,2026-05-14T15:05:03+08:00,2026-05-14T15:05:17+08:00
000407,胜利股份,4.45,-2.41,流出,-861.32,-11.03,-0.8,-0.01,-860.52,-11.02,55.9,0.72,805.42,10.31,2026-05-14T15:04:27+08:00,2026-05-14T15:05:17+08:00
000408,藏格矿业,87.68,-3.76,流出,-7451.25,-6.23,-4655.39,-3.89,-2795.86,-2.34,3900.22,3.26,3551.03,2.97,2026-05-14T15:05:00+08:00,2026-05-14T15:05:17+08:00
000409,云鼎科技,9.89,-2.18,流出,-846.79,-9.29,-573.68,-6.29,-273.11,-3.0,377.21,4.14,469.58,5.15,2026-05-14T15:05:03+08:00,2026-05-14T15:05:17+08:00
000410,沈阳机床,5.93,-3.58,流出,-1880.95,-9.65,-1947.83,-9.99,66.88,0.34,844.89,4.33,1036.06,5.31,2026-05-14T15:05:06+08:00,2026-05-14T15:05:17+08:00
000411,英特集团,11.78,1.99,流入,2774.58,12.99,964.68,4.52,1809.9,8.47,-659.78,-3.09,-2114.8,-9.9,2026-05-14T15:04:30+08:00,2026-05-14T15:05:17+08:00
000415,渤海租赁,4.43,0.0,流出,-786.54,-2.79,910.8,3.23,-1697.34,-6.02,1222.05,4.33,-435.51,-1.54,2026-05-14T15:05:06+08:00,2026-05-14T15:05:17+08:00
000417,合百集团,7.46,3.32,流入,4256.59,9.4,3059.7,6.75,1196.89,2.64,442.88,0.98,-4699.47,-10.37,2026-05-14T15:04:33+08:00,2026-05-14T15:05:17+08:00
000419,通程控股,5.59,-0.89,流出,-361.0,-8.94,0.0,0.0,-361.0,-8.94,321.96,7.97,39.04,0.97,2026-05-14T15:05:09+08:00,2026-05-14T15:05:17+08:00
