代码,名称,最新价,涨跌幅%,换手率%,主力流向,主力净流入(万),主力净占比%,超大单净流入(万),超大单净占比%,大单净流入(万),大单净占比%,中单净流入(万),中单净占比%,小单净流入(万),小单净占比%,资金流时间,抓取时间
000001,平安银行,10.41,-0.76,0.44,流出,-9706.72,-10.77,-7823.28,-8.68,-1883.43,-2.09,7575.26,8.41,2131.46,2.37,2026-07-10T14:21:57+08:00,2026-07-10T14:21:59+08:00
000002,万  科Ａ,3.11,4.36,2.04,流入,5802.7,9.5,3725.18,6.1,2077.53,3.4,-2214.59,-3.63,-3588.11,-5.88,2026-07-10T14:21:57+08:00,2026-07-10T14:21:59+08:00
000004,国华退,0.46,9.52,2.8,流入,38.75,23.85,0.0,0.0,38.75,23.85,11.7,7.2,-50.45,-31.05,2026-07-10T14:21:39+08:00,2026-07-10T14:21:59+08:00
000006,深振业Ａ,7.13,4.24,2.27,流出,-188.3,-0.85,10.75,0.05,-199.06,-0.9,549.97,2.49,-361.67,-1.63,2026-07-10T14:21:57+08:00,2026-07-10T14:21:59+08:00
000007,全新好,11.22,3.41,1.82,流入,146.61,2.08,-429.9,-6.11,576.51,8.2,231.8,3.3,-378.41,-5.38,2026-07-10T14:21:57+08:00,2026-07-10T14:21:59+08:00
000008,神州高铁,,,0.0,,,,,,,,,,,,2026-07-10T14:21:24+08:00,2026-07-10T14:21:59+08:00
000009,中国宝安,6.18,1.48,0.7,流入,164.64,1.49,226.85,2.05,-62.21,-0.56,-805.47,-7.28,640.83,5.79,2026-07-10T14:21:57+08:00,2026-07-10T14:21:59+08:00
000010,*ST美丽,1.77,-2.75,2.32,流出,-702.94,-19.83,-143.2,-4.04,-559.74,-15.79,301.55,8.5,401.39,11.32,2026-07-10T14:21:57+08:00,2026-07-10T14:21:59+08:00
000011,深物业A,6.45,2.87,0.88,流出,-193.86,-6.48,-50.22,-1.68,-143.64,-4.8,-59.56,-1.99,253.42,8.47,2026-07-10T14:21:57+08:00,2026-07-10T14:21:59+08:00
000012,南  玻Ａ,4.21,-2.32,2.54,流出,-2186.38,-10.34,-3130.87,-14.81,944.49,4.47,1053.35,4.98,1133.03,5.36,2026-07-10T14:21:57+08:00,2026-07-10T14:21:59+08:00
000014,沙河股份,9.29,4.38,2.84,流出,-368.32,-5.79,-65.34,-1.03,-302.98,-4.76,195.41,3.07,172.91,2.72,2026-07-10T14:21:57+08:00,2026-07-10T14:21:59+08:00
000016,*ST康佳A,2.49,0.81,0.99,流出,-440.39,-11.31,-108.0,-2.77,-332.38,-8.54,163.65,4.2,276.74,7.11,2026-07-10T14:21:48+08:00,2026-07-10T14:21:59+08:00
000017,深中华A,6.01,-8.24,6.77,流出,-1839.46,-10.26,-1674.37,-9.34,-165.09,-0.92,892.14,4.98,947.33,5.29,2026-07-10T14:21:57+08:00,2026-07-10T14:21:59+08:00
000019,深粮控股,5.91,1.72,1.02,流出,-149.38,-5.98,0.0,0.0,-149.38,-5.98,-154.05,-6.17,303.43,12.15,2026-07-10T14:21:51+08:00,2026-07-10T14:21:59+08:00
000020,深华发Ａ,10.71,1.13,2.01,流出,-192.42,-4.95,0.0,0.0,-192.42,-4.95,-26.44,-0.68,218.86,5.63,2026-07-10T14:21:48+08:00,2026-07-10T14:21:59+08:00
000021,深科技,59.69,6.13,16.89,流入,38363.63,2.37,104539.11,6.46,-66175.48,-4.09,-69299.22,-4.28,30935.57,1.91,2026-07-10T14:21:57+08:00,2026-07-10T14:21:59+08:00
000025,特  力Ａ,13.39,1.59,0.98,流出,-365.62,-7.14,2.42,0.05,-368.04,-7.19,-150.28,-2.94,515.9,10.08,2026-07-10T14:21:57+08:00,2026-07-10T14:21:59+08:00
000026,飞亚达,19.67,4.91,3.63,流入,2063.74,7.93,1273.84,4.9,789.9,3.04,-1034.75,-3.98,-1028.99,-3.96,2026-07-10T14:21:57+08:00,2026-07-10T14:21:59+08:00
000027,深圳能源,6.03,0.84,0.46,流入,1258.3,9.62,553.76,4.24,704.54,5.39,-455.08,-3.48,-803.22,-6.14,2026-07-10T14:21:57+08:00,2026-07-10T14:21:59+08:00
000028,国药一致,20.21,0.15,0.48,流入,356.96,7.01,-48.11,-0.94,405.07,7.95,41.03,0.81,-397.99,-7.81,2026-07-10T14:21:48+08:00,2026-07-10T14:21:59+08:00
000029,深深房Ａ,22.73,-4.97,0.89,流出,-1116.03,-6.09,-692.12,-3.78,-423.91,-2.31,2233.79,12.19,-1117.76,-6.1,2026-07-10T14:21:57+08:00,2026-07-10T14:21:59+08:00
000030,富奥股份,3.99,1.27,0.57,流入,104.48,2.75,0.0,0.0,104.48,2.75,-262.85,-6.92,158.37,4.17,2026-07-10T14:21:57+08:00,2026-07-10T14:21:59+08:00
000031,大悦城,2.19,3.79,1.11,流出,-66.94,-0.64,480.45,4.62,-547.39,-5.26,-512.27,-4.92,579.21,5.56,2026-07-10T14:21:57+08:00,2026-07-10T14:21:59+08:00
000032,深桑达Ａ,22.16,-1.16,5.37,流出,-3572.72,-2.57,-3583.06,-2.58,10.35,0.01,-4345.48,-3.13,7918.2,5.71,2026-07-10T14:21:57+08:00,2026-07-10T14:21:59+08:00
000034,神州数码,29.89,3.68,10.77,流入,25086.54,9.2,22698.67,8.33,2387.87,0.88,-13682.02,-5.02,-11404.52,-4.18,2026-07-10T14:21:57+08:00,2026-07-10T14:21:59+08:00
000035,中国天楹,4.57,1.11,1.26,流出,-1164.94,-8.78,122.11,0.92,-1287.05,-9.7,-214.72,-1.62,1379.67,10.4,2026-07-10T14:21:57+08:00,2026-07-10T14:21:59+08:00
000036,华联控股,4.15,2.22,1.54,流出,-479.98,-5.37,625.36,6.99,-1105.34,-12.36,-155.41,-1.74,635.39,7.11,2026-07-10T14:21:57+08:00,2026-07-10T14:21:59+08:00
000037,深南电A,8.43,2.8,4.05,流入,1039.97,9.0,137.9,1.19,902.07,7.81,-931.35,-8.06,-108.62,-0.94,2026-07-10T14:21:48+08:00,2026-07-10T14:21:59+08:00
000039,中集集团,8.27,2.35,1.58,流入,2178.84,7.35,1385.19,4.68,793.66,2.68,-729.02,-2.46,-1449.82,-4.89,2026-07-10T14:21:57+08:00,2026-07-10T14:21:59+08:00
000042,中洲控股,7.78,1.17,0.75,流出,-42.1,-1.09,-14.35,-0.37,-27.75,-0.72,121.44,3.14,-79.35,-2.05,2026-07-10T14:21:45+08:00,2026-07-10T14:21:59+08:00
000045,深纺织Ａ,9.7,1.25,0.86,流入,100.1,2.6,-145.49,-3.78,245.59,6.38,-331.9,-8.62,231.79,6.02,2026-07-10T14:21:39+08:00,2026-07-10T14:21:59+08:00
000048,京基智农,24.1,10.0,4.18,流入,8663.95,16.38,10925.11,20.66,-2261.16,-4.28,-5315.25,-10.05,-3348.7,-6.33,2026-07-10T14:21:57+08:00,2026-07-10T14:21:59+08:00
000049,德赛电池,23.98,-0.25,1.34,流入,54.19,0.44,-187.74,-1.51,241.94,1.95,726.78,5.86,-780.97,-6.3,2026-07-10T14:21:57+08:00,2026-07-10T14:21:59+08:00
000050,深天马Ａ,7.86,-2.24,2.25,流出,-2558.49,-5.85,-847.45,-1.94,-1711.04,-3.91,130.18,0.3,2428.31,5.55,2026-07-10T14:21:57+08:00,2026-07-10T14:21:59+08:00
000055,方大集团,3.28,3.47,2.25,流出,-625.14,-12.62,-148.36,-2.99,-476.78,-9.62,150.31,3.03,474.84,9.58,2026-07-10T14:21:57+08:00,2026-07-10T14:21:59+08:00
000056,*ST皇庭,2.14,-3.17,2.99,流出,-971.54,-16.6,-749.29,-12.81,-222.25,-3.8,500.24,8.55,471.3,8.05,2026-07-10T14:21:54+08:00,2026-07-10T14:21:59+08:00
000058,深 赛 格,6.16,2.84,0.74,流入,197.95,4.44,109.99,2.47,87.96,1.97,-144.63,-3.25,-53.32,-1.2,2026-07-10T14:21:54+08:00,2026-07-10T14:21:59+08:00
000059,华锦股份,4.07,1.24,1.59,流出,-931.19,-9.08,-1089.42,-10.63,158.23,1.54,339.35,3.31,591.84,5.77,2026-07-10T14:21:57+08:00,2026-07-10T14:21:59+08:00
000060,中金岭南,6.54,0.77,2.63,流出,-699.47,-0.91,89.67,0.12,-789.14,-1.03,2018.47,2.63,-1319.0,-1.72,2026-07-10T14:21:57+08:00,2026-07-10T14:21:59+08:00
000061,农 产 品,5.68,2.53,1.04,流入,357.23,3.38,-53.97,-0.51,411.2,3.9,-477.34,-4.52,120.11,1.14,2026-07-10T14:21:57+08:00,2026-07-10T14:21:59+08:00
000062,深圳华强,31.99,-0.47,5.15,流入,6441.29,3.74,3454.15,2.01,2987.14,1.73,-4841.32,-2.81,-1599.96,-0.93,2026-07-10T14:21:57+08:00,2026-07-10T14:21:59+08:00
000063,中兴通讯,41.27,2.33,9.86,流入,4276.42,0.26,49047.12,2.98,-44770.7,-2.72,-75148.19,-4.56,70871.8,4.3,2026-07-10T14:21:57+08:00,2026-07-10T14:21:59+08:00
000065,北方国际,8.96,0.9,1.65,流出,-302.92,-2.12,-273.68,-1.92,-29.24,-0.2,399.22,2.8,-96.3,-0.67,2026-07-10T14:21:57+08:00,2026-07-10T14:21:59+08:00
000066,中国长城,19.9,0.1,9.21,流出,-24565.64,-4.18,-12453.87,-2.12,-12111.77,-2.06,-3448.91,-0.59,28014.55,4.76,2026-07-10T14:21:57+08:00,2026-07-10T14:21:59+08:00
000068,华控赛格,2.73,1.87,1.46,流入,261.76,6.6,-265.7,-6.7,527.46,13.29,-446.88,-11.26,185.12,4.66,2026-07-10T14:21:51+08:00,2026-07-10T14:21:59+08:00
000069,华侨城Ａ,1.69,4.32,1.14,流入,876.05,6.66,1068.11,8.12,-192.06,-1.46,-1276.24,-9.7,400.19,3.04,2026-07-10T14:21:57+08:00,2026-07-10T14:21:59+08:00
000070,特发信息,18.0,-0.99,12.41,流出,-11546.02,-5.9,-3962.62,-2.03,-7583.4,-3.88,996.65,0.51,10549.37,5.39,2026-07-10T14:21:57+08:00,2026-07-10T14:21:59+08:00
000078,ST海王,1.86,0.0,8.47,流出,-928.69,-2.33,-361.66,-0.91,-567.03,-1.42,-277.01,-0.69,1205.7,3.02,2026-07-10T14:21:57+08:00,2026-07-10T14:21:59+08:00
000088,盐 田 港,4.23,1.2,0.67,流入,1983.35,22.17,517.34,5.78,1466.02,16.39,-660.62,-7.38,-1322.74,-14.79,2026-07-10T14:21:57+08:00,2026-07-10T14:21:59+08:00
000089,深圳机场,6.24,-0.32,0.42,流入,144.99,2.7,-402.02,-7.48,547.01,10.18,167.49,3.12,-312.48,-5.81,2026-07-10T14:21:57+08:00,2026-07-10T14:21:59+08:00
000090,天健集团,3.26,6.89,1.98,流入,1516.72,12.7,518.42,4.34,998.3,8.36,-134.6,-1.13,-1382.12,-11.57,2026-07-10T14:21:54+08:00,2026-07-10T14:21:59+08:00
000096,广聚能源,7.27,1.39,1.39,流出,-19.0,-0.37,131.37,2.57,-150.37,-2.94,-591.04,-11.57,610.04,11.94,2026-07-10T14:21:45+08:00,2026-07-10T14:21:59+08:00
000099,中信海直,13.99,3.25,1.58,流出,-24.04,-0.14,351.82,2.08,-375.86,-2.22,-397.05,-2.34,421.1,2.49,2026-07-10T14:21:57+08:00,2026-07-10T14:21:59+08:00
000100,TCL科技,5.2,-2.99,5.66,流出,-53584.96,-8.81,-43730.46,-7.19,-9854.51,-1.62,9865.29,1.62,43719.67,7.18,2026-07-10T14:21:57+08:00,2026-07-10T14:21:59+08:00
000151,中成股份,9.39,1.62,2.23,流入,214.0,3.33,170.33,2.65,43.67,0.68,-232.85,-3.62,18.85,0.29,2026-07-10T14:21:54+08:00,2026-07-10T14:21:59+08:00
000153,丰原药业,5.48,4.78,3.55,流入,797.58,9.06,0.0,0.0,797.58,9.06,152.79,1.74,-950.37,-10.8,2026-07-10T14:21:57+08:00,2026-07-10T14:21:59+08:00
000155,川能动力,10.96,-0.18,1.34,流出,-1824.58,-6.75,-860.68,-3.18,-963.9,-3.56,-687.75,-2.54,2512.33,9.29,2026-07-10T14:21:57+08:00,2026-07-10T14:21:59+08:00
000156,华数传媒,6.58,2.17,0.59,流出,-258.04,-3.92,-1.95,-0.03,-256.09,-3.89,-44.92,-0.68,302.96,4.6,2026-07-10T14:21:57+08:00,2026-07-10T14:21:59+08:00
000157,中联重科,7.27,2.39,0.87,流入,351.0,0.79,1823.45,4.08,-1472.45,-3.3,2015.0,4.51,-2366.0,-5.3,2026-07-10T14:21:57+08:00,2026-07-10T14:21:59+08:00
000158,常山北明,13.45,3.62,3.15,流入,7062.09,10.55,1950.84,2.91,5111.25,7.64,-1348.38,-2.01,-5713.71,-8.54,2026-07-10T14:21:57+08:00,2026-07-10T14:21:59+08:00
000159,国际实业,5.52,0.36,1.5,流出,-345.22,-8.66,-168.13,-4.22,-177.08,-4.44,-186.57,-4.68,531.79,13.34,2026-07-10T14:21:57+08:00,2026-07-10T14:21:59+08:00
000166,申万宏源,4.52,-1.53,0.49,流入,314.01,0.64,1281.07,2.6,-967.06,-1.96,2931.62,5.95,-3245.62,-6.59,2026-07-10T14:21:57+08:00,2026-07-10T14:21:59+08:00
000301,东方盛虹,12.37,-0.88,0.58,流入,762.96,1.67,-212.49,-0.46,975.45,2.13,-1801.16,-3.93,1038.2,2.27,2026-07-10T14:21:57+08:00,2026-07-10T14:21:59+08:00
000333,美的集团,78.83,-0.63,0.33,流出,-13890.2,-7.75,-6268.03,-3.5,-7622.18,-4.25,13018.85,7.26,871.35,0.49,2026-07-10T14:21:57+08:00,2026-07-10T14:21:59+08:00
000338,潍柴动力,27.91,0.25,1.47,流入,4509.14,2.21,1913.86,0.94,2595.28,1.27,-11935.13,-5.84,7425.99,3.63,2026-07-10T14:21:57+08:00,2026-07-10T14:21:59+08:00
000400,许继电气,20.39,1.75,1.41,流入,1426.81,4.92,474.48,1.64,952.33,3.29,-579.9,-2.0,-846.91,-2.92,2026-07-10T14:21:57+08:00,2026-07-10T14:21:59+08:00
000401,金隅冀东,3.49,2.05,0.3,流入,111.9,4.12,-137.6,-5.07,249.5,9.2,-20.81,-0.77,-91.09,-3.36,2026-07-10T14:21:42+08:00,2026-07-10T14:21:59+08:00
000402,金 融 街,2.49,3.75,1.77,流出,-828.9,-6.35,111.28,0.85,-940.17,-7.21,455.46,3.49,373.44,2.86,2026-07-10T14:21:57+08:00,2026-07-10T14:21:59+08:00
000403,派林生物,9.25,2.55,1.47,流出,-305.97,-2.39,363.66,2.85,-669.62,-5.24,368.69,2.88,-62.72,-0.49,2026-07-10T14:21:57+08:00,2026-07-10T14:21:59+08:00
000404,长虹华意,7.62,-0.65,2.29,流出,-164.71,-1.37,88.59,0.74,-253.29,-2.11,-12.21,-0.1,176.91,1.47,2026-07-10T14:21:57+08:00,2026-07-10T14:21:59+08:00
000407,胜利股份,3.78,2.16,1.31,流入,8.52,0.2,0.0,0.0,8.52,0.2,-421.61,-9.78,413.09,9.58,2026-07-10T14:21:51+08:00,2026-07-10T14:21:59+08:00
000408,藏格矿业,69.59,1.09,1.03,流出,-1802.39,-1.6,-3593.54,-3.18,1791.15,1.59,6716.15,5.95,-4913.76,-4.35,2026-07-10T14:21:57+08:00,2026-07-10T14:21:59+08:00
000409,云鼎科技,8.33,2.71,1.14,流入,66.69,1.2,-104.38,-1.88,171.06,3.08,-630.63,-11.37,563.94,10.16,2026-07-10T14:21:54+08:00,2026-07-10T14:21:59+08:00
000410,沈阳机床,4.6,1.32,0.84,流出,-544.24,-7.13,338.97,4.44,-883.2,-11.57,-117.75,-1.54,661.98,8.67,2026-07-10T14:21:54+08:00,2026-07-10T14:21:59+08:00
000411,英特集团,9.31,2.31,0.79,流出,-223.3,-5.43,0.0,0.0,-223.3,-5.43,-325.93,-7.93,549.23,13.37,2026-07-10T14:21:57+08:00,2026-07-10T14:21:59+08:00
000415,渤海租赁,4.25,-2.52,1.5,流出,-3380.07,-9.77,-1495.38,-4.32,-1884.69,-5.45,682.34,1.97,2697.73,7.8,2026-07-10T14:21:57+08:00,2026-07-10T14:21:59+08:00
000417,合百集团,7.92,-3.18,11.49,流出,-661.97,-0.9,-1779.41,-2.42,1117.44,1.52,2830.11,3.86,-2168.15,-2.95,2026-07-10T14:21:57+08:00,2026-07-10T14:21:59+08:00
000419,通程控股,4.69,1.74,1.54,流出,-56.84,-1.45,0.0,0.0,-56.84,-1.45,222.86,5.68,-166.02,-4.23,2026-07-10T14:21:57+08:00,2026-07-10T14:21:59+08:00
000420,吉林化纤,3.79,1.07,2.16,流入,172.61,0.86,926.53,4.61,-753.91,-3.75,48.16,0.24,-220.77,-1.1,2026-07-10T14:21:57+08:00,2026-07-10T14:21:59+08:00
000421,南京公用,5.19,1.76,1.12,流出,-158.48,-4.75,0.0,0.0,-158.48,-4.75,-410.48,-12.31,568.96,17.06,2026-07-10T14:21:51+08:00,2026-07-10T14:21:59+08:00
000422,湖北宜化,13.32,1.14,2.11,流入,1044.12,3.55,1569.98,5.34,-525.87,-1.79,-287.15,-0.98,-756.96,-2.58,2026-07-10T14:22:00+08:00,2026-07-10T14:22:00+08:00
000423,东阿阿胶,46.74,-0.13,0.58,流出,-568.97,-3.3,-2165.32,-12.54,1596.35,9.25,1035.27,6.0,-466.3,-2.7,2026-07-10T14:22:00+08:00,2026-07-10T14:22:00+08:00
000425,徐工机械,8.47,1.44,0.92,流入,2938.61,4.23,-3648.19,-5.25,6586.8,9.48,455.63,0.66,-3394.24,-4.89,2026-07-10T14:22:00+08:00,2026-07-10T14:22:00+08:00
000426,兴业银锡,33.3,2.94,2.83,流入,4641.74,2.78,9260.71,5.55,-4618.97,-2.77,-2627.02,-1.58,-2014.72,-1.21,2026-07-10T14:22:00+08:00,2026-07-10T14:22:00+08:00
000428,华天酒店,3.12,2.63,1.17,流入,114.8,3.1,0.0,0.0,114.8,3.1,-234.41,-6.34,119.61,3.23,2026-07-10T14:22:00+08:00,2026-07-10T14:22:00+08:00
000429,粤高速Ａ,13.46,-3.03,0.49,流出,-484.75,-5.61,0.0,0.0,-484.75,-5.61,388.09,4.49,96.66,1.12,2026-07-10T14:22:00+08:00,2026-07-10T14:22:00+08:00
000430,张家界,6.88,2.08,3.39,流出,-658.77,-7.52,-0.28,0.0,-658.5,-7.52,194.61,2.22,464.16,5.3,2026-07-10T14:22:00+08:00,2026-07-10T14:22:00+08:00
000488,ST晨鸣,1.99,-0.5,0.64,流出,-249.55,-11.57,-58.4,-2.71,-191.15,-8.87,69.36,3.22,180.18,8.36,2026-07-10T14:22:00+08:00,2026-07-10T14:22:00+08:00
000498,山东路桥,4.87,0.41,0.47,流入,290.62,8.9,0.0,0.0,290.62,8.9,-26.86,-0.82,-263.75,-8.08,2026-07-10T14:22:00+08:00,2026-07-10T14:22:00+08:00
000501,武商集团,6.88,-0.29,1.07,流出,-1749.25,-30.68,-473.92,-8.31,-1275.33,-22.37,745.07,13.07,1004.18,17.61,2026-07-10T14:22:00+08:00,2026-07-10T14:22:00+08:00
000503,国新健康,6.44,2.22,1.48,流出,-632.04,-6.81,-380.05,-4.09,-251.99,-2.71,119.47,1.29,512.57,5.52,2026-07-10T14:22:00+08:00,2026-07-10T14:22:00+08:00
000504,南华生物,8.11,0.5,2.6,流入,498.65,7.32,-106.02,-1.56,604.67,8.87,-109.0,-1.6,-389.65,-5.72,2026-07-10T14:22:00+08:00,2026-07-10T14:22:00+08:00
