代码,名称,最新价,涨跌幅%,换手率%,主力流向,主力净流入(万),主力净占比%,超大单净流入(万),超大单净占比%,大单净流入(万),大单净占比%,中单净流入(万),中单净占比%,小单净流入(万),小单净占比%,资金流时间,抓取时间
000001,平安银行,11.08,0.91,0.56,流出,-5298.65,-4.38,-12795.89,-10.57,7497.23,6.19,3313.39,2.74,1985.26,1.64,2026-07-23T15:10:00+08:00,2026-07-23T15:10:09+08:00
000002,万  科Ａ,3.17,-0.63,1.16,流出,-2202.64,-6.25,-102.61,-0.29,-2100.03,-5.96,-970.84,-2.75,3173.48,9.0,2026-07-23T15:10:00+08:00,2026-07-23T15:10:09+08:00
000004,国华退,,,0.0,,,,,,,,,,,,2026-07-23T08:00:00+08:00,2026-07-23T15:10:09+08:00
000006,深振业Ａ,6.14,3.72,1.64,流入,86.79,0.64,379.35,2.82,-292.56,-2.17,-842.68,-6.26,755.89,5.61,2026-07-23T15:09:30+08:00,2026-07-23T15:10:09+08:00
000007,全新好,9.27,2.54,1.84,流入,27.7,0.47,-136.7,-2.34,164.4,2.82,225.58,3.87,-253.28,-4.34,2026-07-23T15:09:15+08:00,2026-07-23T15:10:09+08:00
000008,神州高铁,2.34,2.63,1.19,流入,832.27,11.1,517.69,6.9,314.58,4.19,-581.1,-7.75,-251.17,-3.35,2026-07-23T15:09:15+08:00,2026-07-23T15:10:09+08:00
000009,中国宝安,6.24,2.3,0.91,流出,-189.21,-1.3,-80.65,-0.55,-108.56,-0.74,-744.07,-5.1,933.28,6.4,2026-07-23T15:09:15+08:00,2026-07-23T15:10:09+08:00
000010,*ST美丽,1.53,6.99,2.55,流入,489.25,14.77,271.11,8.18,218.14,6.59,-117.23,-3.54,-372.02,-11.23,2026-07-23T15:09:15+08:00,2026-07-23T15:10:09+08:00
000011,深物业A,7.51,9.96,2.43,流入,3253.83,34.18,1824.75,19.17,1429.08,15.01,-1237.45,-13.0,-2016.39,-21.18,2026-07-23T15:09:30+08:00,2026-07-23T15:10:09+08:00
000012,南  玻Ａ,3.81,2.14,1.17,流入,599.29,6.93,787.18,9.1,-187.89,-2.17,-347.4,-4.02,-251.89,-2.91,2026-07-23T15:09:30+08:00,2026-07-23T15:10:09+08:00
000014,沙河股份,8.9,3.61,3.09,流入,202.01,3.08,0.0,0.0,202.01,3.08,-131.22,-2.0,-70.79,-1.08,2026-07-23T15:09:15+08:00,2026-07-23T15:10:09+08:00
000016,*ST康佳A,2.46,-0.4,1.04,流出,-651.38,-15.98,8.89,0.22,-660.27,-16.2,375.25,9.2,276.13,6.77,2026-07-23T15:09:30+08:00,2026-07-23T15:10:09+08:00
000017,深中华A,5.68,10.08,2.36,流入,1847.76,32.2,1352.07,23.56,495.68,8.64,10.95,0.19,-1858.71,-32.39,2026-07-23T15:09:45+08:00,2026-07-23T15:10:09+08:00
000019,深粮控股,6.04,2.03,1.21,流出,-359.85,-11.96,0.0,0.0,-359.85,-11.96,-3.05,-0.1,362.9,12.07,2026-07-23T15:10:00+08:00,2026-07-23T15:10:09+08:00
000020,深华发Ａ,9.96,3.75,1.74,流入,65.64,2.12,0.0,0.0,65.64,2.12,-202.97,-6.57,137.33,4.44,2026-07-23T15:09:15+08:00,2026-07-23T15:10:09+08:00
000021,深科技,39.09,-2.81,8.46,流出,-12250.12,-2.33,-10705.76,-2.03,-1544.36,-0.29,-11727.12,-2.23,23977.23,4.56,2026-07-23T15:10:00+08:00,2026-07-23T15:10:09+08:00
000025,特  力Ａ,14.05,3.01,1.39,流入,1506.81,19.79,765.75,10.06,741.06,9.73,-860.02,-11.3,-646.79,-8.49,2026-07-23T15:09:45+08:00,2026-07-23T15:10:09+08:00
000026,飞亚达,15.92,-0.19,1.55,流出,-899.61,-10.04,-563.14,-6.28,-336.48,-3.75,180.95,2.02,718.66,8.02,2026-07-23T15:10:00+08:00,2026-07-23T15:10:09+08:00
000027,深圳能源,6.56,1.23,0.69,流入,812.76,3.78,1124.33,5.23,-311.57,-1.45,-242.51,-1.13,-570.26,-2.65,2026-07-23T15:09:45+08:00,2026-07-23T15:10:09+08:00
000028,国药一致,20.6,-0.05,0.46,流出,-35.11,-0.7,231.16,4.6,-266.27,-5.3,-184.09,-3.66,219.2,4.36,2026-07-23T15:09:30+08:00,2026-07-23T15:10:09+08:00
000029,深深房Ａ,19.95,-0.5,0.5,流出,-916.2,-10.22,-108.96,-1.22,-807.24,-9.0,-193.3,-2.16,1109.5,12.37,2026-07-23T15:09:45+08:00,2026-07-23T15:10:09+08:00
000030,富奥股份,4.21,1.45,0.55,流入,358.44,9.37,130.73,3.42,227.71,5.95,-637.72,-16.67,279.28,7.3,2026-07-23T15:10:00+08:00,2026-07-23T15:10:09+08:00
000031,大悦城,2.14,1.42,0.62,流入,96.9,1.73,-50.85,-0.91,147.75,2.63,-728.16,-12.98,631.26,11.25,2026-07-23T15:10:00+08:00,2026-07-23T15:10:09+08:00
000032,深桑达Ａ,14.92,-4.36,3.41,流入,2646.33,4.53,360.13,0.62,2286.2,3.91,-1066.39,-1.83,-1579.94,-2.71,2026-07-23T15:09:00+08:00,2026-07-23T15:10:09+08:00
000034,神州数码,27.8,1.42,12.24,流出,-39535.89,-13.81,-21683.0,-7.58,-17852.89,-6.24,22483.31,7.86,17052.58,5.96,2026-07-23T15:10:00+08:00,2026-07-23T15:10:09+08:00
000035,中国天楹,4.83,10.02,3.55,流入,5872.96,15.38,4638.02,12.15,1234.94,3.23,-2405.35,-6.3,-3467.61,-9.08,2026-07-23T15:09:30+08:00,2026-07-23T15:10:09+08:00
