代码,名称,最新价,涨跌幅%,主力流向,主力净流入(万),主力净占比%,超大单净流入(万),超大单净占比%,大单净流入(万),大单净占比%,中单净流入(万),中单净占比%,小单净流入(万),小单净占比%,资金流时间,抓取时间
000001,平安银行,11.38,3.45,流出,-16228.31,-4.17,-7613.79,-1.96,-8614.52,-2.21,8132.89,2.09,8095.42,2.08,2026-04-27T15:07:09+08:00,2026-04-27T15:08:03+08:00
000002,万  科Ａ,3.73,-0.53,流出,-1360.68,-4.57,-272.98,-0.92,-1087.7,-3.66,-317.16,-1.07,1677.84,5.64,2026-04-27T15:07:09+08:00,2026-04-27T15:08:03+08:00
000006,深振业Ａ,9.35,-5.36,流出,-2568.03,-7.54,-670.12,-1.97,-1897.91,-5.57,152.62,0.45,2415.41,7.09,2026-04-27T15:07:12+08:00,2026-04-27T15:08:03+08:00
000007,全新好,13.97,0.87,流出,-299.49,-4.29,-44.71,-0.64,-254.78,-3.65,212.65,3.05,86.84,1.24,2026-04-27T15:07:12+08:00,2026-04-27T15:08:03+08:00
000008,神州高铁,2.66,0.0,流出,-12.8,-0.14,249.71,2.75,-262.52,-2.89,288.19,3.17,-275.39,-3.03,2026-04-27T15:07:09+08:00,2026-04-27T15:08:03+08:00
000009,中国宝安,8.86,-0.45,流出,-1109.93,-5.69,-1361.31,-6.98,251.38,1.29,1664.97,8.54,-555.04,-2.85,2026-04-27T15:07:09+08:00,2026-04-27T15:08:03+08:00
000010,美丽生态,3.38,-6.63,流出,-6196.62,-31.35,-3633.87,-18.38,-2562.75,-12.97,2223.95,11.25,3972.67,20.1,2026-04-27T15:07:15+08:00,2026-04-27T15:08:03+08:00
000011,深物业A,8.47,0.36,流入,617.96,11.57,0.0,0.0,617.96,11.57,-380.94,-7.13,-237.02,-4.44,2026-04-27T15:07:12+08:00,2026-04-27T15:08:03+08:00
000012,南  玻Ａ,4.44,-0.22,流出,-491.78,-8.15,149.83,2.48,-641.6,-10.63,340.34,5.64,151.43,2.51,2026-04-27T15:07:12+08:00,2026-04-27T15:08:03+08:00
000014,沙河股份,13.21,0.69,流出,-671.6,-8.27,-38.7,-0.48,-632.9,-7.79,197.56,2.43,474.04,5.83,2026-04-27T15:07:18+08:00,2026-04-27T15:08:03+08:00
000016,深康佳Ａ,3.4,6.58,流入,3773.12,17.79,2565.87,12.1,1207.25,5.69,-990.54,-4.67,-2782.58,-13.12,2026-04-27T15:07:15+08:00,2026-04-27T15:08:03+08:00
000017,深中华A,6.39,0.63,流入,322.87,6.33,-111.87,-2.19,434.75,8.52,84.96,1.66,-407.83,-7.99,2026-04-27T15:07:15+08:00,2026-04-27T15:08:03+08:00
000019,深粮控股,7.94,-0.75,流出,-957.52,-6.66,-298.49,-2.08,-659.03,-4.58,411.22,2.86,546.3,3.8,2026-04-27T15:07:18+08:00,2026-04-27T15:08:03+08:00
