代码,名称,0427,0428,0429,0430,0506,0507,0508,0511,0512,0513,0514,0515,0518,0519,0520,0521,0522,0525,0526,0527,0528
000042,中洲控股,45.3,50.41,73.02,546.74,404.2,226.68,214.82,202.02,147.35,133.6,96.61,97.99,88.95,77.72,74.32,110.19,68.94,72.5,168.29,73.39,74.12
000045,深纺织Ａ,139.65,121.83,111.78,179.8,175.95,135.02,178.05,155.96,230.86,189.88,207.31,170.23,174.57,178.54,146.0,279.18,221.04,174.6,164.46,212.15,145.31
000048,京基智农,229.8,229.39,318.85,216.92,234.69,273.28,253.25,255.89,169.46,187.94,211.86,163.53,147.74,240.99,133.25,162.39,120.04,147.0,118.76,156.86,130.56
000049,德赛电池,412.87,324.78,728.09,455.1,477.48,429.03,372.62,348.79,377.1,259.95,333.6,336.23,230.42,294.2,315.05,327.4,296.78,250.12,207.5,253.36,179.2
000050,深天马Ａ,71.99,83.06,73.72,206.92,135.63,115.32,95.68,101.53,101.02,109.77,110.08,146.22,100.78,99.4,76.82,391.23,382.56,265.92,293.58,255.23,186.05
000055,方大集团,180.72,393.33,274.38,161.08,222.92,173.04,128.65,208.75,125.49,121.63,141.77,168.96,312.52,276.49,147.38,168.63,179.03,158.76,176.07,156.75,167.68
000056,*ST皇庭,1815.66,1261.34,1526.11,1172.98,1268.0,973.14,793.11,730.26,551.67,499.33,706.5,638.21,206.15,1069.87,612.27,482.85,643.25,171.59,349.62,484.04,302.69
000058,深 赛 格,62.93,59.79,61.49,70.13,76.71,71.15,62.29,246.56,157.03,80.95,84.3,97.02,72.98,50.27,78.47,77.52,60.77,55.19,100.73,79.15,67.31
000059,华锦股份,164.95,287.12,233.51,222.1,356.68,323.53,185.4,175.24,257.2,154.41,139.73,162.3,197.82,147.84,123.37,155.93,121.26,153.68,148.0,139.88,109.37
000060,中金岭南,213.81,190.81,260.78,343.94,607.32,1629.28,964.65,1378.85,1393.07,726.62,861.82,683.66,360.14,419.27,313.24,452.2,400.55,775.63,745.26,501.41,547.02
000061,农 产 品,50.46,98.03,82.7,67.36,132.5,118.29,68.58,93.24,112.9,163.01,102.94,123.29,115.14,80.94,68.38,69.36,68.37,64.43,74.21,81.46,61.0
000062,深圳华强,1028.92,1389.45,977.08,1102.11,1229.68,1052.56,857.15,831.34,1091.11,801.43,690.41,634.79,456.72,506.8,688.44,609.97,550.58,919.41,656.34,637.95,356.05
000063,中兴通讯,418.2,281.18,240.41,241.21,538.06,363.33,339.17,405.23,315.2,299.1,406.69,361.42,332.9,260.91,224.23,418.0,294.83,229.3,311.03,357.49,552.98
000065,北方国际,352.1,305.75,252.48,251.71,372.71,524.0,428.96,274.17,262.01,175.09,214.84,208.37,211.31,147.94,279.92,210.14,181.61,422.81,242.9,234.45,235.33
000066,中国长城,755.74,1340.04,1104.57,1334.55,118.52,1580.16,2014.48,1776.02,2137.62,1591.21,1623.26,1614.3,988.92,1087.63,1149.88,1249.26,864.96,836.48,895.72,686.19,540.37
000068,华控赛格,156.48,224.54,169.05,115.49,134.01,150.55,108.94,198.39,360.01,453.79,223.85,207.66,233.76,132.79,206.98,218.66,137.0,112.17,166.96,120.54,213.21
000069,华侨城Ａ,33.28,38.62,111.96,97.82,83.39,71.1,75.27,119.68,80.69,79.97,105.28,70.88,66.58,52.36,61.99,78.76,57.05,53.02,42.53,129.84,64.06
000070,特发信息,1145.88,840.01,626.89,988.08,948.65,1406.46,1791.67,1513.59,1806.15,1655.17,1553.34,1226.12,825.01,937.15,1831.55,1475.7,818.0,666.59,734.88,586.54,690.1
000078,ST海王,396.6,411.78,356.78,0.0,4.32,6.2,8.65,9.9,9.43,9.86,8.51,8.32,8.19,6.6,1150.49,409.34,176.74,759.12,445.05,581.92,499.72
000088,盐 田 港,57.8,62.08,64.75,62.67,70.17,84.15,100.86,77.01,92.49,90.94,129.35,119.14,75.65,70.91,68.38,108.4,81.32,54.15,61.43,64.64,93.33
000089,深圳机场,175.41,85.43,61.84,81.24,73.71,59.66,44.5,58.58,35.64,42.74,46.39,63.76,39.6,29.9,36.73,47.19,36.07,50.78,39.42,35.03,40.06
000090,天健集团,99.12,82.46,178.1,122.43,111.28,94.29,86.18,145.5,112.98,106.48,109.38,95.37,88.57,73.64,61.97,94.9,59.94,61.35,60.86,96.91,161.54
000096,广聚能源,161.38,226.25,169.1,121.34,156.08,139.58,98.9,111.58,134.2,111.38,135.03,126.1,120.95,94.66,80.19,150.2,95.22,153.54,144.9,132.2,102.37
