代码,名称,0413,0414,0415,0416,0417,0420,0421,0422,0423,0424,0427,0428,0429,0430,0506,0507,0508,0511,0512,0513,0514,0515,0518,0519,0520,0521,0525,0526,0527,0528,0529,0601,0602,0603,0604,0605,0608,0609,0610,0611,0612,0615,0616,0617
000017,深中华A,-307.32,-120.65,153.98,-640.08,-650.28,-53.91,303.28,327.25,301.66,46.91,322.87,-66.45,-87.8,-405.26,201.35,127.51,145.18,-98.01,-306.44,171.79,-835.89,-6.29,312.25,-115.3,-104.61,-234.7,-72.45,-488.33,-232.16,-72.24,-105.28,207.56,84.2,200.2,-265.82,-213.27,-33.54,-157.75,-406.54,79.62,-98.92,-224.63,430.84,-4.45
000019,深粮控股,4085.96,-1808.17,-695.31,1062.3,-744.03,1617.6,-555.0,-358.73,1108.75,-56.36,-957.52,-1063.92,-737.31,-868.87,367.63,-1960.88,165.49,-2161.5,-608.82,-574.62,-1408.48,-1305.11,382.49,-711.88,485.87,-530.7,-1676.97,72.75,16.63,-623.55,-39.43,262.6,-194.52,-96.11,-230.06,224.11,61.94,-409.73,-499.49,1006.61,57.99,-811.42,95.06,86.75
000020,深华发Ａ,-1180.71,188.29,-719.99,-205.24,-1292.34,-433.12,-643.16,-603.88,-1208.73,-726.09,-218.88,615.96,362.2,-247.73,-1922.29,-842.18,-2105.45,-46.58,-361.92,-636.03,608.98,-933.12,-8.61,272.38,40.42,200.22,-142.18,-111.63,-631.33,-160.12,450.94,-160.59,14.85,-3.4,121.16,-92.91,-86.84,43.95,20.79,-46.47,-103.12,55.75,-4.03,-49.36
000021,深科技,-8549.4,14781.23,-30426.87,826.4,1147.94,-3836.77,-15837.41,5969.5,-20986.56,14198.55,11925.2,-9078.9,-3759.68,-11163.96,17195.32,17985.27,-22156.88,20350.87,-34045.92,42960.91,-1223.4,-18212.08,73308.08,-27010.24,-88211.94,-10618.36,28344.85,-109183.91,5737.19,-103348.77,-88053.12,-47280.33,87.28,-22007.48,39.78,-67795.65,-41693.28,21486.61,13340.0,-788.53,-56592.22,21988.38,5135.92,18257.35
000025,特  力Ａ,-539.09,-503.18,-274.72,-328.27,-624.94,-380.26,-117.71,900.79,-237.19,-201.97,273.91,267.08,1335.23,1934.94,-250.4,-1331.74,-1336.87,172.9,-247.35,-2011.13,-1103.51,-1096.47,-210.51,615.79,-1573.04,372.45,-803.24,301.72,-881.71,-296.92,6003.18,884.88,335.27,1474.16,-206.1,-833.22,-576.85,-2132.74,7646.32,-607.59,-439.74,1879.52,-79.24,-804.72
000026,飞亚达,7751.48,-591.49,16237.45,-3244.97,-474.63,-1667.18,4844.99,-5377.19,3631.54,1102.81,-5697.15,-3173.48,-1000.68,1293.69,-5481.13,1839.96,7582.92,-2857.13,1032.21,-4820.26,1900.33,-784.11,-267.51,9112.96,-87.22,8341.21,-3263.78,-3185.4,-6096.01,409.11,2732.18,-2223.59,-2749.57,746.88,-2978.92,2273.34,-562.25,115.09,-2376.98,-111.03,-2224.2,-771.59,-1070.68,1626.18
000027,深圳能源,497.16,-322.6,-1063.77,909.62,-1256.98,-429.38,1257.18,-2359.84,-2057.74,-973.02,-197.07,4.18,991.08,-3494.04,-825.43,-417.33,-2140.21,1634.25,3876.97,1759.24,-6730.24,-3248.16,840.14,9810.41,-9462.77,-887.83,1636.36,-1705.93,-1462.29,11493.32,-4955.16,-10821.28,795.66,-6521.43,-9200.52,-9581.98,-1071.66,2548.48,-4271.87,1309.12,3376.74,2389.96,-1445.61,-806.66
000028,国药一致,-701.36,-656.38,1542.52,-1178.55,-1291.68,-452.76,-166.02,-334.41,374.55,325.29,107.06,533.14,-671.75,1201.82,546.12,448.16,-202.52,800.49,-157.05,-866.29,-1205.66,-517.55,-495.68,386.39,-219.93,-158.48,-474.3,-52.86,-595.32,-557.85,-203.54,-667.89,-436.25,-212.41,-596.52,79.25,-730.37,-42.71,111.35,-238.59,153.41,199.54,304.31,135.02
000029,深深房Ａ,-184.83,-687.47,-380.78,449.09,-169.21,-1312.5,-194.55,-370.46,-184.23,-38.82,9.71,435.06,957.25,1547.3,2089.47,-610.51,106.14,6154.65,5088.66,-7676.37,2180.79,2135.67,-723.2,-6022.96,-12158.22,-3980.34,-194.17,640.96,2596.24,2298.46,850.87,-1016.22,-1633.08,-380.16,345.29,-351.55,335.53,3817.62,3761.93,-111.98,510.79,-304.46,4548.64,4281.07
000030,富奥股份,-436.5,487.03,-96.94,-132.07,2547.84,-229.78,-2772.3,-428.34,350.33,-277.12,359.94,-169.94,81.12,720.39,1595.97,310.35,887.97,-17.73,184.39,-513.61,-51.75,861.49,843.75,533.03,2231.93,-357.4,215.16,218.2,-319.83,167.18,-161.18,470.66,-219.82,-8.36,-281.47,69.6,18.68,3944.62,-960.28,-651.79,180.82,-500.54,49.17,-666.97
