行业代码,行业名称,平均价,平均涨跌幅%,资金流向,流入金额(万),流出金额(万),净流入(万),净流入率%,主力净占比%,散户净占比%,资金流时间,抓取时间
sw2_110100,种植业,7.0224,-1.61,流出,55739.21,65889.02,-10149.81,-8.19,0.5,-0.99,2026-05-28T15:00:00+08:00,2026-05-28T15:51:35+08:00
sw2_110200,渔业,5.2155,0.15,流入,7627.9,7352.69,275.21,1.8,2.53,-1.9,2026-05-28T15:00:00+08:00,2026-05-28T15:51:34+08:00
sw2_110300,林业Ⅱ,8.5681,1.2,流入,62716.54,49242.42,13474.12,11.88,7.88,0.62,2026-05-28T15:00:00+08:00,2026-05-28T15:51:35+08:00
sw2_110400,饲料,6.5111,-0.46,流出,19260.86,19680.27,-419.41,-1.06,1.55,-2.16,2026-05-28T15:00:00+08:00,2026-05-28T15:51:35+08:00
sw2_110500,农产品加工,16.4571,-1.96,流出,63670.88,73872.07,-10201.2,-7.21,-2.98,-0.2,2026-05-28T15:00:00+08:00,2026-05-28T15:51:35+08:00
sw2_110700,养殖业,6.0907,-0.99,流出,56044.9,59618.49,-3573.59,-3.04,0.91,1.32,2026-05-28T15:00:00+08:00,2026-05-28T15:51:34+08:00
sw2_110800,动物保健Ⅱ,7.185,4.08,流入,30336.64,4489.39,25847.25,75.42,45.85,4.56,2026-05-28T15:00:00+08:00,2026-05-28T15:51:35+08:00
sw2_110900,农业综合Ⅱ,5.1346,0.12,流出,3077.51,3101.29,-23.78,-0.38,-5.63,0.81,2026-05-28T15:00:00+08:00,2026-05-28T15:51:35+08:00
sw2_220200,化学原料,12.0628,0.05,流入,253563.0,253490.53,72.47,0.01,0.76,-0.23,2026-05-28T15:00:00+08:00,2026-05-28T15:51:37+08:00
sw2_220300,化学制品,22.3479,-0.19,流出,1290870.91,1333552.44,-42681.53,-1.55,0.14,-0.22,2026-05-28T15:00:00+08:00,2026-05-28T15:51:35+08:00
sw2_220400,化学纤维,9.1568,0.94,流入,104590.08,88378.6,16211.49,8.16,5.1,0.63,2026-05-28T15:00:00+08:00,2026-05-28T15:51:35+08:00
sw2_220500,塑料,17.9049,2.95,流入,606726.61,440555.66,166170.96,15.08,11.84,0.28,2026-05-28T15:00:00+08:00,2026-05-28T15:51:35+08:00
sw2_220600,橡胶,13.5483,0.91,流出,84435.21,94422.6,-9987.39,-5.22,-2.94,-1.45,2026-05-28T15:00:00+08:00,2026-05-28T15:51:35+08:00
sw2_220800,农化制品,14.068,-1.18,流出,299960.57,324409.84,-24449.27,-3.76,-0.46,-0.38,2026-05-28T15:00:00+08:00,2026-05-28T15:51:35+08:00
sw2_220900,非金属材料Ⅱ,48.9608,7.54,流入,278752.21,244125.11,34627.1,6.1,5.38,0.15,2026-05-28T15:00:00+08:00,2026-05-28T15:51:35+08:00
sw2_230300,冶钢原料,8.6278,-0.06,流出,93678.97,103013.73,-9334.76,-4.55,-3.66,-0.08,2026-05-28T15:00:00+08:00,2026-05-28T15:51:35+08:00
sw2_230400,普钢,4.0047,-0.65,流出,39746.13,50417.02,-10670.9,-11.87,-4.89,-0.78,2026-05-28T15:00:00+08:00,2026-05-28T15:51:35+08:00
sw2_230500,特钢Ⅱ,7.4993,0.37,流出,81964.84,82064.29,-99.45,-0.06,3.11,-1.18,2026-05-28T15:00:00+08:00,2026-05-28T15:51:35+08:00
sw2_240200,金属新材料,31.7954,3.07,流入,525173.76,456017.67,69156.09,6.52,6.73,-0.12,2026-05-28T15:00:00+08:00,2026-05-28T15:51:35+08:00
sw2_240300,工业金属,18.2269,-1.35,流入,1855582.21,1771650.41,83931.8,2.24,2.83,-0.07,2026-05-28T15:00:00+08:00,2026-05-28T15:51:35+08:00
sw2_240400,贵金属,22.6212,-4.29,流出,213417.17,221503.09,-8085.92,-1.81,-1.27,-0.02,2026-05-28T15:00:00+08:00,2026-05-28T15:51:36+08:00
sw2_240500,小金属,45.4031,2.03,流入,554694.99,443926.02,110768.97,10.4,8.98,0.11,2026-05-28T15:00:00+08:00,2026-05-28T15:51:36+08:00
sw2_240600,能源金属,60.8989,-1.38,流入,606919.69,597958.71,8960.98,0.69,0.98,0.03,2026-05-28T15:00:00+08:00,2026-05-28T15:51:37+08:00
sw2_270100,半导体,118.1473,2.13,流入,15204525.76,14534431.67,670094.09,2.04,2.21,0.01,2026-05-28T15:00:00+08:00,2026-05-28T15:51:35+08:00
sw2_270200,元件,74.2773,2.3,流入,4042152.51,3601828.12,440324.38,5.3,4.29,0.07,2026-05-28T15:00:00+08:00,2026-05-28T15:51:36+08:00
sw2_270300,光学光电子,9.98,0.46,流入,3017950.59,3006449.19,11501.4,0.18,-0.05,0.04,2026-05-28T15:00:00+08:00,2026-05-28T15:51:36+08:00
sw2_270400,其他电子Ⅱ,43.2696,1.05,流出,795548.94,818634.12,-23085.18,-1.34,-2.62,-0.02,2026-05-28T15:00:00+08:00,2026-05-28T15:51:37+08:00
sw2_270500,消费电子,38.5552,1.11,流入,2757235.03,2547113.98,210121.05,3.72,3.3,0.03,2026-05-28T15:00:00+08:00,2026-05-28T15:51:36+08:00
sw2_270600,电子化学品Ⅱ,42.0699,3.83,流入,1240091.37,1086463.9,153627.47,6.15,6.1,0.04,2026-05-28T15:00:00+08:00,2026-05-28T15:51:36+08:00
sw2_280200,汽车零部件,17.8195,-0.22,流出,1294588.57,1341132.04,-46543.47,-1.67,0.84,-0.23,2026-05-28T15:00:00+08:00,2026-05-28T15:51:36+08:00
sw2_280300,汽车服务,6.5103,0.72,流入,58895.48,52712.05,6183.43,5.45,6.09,-0.77,2026-05-28T15:00:00+08:00,2026-05-28T15:51:36+08:00
sw2_280400,摩托车及其他,29.6377,-0.84,流入,89262.62,87946.11,1316.51,0.69,4.5,-0.67,2026-05-28T15:00:00+08:00,2026-05-28T15:51:36+08:00
