代码,名称,最新价,涨跌幅%,换手率%,主力流向,主力净流入(万),资金流时间,抓取时间
000007,全新好,11.98,-2.04,223.06,流入,130.44,2026-05-27T15:00:00+08:00,2026-05-28T15:43:27+08:00
000009,中国宝安,7.42,-1.98,93.53,流出,-373.79,2026-05-27T15:00:00+08:00,2026-05-28T15:43:27+08:00
000006,深振业Ａ,9.88,-3.7,265.36,流出,-2679.07,2026-05-27T15:00:00+08:00,2026-05-28T15:43:27+08:00
000011,深物业A,7.22,-1.9,49.6,持平,0.0,2026-05-27T15:00:00+08:00,2026-05-28T15:43:27+08:00
000001,平安银行,10.78,-0.09,42.43,流出,-7118.07,2026-05-27T15:00:00+08:00,2026-05-28T15:43:27+08:00
000010,*ST美丽,1.91,-4.98,32.11,流出,-137.86,2026-05-27T15:00:00+08:00,2026-05-28T15:43:27+08:00
000008,神州高铁,2.58,0.39,94.15,流入,537.39,2026-05-27T15:00:00+08:00,2026-05-28T15:43:27+08:00
000012,南  玻Ａ,4.45,-1.11,575.59,流入,4573.79,2026-05-27T15:00:00+08:00,2026-05-28T15:43:28+08:00
000017,深中华A,5.41,-2.7,157.02,持平,0.0,2026-05-27T15:00:00+08:00,2026-05-28T15:43:28+08:00
000014,沙河股份,10.7,-1.83,196.8,持平,0.0,2026-05-27T15:00:00+08:00,2026-05-28T15:43:28+08:00
000016,*ST康佳A,3.51,-1.4,297.95,流出,-1250.95,2026-05-27T15:00:00+08:00,2026-05-28T15:43:28+08:00
000020,深华发Ａ,12.48,-3.78,275.11,流出,-151.73,2026-05-27T15:00:00+08:00,2026-05-28T15:43:28+08:00
000021,深科技,43.99,2.9,1926.08,流出,-61980.31,2026-05-27T15:00:00+08:00,2026-05-28T15:43:28+08:00
000019,深粮控股,6.48,-0.92,202.53,流出,-0.36,2026-05-27T15:00:00+08:00,2026-05-28T15:43:28+08:00
000025,特  力Ａ,14.25,-2.53,98.45,流出,-153.83,2026-05-27T15:00:00+08:00,2026-05-28T15:43:28+08:00
000027,深圳能源,7.69,0.92,150.02,流入,1667.68,2026-05-27T15:00:00+08:00,2026-05-28T15:43:28+08:00
000028,国药一致,23.38,-0.85,63.56,流出,-614.68,2026-05-27T15:00:00+08:00,2026-05-28T15:43:28+08:00
000026,飞亚达,22.6,-7.15,1159.13,流入,9048.37,2026-05-27T15:00:00+08:00,2026-05-28T15:43:28+08:00
000029,深深房Ａ,25.44,1.96,120.28,流入,3305.94,2026-05-27T15:00:00+08:00,2026-05-28T15:43:28+08:00
000030,富奥股份,4.61,-2.95,78.76,流出,-473.22,2026-05-27T15:00:00+08:00,2026-05-28T15:43:28+08:00
000031,大悦城,2.5,-3.47,62.58,流出,-658.24,2026-05-27T15:00:00+08:00,2026-05-28T15:43:28+08:00
000032,深桑达Ａ,17.43,-4.81,225.09,流出,-3361.4,2026-05-27T15:00:00+08:00,2026-05-28T15:43:28+08:00
000035,中国天楹,6.04,-0.66,162.63,流出,-1574.63,2026-05-27T15:00:00+08:00,2026-05-28T15:43:28+08:00
000034,神州数码,25.86,-7.21,655.77,流出,-5758.55,2026-05-27T15:00:00+08:00,2026-05-28T15:43:28+08:00
000036,华联控股,5.25,-2.6,237.47,流出,-1073.23,2026-05-27T15:00:00+08:00,2026-05-28T15:43:28+08:00
000037,深南电A,10.28,4.05,927.15,流入,4305.45,2026-05-27T15:00:00+08:00,2026-05-28T15:43:28+08:00
000039,中集集团,10.33,2.18,378.47,流入,5039.45,2026-05-27T15:00:00+08:00,2026-05-28T15:43:28+08:00
000042,中洲控股,9.86,-0.8,73.39,流入,106.82,2026-05-27T15:00:00+08:00,2026-05-28T15:43:28+08:00
