代码,名称,最新价,涨跌幅%,换手率%,主力流向,主力净流入(万),资金流时间,抓取时间
000007,全新好,13.97,0.87,144.92,流入,117.08,2026-04-27T15:00:00+08:00,2026-05-28T15:43:27+08:00
000009,中国宝安,8.86,-0.45,85.58,流入,483.91,2026-04-27T15:00:00+08:00,2026-05-28T15:43:27+08:00
000006,深振业Ａ,9.35,-5.36,269.18,流出,-3591.27,2026-04-27T15:00:00+08:00,2026-05-28T15:43:27+08:00
000011,深物业A,8.47,0.36,121.94,持平,0.0,2026-04-27T15:00:00+08:00,2026-05-28T15:43:27+08:00
000001,平安银行,11.38,3.45,175.27,流入,46648.02,2026-04-27T15:00:00+08:00,2026-05-28T15:43:27+08:00
000010,*ST美丽,3.38,-6.63,666.85,流出,-2228.61,2026-04-27T15:00:00+08:00,2026-05-28T15:43:27+08:00
000008,神州高铁,2.66,0.0,126.73,流入,631.28,2026-04-27T15:00:00+08:00,2026-05-28T15:43:27+08:00
000012,南  玻Ａ,4.44,-0.22,69.32,流入,111.89,2026-04-27T15:00:00+08:00,2026-05-28T15:43:28+08:00
000017,深中华A,6.39,0.63,184.42,流出,-30.58,2026-04-27T15:00:00+08:00,2026-05-28T15:43:28+08:00
000014,沙河股份,13.21,0.69,258.28,流出,-184.66,2026-04-27T15:00:00+08:00,2026-05-28T15:43:28+08:00
000016,*ST康佳A,3.4,6.58,399.03,流入,4302.54,2026-04-27T15:00:00+08:00,2026-05-28T15:43:28+08:00
000020,深华发Ａ,15.84,3.33,453.38,流入,334.66,2026-04-27T15:00:00+08:00,2026-05-28T15:43:28+08:00
000021,深科技,29.29,1.53,463.65,流入,7616.23,2026-04-27T15:00:00+08:00,2026-05-28T15:43:28+08:00
000019,深粮控股,7.94,-0.75,434.41,流入,133.94,2026-04-27T15:00:00+08:00,2026-05-28T15:43:28+08:00
000025,特  力Ａ,16.07,2.82,156.94,流入,1011.65,2026-04-27T15:00:00+08:00,2026-05-28T15:43:28+08:00
000027,深圳能源,6.94,0.14,74.91,流出,-1378.97,2026-04-27T15:00:00+08:00,2026-05-28T15:43:28+08:00
000028,国药一致,24.55,-0.97,86.39,流出,-131.53,2026-04-27T15:00:00+08:00,2026-05-28T15:43:28+08:00
000026,飞亚达,18.2,-1.14,568.59,流出,-1341.71,2026-04-27T15:00:00+08:00,2026-05-28T15:43:28+08:00
000029,深深房Ａ,20.74,2.83,54.54,流入,1657.78,2026-04-27T15:00:00+08:00,2026-05-28T15:43:28+08:00
000030,富奥股份,5.15,0.59,90.79,流出,-33.12,2026-04-27T15:00:00+08:00,2026-05-28T15:43:28+08:00
000031,大悦城,2.9,0.35,57.85,流入,73.71,2026-04-27T15:00:00+08:00,2026-05-28T15:43:28+08:00
000032,深桑达Ａ,17.98,0.33,148.84,流入,902.91,2026-04-27T15:00:00+08:00,2026-05-28T15:43:28+08:00
000035,中国天楹,6.78,-1.02,170.44,流入,352.0,2026-04-27T15:00:00+08:00,2026-05-28T15:43:28+08:00
000034,神州数码,36.85,-1.81,493.93,流出,-11589.1,2026-04-27T15:00:00+08:00,2026-05-28T15:43:28+08:00
