代码,名称,最新价,涨跌幅%,换手率%,主力流向,主力净流入(万),资金流时间,抓取时间
000007,全新好,12.34,0.82,278.21,流入,498.73,2026-05-19T15:00:00+08:00,2026-05-28T15:43:27+08:00
000009,中国宝安,7.85,0.13,71.42,流出,-683.5,2026-05-19T15:00:00+08:00,2026-05-28T15:43:27+08:00
000006,深振业Ａ,11.14,4.21,697.88,流入,2958.5,2026-05-19T15:00:00+08:00,2026-05-28T15:43:27+08:00
000011,深物业A,7.94,1.53,105.93,流入,110.96,2026-05-19T15:00:00+08:00,2026-05-28T15:43:27+08:00
000001,平安银行,10.86,0.0,40.89,流出,-3486.03,2026-05-19T15:00:00+08:00,2026-05-28T15:43:27+08:00
000010,*ST美丽,2.6,-2.62,399.52,流出,-878.54,2026-05-19T15:00:00+08:00,2026-05-28T15:43:27+08:00
000008,神州高铁,2.7,0.75,104.81,流入,146.92,2026-05-19T15:00:00+08:00,2026-05-28T15:43:27+08:00
000012,南  玻Ａ,3.74,0.81,68.27,流入,327.47,2026-05-19T15:00:00+08:00,2026-05-28T15:43:28+08:00
000017,深中华A,5.91,0.51,125.97,持平,0.0,2026-05-19T15:00:00+08:00,2026-05-28T15:43:28+08:00
000014,沙河股份,12.01,-1.07,252.51,流出,-322.26,2026-05-19T15:00:00+08:00,2026-05-28T15:43:28+08:00
000016,*ST康佳A,3.2,4.92,197.45,流入,1230.38,2026-05-19T15:00:00+08:00,2026-05-28T15:43:28+08:00
000020,深华发Ａ,13.47,-0.15,251.07,流出,-283.68,2026-05-19T15:00:00+08:00,2026-05-28T15:43:28+08:00
000021,深科技,37.67,1.73,1914.68,流出,-58654.36,2026-05-19T15:00:00+08:00,2026-05-28T15:43:28+08:00
000019,深粮控股,7.0,-0.71,220.14,流出,-226.99,2026-05-19T15:00:00+08:00,2026-05-28T15:43:28+08:00
000025,特  力Ａ,15.57,1.83,87.54,流出,-123.38,2026-05-19T15:00:00+08:00,2026-05-28T15:43:28+08:00
000027,深圳能源,7.76,4.72,213.32,流入,6075.17,2026-05-19T15:00:00+08:00,2026-05-28T15:43:28+08:00
000028,国药一致,24.15,1.13,36.05,流入,103.46,2026-05-19T15:00:00+08:00,2026-05-28T15:43:28+08:00
000026,飞亚达,22.22,10.0,662.19,流入,12341.62,2026-05-19T15:00:00+08:00,2026-05-28T15:43:28+08:00
000029,深深房Ａ,29.42,-1.34,187.07,流入,2827.8,2026-05-19T15:00:00+08:00,2026-05-28T15:43:28+08:00
000030,富奥股份,4.81,1.26,93.9,持平,0.0,2026-05-19T15:00:00+08:00,2026-05-28T15:43:28+08:00
000031,大悦城,2.86,2.88,88.57,流入,824.15,2026-05-19T15:00:00+08:00,2026-05-28T15:43:28+08:00
000032,深桑达Ａ,19.63,3.86,331.59,流入,10462.96,2026-05-19T15:00:00+08:00,2026-05-28T15:43:28+08:00
000035,中国天楹,6.2,0.16,125.42,流入,1390.58,2026-05-19T15:00:00+08:00,2026-05-28T15:43:28+08:00
000034,神州数码,30.96,4.45,834.14,流入,47425.12,2026-05-19T15:00:00+08:00,2026-05-28T15:43:28+08:00
000036,华联控股,5.67,0.89,278.83,流出,-380.76,2026-05-19T15:00:00+08:00,2026-05-28T15:43:28+08:00
000037,深南电A,10.89,1.87,678.22,流入,408.13,2026-05-19T15:00:00+08:00,2026-05-28T15:43:28+08:00
