代码,名称,最新价,涨跌幅%,换手率%,主力流向,主力净流入(万),资金流时间,抓取时间
000007,全新好,12.49,1.22,298.85,流入,1112.84,2026-05-20T15:00:00+08:00,2026-05-28T15:43:27+08:00
000009,中国宝安,7.88,0.38,97.68,流入,708.12,2026-05-20T15:00:00+08:00,2026-05-28T15:43:27+08:00
000006,深振业Ａ,10.84,-2.69,371.03,流出,-121.76,2026-05-20T15:00:00+08:00,2026-05-28T15:43:27+08:00
000011,深物业A,7.71,-2.9,69.39,持平,0.0,2026-05-20T15:00:00+08:00,2026-05-28T15:43:27+08:00
000001,平安银行,10.78,-0.74,38.03,流出,-18860.98,2026-05-20T15:00:00+08:00,2026-05-28T15:43:27+08:00
000010,*ST美丽,2.47,-5.0,409.75,流出,-904.44,2026-05-20T15:00:00+08:00,2026-05-28T15:43:27+08:00
000008,神州高铁,2.67,-1.11,172.98,流出,-800.72,2026-05-20T15:00:00+08:00,2026-05-28T15:43:27+08:00
000012,南  玻Ａ,3.64,-2.67,102.47,流出,-2079.42,2026-05-20T15:00:00+08:00,2026-05-28T15:43:28+08:00
000017,深中华A,5.77,-2.37,121.08,持平,0.0,2026-05-20T15:00:00+08:00,2026-05-28T15:43:28+08:00
000014,沙河股份,11.71,-2.5,224.76,流入,580.05,2026-05-20T15:00:00+08:00,2026-05-28T15:43:28+08:00
000016,*ST康佳A,3.24,1.25,232.53,流出,-322.67,2026-05-20T15:00:00+08:00,2026-05-28T15:43:28+08:00
000020,深华发Ａ,13.28,-1.41,199.79,流出,-150.2,2026-05-20T15:00:00+08:00,2026-05-28T15:43:28+08:00
000021,深科技,37.85,0.48,1888.46,流入,13557.4,2026-05-20T15:00:00+08:00,2026-05-28T15:43:28+08:00
000019,深粮控股,6.98,-0.29,279.62,流出,-234.26,2026-05-20T15:00:00+08:00,2026-05-28T15:43:28+08:00
000025,特  力Ａ,15.03,-3.47,129.12,流出,-272.26,2026-05-20T15:00:00+08:00,2026-05-28T15:43:28+08:00
000027,深圳能源,7.39,-4.77,172.1,流出,-3720.34,2026-05-20T15:00:00+08:00,2026-05-28T15:43:28+08:00
000028,国药一致,24.0,-0.62,43.82,流入,19.21,2026-05-20T15:00:00+08:00,2026-05-28T15:43:28+08:00
000026,飞亚达,21.89,-1.49,599.02,流出,-5738.65,2026-05-20T15:00:00+08:00,2026-05-28T15:43:28+08:00
000029,深深房Ａ,26.48,-9.99,259.44,流入,2605.98,2026-05-20T15:00:00+08:00,2026-05-28T15:43:28+08:00
000030,富奥股份,4.74,-1.46,98.68,流出,-583.81,2026-05-20T15:00:00+08:00,2026-05-28T15:43:28+08:00
000031,大悦城,2.75,-3.85,71.08,流出,-365.32,2026-05-20T15:00:00+08:00,2026-05-28T15:43:28+08:00
000032,深桑达Ａ,20.0,1.88,459.16,流入,11565.41,2026-05-20T15:00:00+08:00,2026-05-28T15:43:28+08:00
000035,中国天楹,6.13,-1.13,214.83,流出,-620.45,2026-05-20T15:00:00+08:00,2026-05-28T15:43:28+08:00
000034,神州数码,30.18,-2.52,716.32,流出,-29559.09,2026-05-20T15:00:00+08:00,2026-05-28T15:43:28+08:00
000036,华联控股,5.68,0.18,259.32,流入,455.88,2026-05-20T15:00:00+08:00,2026-05-28T15:43:28+08:00
000037,深南电A,9.87,-9.37,1031.59,流出,-2513.64,2026-05-20T15:00:00+08:00,2026-05-28T15:43:28+08:00
000039,中集集团,11.31,-2.84,267.79,流入,4688.03,2026-05-20T15:00:00+08:00,2026-05-28T15:43:28+08:00
000042,中洲控股,10.23,-0.87,74.32,流出,-249.83,2026-05-20T15:00:00+08:00,2026-05-28T15:43:28+08:00
000045,深纺织Ａ,12.2,-0.57,146.0,流入,447.94,2026-05-20T15:00:00+08:00,2026-05-28T15:43:28+08:00
000002,万  科Ａ,3.61,-2.7,122.86,流出,-5604.75,2026-05-20T15:00:00+08:00,2026-05-28T15:43:28+08:00
000050,深天马Ａ,7.35,-2.26,76.82,流出,-220.58,2026-05-20T15:00:00+08:00,2026-05-28T15:43:28+08:00
000049,德赛电池,27.07,2.38,315.05,流入,3126.16,2026-05-20T15:00:00+08:00,2026-05-28T15:43:28+08:00
000048,京基智农,14.25,-1.79,133.25,流入,264.59,2026-05-20T15:00:00+08:00,2026-05-28T15:43:28+08:00
000055,方大集团,3.63,-2.68,147.38,持平,0.0,2026-05-20T15:00:00+08:00,2026-05-28T15:43:28+08:00
000058,深 赛 格,7.77,-2.75,78.47,流出,-494.06,2026-05-20T15:00:00+08:00,2026-05-28T15:43:28+08:00
000056,*ST皇庭,1.39,-4.79,612.27,流出,-1883.14,2026-05-20T15:00:00+08:00,2026-05-28T15:43:28+08:00
000059,华锦股份,4.87,-0.81,123.37,流出,-170.27,2026-05-20T15:00:00+08:00,2026-05-28T15:43:28+08:00
000060,中金岭南,7.25,-0.68,313.24,流出,-2557.38,2026-05-20T15:00:00+08:00,2026-05-28T15:43:28+08:00
000061,农 产 品,6.67,-0.89,68.38,流入,227.6,2026-05-20T15:00:00+08:00,2026-05-28T15:43:28+08:00
000062,深圳华强,34.41,5.2,688.44,流入,17223.04,2026-05-20T15:00:00+08:00,2026-05-28T15:43:28+08:00
000063,中兴通讯,37.19,-1.22,224.23,流出,-26212.21,2026-05-20T15:00:00+08:00,2026-05-28T15:43:28+08:00
000068,华控赛格,3.19,-3.92,206.98,流出,-980.32,2026-05-20T15:00:00+08:00,2026-05-28T15:43:28+08:00
000066,中国长城,20.73,0.05,1149.88,流入,4603.6,2026-05-20T15:00:00+08:00,2026-05-28T15:43:28+08:00
000069,华侨城Ａ,2.03,-2.4,61.99,流出,-1890.05,2026-05-20T15:00:00+08:00,2026-05-28T15:43:28+08:00
000070,特发信息,19.84,5.76,1831.55,流入,66851.09,2026-05-20T15:00:00+08:00,2026-05-28T15:43:29+08:00
000078,ST海王,1.81,-4.74,1150.49,流出,-21319.0,2026-05-20T15:00:00+08:00,2026-05-28T15:43:29+08:00
000089,深圳机场,6.73,-0.88,36.73,流出,-218.33,2026-05-20T15:00:00+08:00,2026-05-28T15:43:29+08:00
000088,盐 田 港,4.51,-1.31,68.38,流出,-2455.58,2026-05-20T15:00:00+08:00,2026-05-28T15:43:29+08:00
000096,广聚能源,8.98,-1.43,80.19,流出,-102.01,2026-05-20T15:00:00+08:00,2026-05-28T15:43:29+08:00
000090,天健集团,3.37,-1.46,61.97,流出,-741.12,2026-05-20T15:00:00+08:00,2026-05-28T15:43:29+08:00
000099,中信海直,16.73,-1.76,87.92,流出,-1662.45,2026-05-20T15:00:00+08:00,2026-05-28T15:43:29+08:00
000100,TCL科技,4.24,-1.4,232.81,流出,-28173.65,2026-05-20T15:00:00+08:00,2026-05-28T15:43:29+08:00
000151,中成股份,12.07,-0.9,207.01,流入,385.44,2026-05-20T15:00:00+08:00,2026-05-28T15:43:29+08:00
