代码,名称,最新价,涨跌幅%,换手率%,主力流向,主力净流入(万),资金流时间,抓取时间
000007,全新好,15.51,10.0,334.35,流入,3412.19,2026-04-30T15:00:00+08:00,2026-05-28T15:43:27+08:00
000009,中国宝安,8.67,-6.57,310.77,流出,-18070.81,2026-04-30T15:00:00+08:00,2026-05-28T15:43:27+08:00
000006,深振业Ａ,9.7,2.0,207.12,流入,1679.68,2026-04-30T15:00:00+08:00,2026-05-28T15:43:27+08:00
000011,深物业A,8.09,0.25,166.51,流入,265.32,2026-04-30T15:00:00+08:00,2026-05-28T15:43:27+08:00
000001,平安银行,11.49,-0.26,57.93,流出,-9528.02,2026-04-30T15:00:00+08:00,2026-05-28T15:43:27+08:00
000010,*ST美丽,2.89,-4.93,24.67,持平,0.0,2026-04-30T15:00:00+08:00,2026-05-28T15:43:27+08:00
000008,神州高铁,2.7,0.0,152.06,流出,-1322.64,2026-04-30T15:00:00+08:00,2026-05-28T15:43:27+08:00
000012,南  玻Ａ,4.04,-0.49,104.63,流入,43.96,2026-04-30T15:00:00+08:00,2026-05-28T15:43:28+08:00
000017,深中华A,6.4,-0.16,136.79,持平,0.0,2026-04-30T15:00:00+08:00,2026-05-28T15:43:28+08:00
000014,沙河股份,13.21,0.08,326.9,流出,-523.77,2026-04-30T15:00:00+08:00,2026-05-28T15:43:28+08:00
000016,*ST康佳A,3.24,-4.99,137.66,流出,-5106.82,2026-04-30T15:00:00+08:00,2026-05-28T15:43:28+08:00
000020,深华发Ａ,15.97,0.25,243.42,流出,-109.18,2026-04-30T15:00:00+08:00,2026-05-28T15:43:28+08:00
000021,深科技,29.22,-0.03,458.72,流出,-12686.03,2026-04-30T15:00:00+08:00,2026-05-28T15:43:28+08:00
000019,深粮控股,7.69,-0.77,422.9,流入,66.18,2026-04-30T15:00:00+08:00,2026-05-28T15:43:28+08:00
000025,特  力Ａ,16.6,1.28,158.93,流入,243.87,2026-04-30T15:00:00+08:00,2026-05-28T15:43:28+08:00
000027,深圳能源,6.85,-1.58,76.48,流出,-2550.28,2026-04-30T15:00:00+08:00,2026-05-28T15:43:28+08:00
000028,国药一致,24.54,-1.05,123.17,流出,-957.6,2026-04-30T15:00:00+08:00,2026-05-28T15:43:28+08:00
000026,飞亚达,18.13,0.22,357.6,流入,833.77,2026-04-30T15:00:00+08:00,2026-05-28T15:43:28+08:00
000029,深深房Ａ,21.31,1.72,94.85,流入,1858.24,2026-04-30T15:00:00+08:00,2026-05-28T15:43:28+08:00
000030,富奥股份,5.08,-0.39,80.62,流入,15.48,2026-04-30T15:00:00+08:00,2026-05-28T15:43:28+08:00
000031,大悦城,3.05,2.69,95.37,流出,-599.24,2026-04-30T15:00:00+08:00,2026-05-28T15:43:28+08:00
000032,深桑达Ａ,17.34,-2.53,171.88,流出,-2590.07,2026-04-30T15:00:00+08:00,2026-05-28T15:43:28+08:00
000035,中国天楹,6.53,-2.54,231.28,流出,-2887.32,2026-04-30T15:00:00+08:00,2026-05-28T15:43:28+08:00
000034,神州数码,37.68,0.64,381.99,流入,1872.97,2026-04-30T15:00:00+08:00,2026-05-28T15:43:28+08:00
000036,华联控股,5.6,2.94,505.59,流出,-945.24,2026-04-30T15:00:00+08:00,2026-05-28T15:43:28+08:00
000037,深南电A,10.81,-1.01,710.61,流出,-1197.83,2026-04-30T15:00:00+08:00,2026-05-28T15:43:28+08:00
000039,中集集团,12.38,-0.4,321.24,流入,5405.14,2026-04-30T15:00:00+08:00,2026-05-28T15:43:28+08:00
000042,中洲控股,9.63,8.57,546.74,流入,10181.53,2026-04-30T15:00:00+08:00,2026-05-28T15:43:28+08:00
000045,深纺织Ａ,12.01,2.56,179.8,流入,939.85,2026-04-30T15:00:00+08:00,2026-05-28T15:43:28+08:00
000002,万  科Ａ,3.91,1.03,169.08,流入,428.94,2026-04-30T15:00:00+08:00,2026-05-28T15:43:28+08:00
000050,深天马Ａ,7.62,-6.85,206.92,流出,-4957.57,2026-04-30T15:00:00+08:00,2026-05-28T15:43:28+08:00
000049,德赛电池,29.07,-2.22,455.1,流出,-4459.28,2026-04-30T15:00:00+08:00,2026-05-28T15:43:28+08:00
000048,京基智农,14.75,0.2,216.92,流入,249.71,2026-04-30T15:00:00+08:00,2026-05-28T15:43:28+08:00
000055,方大集团,3.66,0.55,161.08,流入,104.62,2026-04-30T15:00:00+08:00,2026-05-28T15:43:28+08:00
000058,深 赛 格,8.2,0.86,70.13,流入,221.81,2026-04-30T15:00:00+08:00,2026-05-28T15:43:28+08:00
000056,*ST皇庭,1.74,-4.92,1172.98,流出,-4440.77,2026-04-30T15:00:00+08:00,2026-05-28T15:43:28+08:00
000059,华锦股份,5.69,1.43,222.1,流出,-65.6,2026-04-30T15:00:00+08:00,2026-05-28T15:43:28+08:00
000060,中金岭南,6.75,1.5,343.94,流入,2713.97,2026-04-30T15:00:00+08:00,2026-05-28T15:43:28+08:00
000061,农 产 品,7.39,-0.81,67.36,流出,-613.35,2026-04-30T15:00:00+08:00,2026-05-28T15:43:28+08:00
000062,深圳华强,36.92,3.56,1102.11,流入,2678.32,2026-04-30T15:00:00+08:00,2026-05-28T15:43:28+08:00
000063,中兴通讯,36.71,0.8,241.21,流入,23377.73,2026-04-30T15:00:00+08:00,2026-05-28T15:43:28+08:00
000068,华控赛格,3.27,-0.3,115.49,流入,240.49,2026-04-30T15:00:00+08:00,2026-05-28T15:43:28+08:00
000066,中国长城,19.82,9.99,1334.55,流入,221864.52,2026-04-30T15:00:00+08:00,2026-05-28T15:43:28+08:00
000069,华侨城Ａ,2.26,0.44,97.82,流入,2034.67,2026-04-30T15:00:00+08:00,2026-05-28T15:43:28+08:00
000070,特发信息,18.08,-6.47,988.08,流出,-10232.83,2026-04-30T15:00:00+08:00,2026-05-28T15:43:29+08:00
000078,ST海王,0.0,0.0,0.0,持平,0.0,2026-04-30T15:00:00+08:00,2026-05-28T15:43:29+08:00
000089,深圳机场,7.13,0.28,81.24,流入,2786.89,2026-04-30T15:00:00+08:00,2026-05-28T15:43:29+08:00
000088,盐 田 港,4.54,0.22,62.67,流出,-855.33,2026-04-30T15:00:00+08:00,2026-05-28T15:43:29+08:00
000096,广聚能源,9.75,0.0,121.34,流出,-1028.61,2026-04-30T15:00:00+08:00,2026-05-28T15:43:29+08:00
000090,天健集团,3.52,0.57,122.43,流入,135.94,2026-04-30T15:00:00+08:00,2026-05-28T15:43:29+08:00
000099,中信海直,17.67,-0.9,96.08,流出,-968.18,2026-04-30T15:00:00+08:00,2026-05-28T15:43:29+08:00
000100,TCL科技,4.27,-1.16,361.26,流出,-50392.88,2026-04-30T15:00:00+08:00,2026-05-28T15:43:29+08:00
000151,中成股份,11.84,0.17,273.39,流入,207.44,2026-04-30T15:00:00+08:00,2026-05-28T15:43:29+08:00
000153,丰原药业,6.46,-0.15,190.2,流出,-32.71,2026-04-30T15:00:00+08:00,2026-05-28T15:43:29+08:00
000155,川能动力,17.42,-9.51,897.47,流出,-51825.68,2026-04-30T15:00:00+08:00,2026-05-28T15:43:29+08:00
000156,华数传媒,7.41,-0.94,42.88,流出,-103.19,2026-04-30T15:00:00+08:00,2026-05-28T15:43:29+08:00
000157,中联重科,7.97,-1.73,169.92,流出,-8138.43,2026-04-30T15:00:00+08:00,2026-05-28T15:43:29+08:00
000158,常山北明,17.21,-0.86,144.94,流出,-1117.94,2026-04-30T15:00:00+08:00,2026-05-28T15:43:29+08:00
000159,国际实业,6.51,0.15,308.32,流入,546.01,2026-04-30T15:00:00+08:00,2026-05-28T15:43:29+08:00
000301,东方盛虹,13.27,0.08,57.08,流入,1759.96,2026-04-30T15:00:00+08:00,2026-05-28T15:43:29+08:00
000333,美的集团,81.5,0.23,50.75,流出,-11694.56,2026-04-30T15:00:00+08:00,2026-05-28T15:43:29+08:00
000166,申万宏源,4.75,0.21,46.27,流入,2159.97,2026-04-30T15:00:00+08:00,2026-05-28T15:43:29+08:00
000338,潍柴动力,31.18,3.42,336.29,流入,53386.79,2026-04-30T15:00:00+08:00,2026-05-28T15:43:29+08:00
000401,金隅冀东,4.28,-7.36,210.44,流出,-3288.0,2026-04-30T15:00:00+08:00,2026-05-28T15:43:29+08:00
000400,许继电气,25.18,-0.75,160.02,流出,-3276.89,2026-04-30T15:00:00+08:00,2026-05-28T15:43:29+08:00
000402,金 融 街,3.17,10.07,408.67,流入,16899.34,2026-04-30T15:00:00+08:00,2026-05-28T15:43:29+08:00
000403,派林生物,11.96,-1.73,107.49,流出,-1077.39,2026-04-30T15:00:00+08:00,2026-05-28T15:43:29+08:00
000404,长虹华意,8.31,0.24,433.15,流出,-427.12,2026-04-30T15:00:00+08:00,2026-05-28T15:43:29+08:00
000407,胜利股份,4.84,-0.21,593.88,流出,-4143.26,2026-04-30T15:00:00+08:00,2026-05-28T15:43:29+08:00
000408,藏格矿业,89.26,-1.92,89.43,流出,-12641.09,2026-04-30T15:00:00+08:00,2026-05-28T15:43:29+08:00
000409,云鼎科技,10.15,0.2,54.03,持平,0.0,2026-04-30T15:00:00+08:00,2026-05-28T15:43:29+08:00
000410,沈阳机床,6.17,0.0,110.03,流入,1039.36,2026-04-30T15:00:00+08:00,2026-05-28T15:43:29+08:00
000415,渤海租赁,4.66,-2.31,153.99,流出,-5190.85,2026-04-30T15:00:00+08:00,2026-05-28T15:43:29+08:00
000419,通程控股,5.84,1.39,213.85,流入,252.48,2026-04-30T15:00:00+08:00,2026-05-28T15:43:29+08:00
000417,合百集团,6.69,2.14,222.91,流入,1225.71,2026-04-30T15:00:00+08:00,2026-05-28T15:43:29+08:00
000420,吉林化纤,5.1,-0.97,328.05,流入,354.02,2026-04-30T15:00:00+08:00,2026-05-28T15:43:29+08:00
000421,南京公用,6.33,-1.09,167.37,流出,-67.38,2026-04-30T15:00:00+08:00,2026-05-28T15:43:29+08:00
000422,湖北宜化,16.9,-1.05,375.82,流出,-4943.49,2026-04-30T15:00:00+08:00,2026-05-28T15:43:29+08:00
000423,东阿阿胶,55.09,0.53,90.74,流入,4.85,2026-04-30T15:00:00+08:00,2026-05-28T15:43:29+08:00
