代码,名称,最新价,涨跌幅%,换手率%,主力流向,主力净流入(万),资金流时间,抓取时间
000010,*ST美丽,2.0,4.71,796.91,流入,3451.99,2026-05-28T16:15:10+08:00,2026-05-28T16:15:10+08:00
000006,深振业Ａ,9.57,-2.84,268.07,流出,-2375.65,2026-05-28T16:15:10+08:00,2026-05-28T16:15:10+08:00
000009,中国宝安,7.47,0.67,77.37,流入,309.22,2026-05-28T16:15:10+08:00,2026-05-28T16:15:10+08:00
000008,神州高铁,2.56,-0.78,95.17,流出,-853.48,2026-05-28T16:15:10+08:00,2026-05-28T16:15:10+08:00
000007,全新好,11.89,-0.75,193.05,流出,-1097.17,2026-05-28T16:15:10+08:00,2026-05-28T16:15:10+08:00
000011,深物业A,7.29,0.97,72.25,持平,0.0,2026-05-28T16:15:10+08:00,2026-05-28T16:15:10+08:00
000001,平安银行,10.66,-0.93,46.41,流出,-14598.09,2026-05-28T16:15:10+08:00,2026-05-28T16:15:10+08:00
000002,万  科Ａ,3.31,-0.6,124.39,流入,994.96,2026-05-28T16:15:10+08:00,2026-05-28T16:15:10+08:00
000012,南  玻Ａ,4.38,-1.57,431.11,流出,-273.99,2026-05-28T16:15:11+08:00,2026-05-28T16:15:11+08:00
000014,沙河股份,10.76,0.56,274.24,流入,589.38,2026-05-28T16:15:11+08:00,2026-05-28T16:15:11+08:00
000017,深中华A,5.5,1.85,161.25,持平,0.0,2026-05-28T16:15:11+08:00,2026-05-28T16:15:11+08:00
000019,深粮控股,6.41,-0.93,214.47,流入,129.4,2026-05-28T16:15:11+08:00,2026-05-28T16:15:11+08:00
000021,深科技,42.65,-3.02,1407.46,流出,-21102.31,2026-05-28T16:15:11+08:00,2026-05-28T16:15:11+08:00
000020,深华发Ａ,12.68,1.6,258.98,流入,342.36,2026-05-28T16:15:11+08:00,2026-05-28T16:15:11+08:00
000026,飞亚达,23.19,2.66,719.12,流入,3206.69,2026-05-28T16:15:11+08:00,2026-05-28T16:15:11+08:00
000025,特  力Ａ,14.23,0.0,90.53,持平,0.0,2026-05-28T16:15:11+08:00,2026-05-28T16:15:11+08:00
000027,深圳能源,8.05,4.68,263.83,流入,6100.18,2026-05-28T16:15:11+08:00,2026-05-28T16:15:11+08:00
000016,*ST康佳A,3.46,-1.42,183.69,流出,-151.08,2026-05-28T16:15:11+08:00,2026-05-28T16:15:11+08:00
