代码,名称,最新价,涨跌幅%,换手率%,主力流向,主力净流入(万),资金流时间,抓取时间
000001,平安银行,10.7,0.0,48.78,流出,-2047.85,2026-05-22T15:00:00+08:00,2026-05-27T09:17:07+08:00
000002,万  科Ａ,3.46,-0.29,88.12,流出,-300.76,2026-05-22T15:00:00+08:00,2026-05-27T09:17:07+08:00
000006,深振业Ａ,10.91,4.3,347.85,流入,4486.29,2026-05-22T15:00:00+08:00,2026-05-27T09:17:07+08:00
000007,全新好,12.46,7.23,891.0,流入,5887.71,2026-05-22T15:00:00+08:00,2026-05-27T09:17:08+08:00
000008,神州高铁,2.62,0.38,102.86,流入,247.67,2026-05-22T15:00:00+08:00,2026-05-27T09:17:08+08:00
000009,中国宝安,7.74,-0.13,64.1,流入,190.16,2026-05-22T15:00:00+08:00,2026-05-27T09:17:09+08:00
000010,*ST美丽,2.23,-5.11,459.09,流出,-1326.06,2026-05-22T15:00:00+08:00,2026-05-27T09:17:09+08:00
000011,深物业A,7.55,1.21,73.64,持平,0.0,2026-05-22T15:00:00+08:00,2026-05-27T09:17:09+08:00
000012,南  玻Ａ,4.4,10.0,636.17,流入,4612.55,2026-05-22T15:00:00+08:00,2026-05-27T09:17:31+08:00
000014,沙河股份,11.38,1.7,217.51,持平,0.0,2026-05-22T15:00:00+08:00,2026-05-27T09:17:31+08:00
000016,*ST康佳A,3.3,1.23,170.15,流入,30.1,2026-05-22T15:00:00+08:00,2026-05-27T09:17:32+08:00
000017,深中华A,5.7,1.79,143.66,持平,0.0,2026-05-22T15:00:00+08:00,2026-05-27T09:17:32+08:00
000019,深粮控股,6.73,-0.3,243.71,流入,311.77,2026-05-22T15:00:00+08:00,2026-05-27T09:17:33+08:00
000020,深华发Ａ,13.24,3.44,414.16,流入,104.27,2026-05-22T15:00:00+08:00,2026-05-27T09:17:33+08:00
000021,深科技,37.73,3.74,1200.78,流出,-11213.54,2026-05-22T15:00:00+08:00,2026-05-27T09:17:34+08:00
000025,特  力Ａ,14.9,1.92,75.39,持平,0.0,2026-05-22T15:00:00+08:00,2026-05-27T09:17:34+08:00
000026,飞亚达,25.55,9.99,637.42,流入,11179.99,2026-05-22T15:00:00+08:00,2026-05-27T09:17:35+08:00
000027,深圳能源,7.32,0.97,82.52,流入,738.07,2026-05-22T15:00:00+08:00,2026-05-27T09:17:35+08:00
000028,国药一致,23.8,-0.42,35.81,持平,0.0,2026-05-22T15:00:00+08:00,2026-05-27T09:17:36+08:00
000029,深深房Ａ,25.55,3.57,243.89,流入,2530.51,2026-05-22T15:00:00+08:00,2026-05-27T09:17:36+08:00
